"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Alabama A&M","SWAC","Bethune Cookman","SWAC","A","L",77,88,2,89.5,120.2,98.3,48.4,24.3,35,36.5,112.4,62.5,14,14.3,58.9,3.3,2023,78.3,"Otis Hughley Jr.","Reggie Theus","Alabama A&MBethune Cookman1-30"
2023-01-28,"conf","Alabama A&M","SWAC","Florida A&M","SWAC","A","W",61,56,0,96.9,101.5,97.6,46.9,17.6,28.1,51,89.6,40.7,22.4,35.1,27.8,36.8,2023,62.5,"Otis Hughley Jr.","Robert McCallum","Alabama A&MFlorida A&M1-28"
2023-01-23,"conf","Alabama A&M","SWAC","Prairie View A&M","SWAC","H","W",67,59,4,101.1,93,96.4,54.8,25.9,37.9,36.5,84.9,47.2,27.3,31.2,35.8,72.2,2023,69.5,"Otis Hughley Jr.","Byron Smith","Prairie View A&MAlabama A&M1-23"
2023-01-21,"conf","Alabama A&M","SWAC","Texas Southern","SWAC","H","L",59,70,2,72.7,101.5,75.6,43.2,26.9,21.6,25.4,89.7,48.1,29.5,35.5,47.2,2.1,2023,78,"Otis Hughley Jr.","Johnny Jones","Texas SouthernAlabama A&M1-21"
2023-01-16,"conf","Alabama A&M","SWAC","Alabama St.","SWAC","H","L",61,69,2,86.8,115.1,91.6,38.3,16.5,36.4,29.7,103.6,52.8,24,38.7,27.8,3.8,2023,66.6,"Otis Hughley Jr.","Tony Madlock","Alabama St.Alabama A&M1-16"
2023-01-09,"conf","Alabama A&M","SWAC","Jackson St.","SWAC","A","L",64,72,0,85.9,107.9,89.7,45.9,22.4,23.3,55.1,100.9,48.2,19.6,33.3,43.9,6.7,2023,71.3,"Otis Hughley Jr.","Mo Williams","Alabama A&MJackson St.1-9"
2023-01-04,"conf","Alabama A&M","SWAC","Mississippi Valley St.","SWAC","H","W",75,68,2,100.6,126.1,113.1,60.8,22.6,25.9,33.3,102.6,49.1,22.6,40.6,37,6.9,2023,66.3,"Otis Hughley Jr.","George Ivory","Mississippi Valley St.Alabama A&M1-4"
2023-01-02,"conf","Alabama A&M","SWAC","Arkansas Pine Bluff","SWAC","H","W",66,59,4,84.2,92.3,88.2,48.4,26.7,34.3,24.6,78.8,36.1,25.4,34.1,29.5,25.8,2023,74.8,"Otis Hughley Jr.","George Ivory","Arkansas Pine BluffAlabama A&M1-2"
2022-12-29,"nc","Alabama A&M","SWAC","Ohio St.","B10","A","L",59,90,3,92.7,102.2,81.3,43.5,23.4,23.7,11.3,124.1,59.8,13.8,38.2,47.5,24.5,2023,72.6,"Otis Hughley Jr.","Chris Holtmann","Alabama A&MOhio St.12-29"
2022-12-22,"nc","Alabama A&M","SWAC","Vanderbilt","SEC","A","L",62,70,3,100.7,98.2,96.7,50,17.2,23.5,15.5,109.2,45.6,18.7,45.9,40.4,57.3,2023,64.1,"Otis Hughley Jr.","Jerry Stackhouse","Alabama A&MVanderbilt12-22"
2022-12-17,"nc","Alabama A&M","SWAC","Illinois","B10","A","L",47,68,1,77.8,90.4,67.3,33,25.8,26.8,25,97.4,48.2,25.8,42.1,40.4,15,2023,69.8,"Otis Hughley Jr.","Brad Underwood","Alabama A&MIllinois12-17"
2022-12-12,"nc","Alabama A&M","SWAC","South Alabama","SB","H","L",71,78,3,98.8,123.6,104.4,51.7,11.8,9.4,16.9,114.7,63.8,19.1,26.7,15.5,7,2023,68,"Otis Hughley Jr.","Richie Riley","South AlabamaAlabama A&M12-12"
2022-12-09,"nc","Alabama A&M","SWAC","Lipscomb","ASun","H","W",63,59,1,84.3,88,87.8,41.2,15.3,27.3,17.6,82.3,47.4,23.7,23.7,17.2,37.8,2023,71.7,"Otis Hughley Jr.","Lennie Acuff","LipscombAlabama A&M12-9"
2022-11-23,"nc","Alabama A&M","SWAC","Louisiana Tech","CUSA","H","L",75,80,4,96.8,106.7,99,54.9,27.7,25,47.1,105.6,61.2,30.3,36.7,22.4,24.5,2023,75.8,"Otis Hughley Jr.","Talvin Hester","Louisiana TechAlabama A&M11-23"
2022-11-19,"nc","Alabama A&M","SWAC","Norfolk St.","MEAC","N","L",83,89,2,102.2,115.1,109.8,50,18.5,41.9,27.9,117.7,61.3,17.2,32.1,64.2,20.4,2023,75.6,"Otis Hughley Jr.","Robert Jones","Alabama A&MNorfolk St.11-19"
2022-11-17,"nc","Alabama A&M","SWAC","Samford","SC","H","L",64,84,2,78,102.6,81.1,39.7,19,25.5,47.6,106.4,47.5,24.1,45,61.7,4.1,2023,78.9,"Otis Hughley Jr.","Bucky McMillan","SamfordAlabama A&M11-17"
2022-11-14,"nc","Alabama A&M","SWAC","Tennessee St.","OVC","A","L",76,87,4,88.8,113.3,95.6,49.2,25.2,35.1,29.7,109.5,56.3,18.9,28.6,36.5,5.7,2023,79.5,"Otis Hughley Jr.","Brian Collins","Alabama A&MTennessee St.11-14"
2022-11-10,"nc","Alabama A&M","SWAC","North Alabama","ASun","H","L",76,84,1,95.9,118.1,105.6,53.2,15.3,25,27,116.7,58.6,23.6,45.7,46.6,8.4,2023,71.9,"Otis Hughley Jr.","Tony Pujol","North AlabamaAlabama A&M11-10"
