"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Alabama St.","SWAC","Florida A&M","SWAC","A","L",58,69,1,82.1,117.1,84.7,38.3,17.5,32.4,30,100.8,50,19,35.7,45.3,1.7,2023,68.5,"Tony Madlock","Robert McCallum","Alabama St.Florida A&M1-30"
2023-01-28,"conf","Alabama St.","SWAC","Bethune Cookman","SWAC","A","L",62,64,0,88.4,110.4,98.6,47.4,15.9,30.6,22.8,101.8,45.5,20.7,40.6,28.6,7.2,2023,62.9,"Tony Madlock","Reggie Theus","Alabama St.Bethune Cookman1-28"
2023-01-23,"conf","Alabama St.","SWAC","Texas Southern","SWAC","H","L",65,71,2,83.5,117.6,91.2,43.8,19.7,24.3,35.7,99.7,45.9,15.4,26.3,34.4,1.9,2023,71.2,"Tony Madlock","Johnny Jones","Texas SouthernAlabama St.1-23"
2023-01-21,"conf","Alabama St.","SWAC","Prairie View A&M","SWAC","H","W",56,55,0,83,93.1,82.5,32.7,26.5,41,53.8,81,29.7,22.1,48.1,29,21,2023,60.4,"Tony Madlock","Byron Smith","Prairie View A&MAlabama St.1-21"
2023-01-09,"conf","Alabama St.","SWAC","Alcorn St.","SWAC","A","L",76,92,0,105.4,127.7,104.8,53.4,20.7,12.5,75,126.9,54.5,11,38.9,42.4,9.9,2023,72.5,"Tony Madlock","Landon Bussie","Alabama St.Alcorn St.1-9"
2023-01-07,"conf","Alabama St.","SWAC","Jackson St.","SWAC","A","L",58,61,3,89.8,104.8,93.4,44.3,17.7,33.3,30.2,98.3,41,14.5,44.1,29.5,14.5,2023,62.1,"Tony Madlock","Mo Williams","Alabama St.Jackson St.1-7"
2023-01-04,"conf","Alabama St.","SWAC","Arkansas Pine Bluff","SWAC","H","W",80,66,4,109.3,107.9,113,48.5,14.1,37.5,28.8,93.2,45.9,18.4,24.4,26.2,53.6,2023,70.8,"Tony Madlock","George Ivory","Arkansas Pine BluffAlabama St.1-4"
2023-01-02,"conf","Alabama St.","SWAC","Mississippi Valley St.","SWAC","H","W",70,61,2,92.1,99.2,98.2,43,25.3,37.8,42.1,85.6,40.8,22.5,33.3,25,29.7,2023,71.3,"Tony Madlock","George Ivory","Mississippi Valley St.Alabama St.1-2"
2022-12-21,"nc","Alabama St.","SWAC","Memphis","Amer","A","L",61,83,2,89.6,97.4,80.4,34.7,18.5,35.4,20.8,109.4,59.2,19.8,23.3,26.7,27.9,2023,75.9,"Tony Madlock","Penny Hardaway","Alabama St.Memphis12-21"
2022-12-19,"nc","Alabama St.","SWAC","Arkansas St.","SB","A","L",65,72,1,99.5,116.2,101,45.9,14,18.8,55.1,111.8,50.9,15.5,34.4,42.6,14.4,2023,64.4,"Tony Madlock","Mike Balado","Alabama St.Arkansas St.12-19"
2022-12-17,"nc","Alabama St.","SWAC","Georgia Tech","ACC","A","L",60,96,3,85,134.2,82.6,37.9,9.6,15.6,22.7,132.1,64,6.9,20.6,19.1,0.5,2023,72.7,"Tony Madlock","Josh Pastner","Alabama St.Georgia Tech12-17"
2022-12-07,"nc","Alabama St.","SWAC","North Alabama","ASun","A","L",63,71,2,86,101.7,91.9,44.4,10.2,12.5,14.3,103.5,49.1,19,33.3,44.6,12.7,2023,68.6,"Tony Madlock","Tony Pujol","Alabama St.North Alabama12-7"
2022-11-27,"nc","Alabama St.","SWAC","Ohio","MAC","A","L",58,72,1,84,106.8,89.1,41.5,13.8,26.8,9.2,110.7,54.1,16.9,35.3,14.8,6,2023,65.1,"Tony Madlock","Jeff Boals","Alabama St.Ohio11-27"
2022-11-26,"nc","Alabama St.","SWAC","Eastern Illinois","OVC","N","W",67,58,1,95.6,99.7,102.3,46.6,21.4,45,35.6,88.6,38.6,19.9,34.1,36.8,38.3,2023,65.5,"Tony Madlock","Marty Simmons","Alabama St.Eastern Illinois11-26"
2022-11-23,"nc","Alabama St.","SWAC","Duquesne","A10","A","L",57,75,0,96.5,110.8,91,34.4,20.7,51.1,41,119.7,53.6,17.6,40,39.3,16.8,2023,62.7,"Tony Madlock","Keith Dambrot","Alabama St.Duquesne11-23"
2022-11-20,"nc","Alabama St.","SWAC","Pittsburgh","ACC","A","L",54,73,0,90.4,93.2,78.9,37.7,17.5,26.7,13.8,106.6,50,19,36.8,22.6,41.5,2023,68.5,"Tony Madlock","Jeff Capel","Alabama St.Pittsburgh11-20"
2022-11-15,"nc","Alabama St.","SWAC","San Jose St.","MWC","A","L",57,70,1,95.7,99.3,89.4,38.5,7.8,27.3,21.3,109.8,55.9,20.4,46.2,51,39.4,2023,63.8,"Tony Madlock","Tim Miles","Alabama St.San Jose St.11-15"
2022-11-13,"nc","Alabama St.","SWAC","Pepperdine","WCC","A","L",62,91,0,83.4,122.9,83.4,37,16.1,25,23.2,122.5,62.7,12.1,26.5,30.2,1.1,2023,74.3,"Tony Madlock","Lorenzo Romar","Alabama St.Pepperdine11-13"
2022-11-10,"nc","Alabama St.","SWAC","USC","P12","A","L",58,96,0,86,111.6,75.5,37.1,26,36.2,21.2,125,63.8,22.1,41.2,32.3,4.8,2023,76.8,"Tony Madlock","Andy Enfield","Alabama St.USC11-10"
2022-11-07,"nc","Alabama St.","SWAC","UAB","CUSA","A","L",70,111,0,94.5,118.9,83.8,37.5,18,29.1,21.1,133,60.2,13.2,32.4,70.3,6.7,2023,83.5,"Tony Madlock","Andy Kennedy","Alabama St.UAB11-7"
