"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Appalachian St.","SB","Arkansas St.","SB","H","W",63,51,3,95.7,87.2,100.6,53.2,12.8,11.1,46.8,81.4,43.4,22.4,23.5,15.1,74.6,2023,62.6,"Dustin Kearns","Mike Balado","Arkansas St.Appalachian St.1-28"
2023-01-26,"conf","Appalachian St.","SB","Georgia St.","SB","H","W",71,59,4,115.2,101.7,112.9,52.9,19.1,40.6,46.2,93.9,48.2,19.1,27.3,12.3,80.7,2023,62.9,"Dustin Kearns","Jonas Hayes","Georgia St.Appalachian St.1-26"
2023-01-21,"conf","Appalachian St.","SB","Old Dominion","SB","A","W",72,58,3,123.7,101.8,123.6,54.9,12,38.7,49,99.6,40.2,8.6,27,28.6,90.3,2023,58.2,"Dustin Kearns","Jeff Jones","Appalachian St.Old Dominion1-21"
2023-01-19,"conf","Appalachian St.","SB","Coastal Carolina","SB","A","L",84,93,2,111.5,121.6,114.6,52.4,16.4,33.3,34.9,126.9,68.5,19.1,32.1,21,26.8,2023,65.2,"Dustin Kearns","Cliff Ellis","Appalachian St.Coastal Carolina1-19"
2023-01-14,"conf","Appalachian St.","SB","Troy","SB","H","W",58,45,2,83.9,71.4,85.2,40.6,19.1,18.9,37.7,66.1,30.8,23.5,31.2,23.3,86.5,2023,68.1,"Dustin Kearns","Scott Cross","TroyAppalachian St.1-14"
2023-01-12,"conf","Appalachian St.","SB","Georgia Southern","SB","H","L",65,67,2,96.9,101.8,96.9,44.7,11.9,26.8,16.7,99.9,50,14.9,26.3,6.2,36.2,2023,67.1,"Dustin Kearns","Brian Burg","Georgia SouthernAppalachian St.1-12"
2023-01-07,"conf","Appalachian St.","SB","James Madison","SB","A","W",71,62,2,110.5,81.9,99.3,49.1,22.4,28.6,29.3,86.7,39.3,21,27.5,41.1,96.9,2023,71.5,"Dustin Kearns","Mark Byington","Appalachian St.James Madison1-7"
2023-01-05,"conf","Appalachian St.","SB","Coastal Carolina","SB","H","W",63,62,3,88.6,95.5,96.1,47,13.7,31,10.6,94.6,46.6,21.4,30.6,13.6,29.7,2023,65.6,"Dustin Kearns","Cliff Ellis","Coastal CarolinaAppalachian St.1-5"
2022-12-31,"conf","Appalachian St.","SB","Southern Miss","SB","A","L",70,76,6,111.5,107.8,104.8,53.7,22.5,24.1,24.1,113.8,55.8,15,28.1,50,59.7,2023,66.8,"Dustin Kearns","Jay Ladner","Appalachian St.Southern Miss12-31"
2022-12-29,"conf","Appalachian St.","SB","Marshall","SB","A","L",53,79,1,89.3,103.5,79,39.6,13.4,12.5,43.4,117.7,57.9,19.4,42.4,14.3,15.5,2023,67.1,"Dustin Kearns","Dan D'Antoni","Appalachian St.Marshall12-29"
2022-12-21,"nc","Appalachian St.","SB","UC Santa Barbara","BW","N","L",50,61,0,86.5,89.1,78,42.2,18.7,17.1,27.5,95.1,42.1,21.8,36.8,28.1,41.6,2023,64.1,"Dustin Kearns","Joe Pasternack","Appalachian St.UC Santa Barbara12-21"
2022-12-14,"nc","Appalachian St.","SB","Wake Forest","ACC","A","L",66,67,3,102.5,91.6,101.1,57.3,21.5,25,12.7,102.7,47.5,16.9,33.3,21.7,78.5,2023,65.2,"Dustin Kearns","Steve Forbes","Appalachian St.Wake Forest12-14"
2022-11-29,"nc","Appalachian St.","SB","Furman","SC","H","L",61,65,1,81,87.7,85.8,48,23.9,15.2,35.3,91.4,43.7,15.5,22,19,28.7,2023,71.1,"Dustin Kearns","Bob Richey","FurmanAppalachian St.11-29"
2022-11-23,"nc","Appalachian St.","SB","East Tennessee St.","SC","A","W",74,70,5,107.6,108.9,107.7,50,16,30.6,39.7,101.8,53.8,27.6,37.5,34,46.6,2023,68.7,"Dustin Kearns","Desmond Oliver","Appalachian St.East Tennessee St.11-23"
2022-11-20,"nc","Appalachian St.","SB","Southeastern Louisiana","Slnd","H","W",83,74,5,97.8,100.7,109.2,55.1,18.4,25,42.4,97.4,42.7,10.5,28,20,41.7,2023,76,"Dustin Kearns","David Kiefer","Southeastern LouisianaAppalachian St.11-20"
2022-11-19,"nc","Appalachian St.","SB","Kennesaw St.","ASun","H","L",67,71,0,105.9,107.6,102.9,57.8,26.1,24.1,19.6,109,50.9,15.4,33.3,35.1,45.3,2023,65.1,"Dustin Kearns","Amir Abdur-Rahim","Kennesaw St.Appalachian St.11-19"
2022-11-18,"nc","Appalachian St.","SB","Campbell","BSth","H","L",58,63,3,84.3,104,90.5,41.5,9.4,22,30.5,98.3,54,14,9.4,32,8.2,2023,64.1,"Dustin Kearns","Kevin McGeehan","CampbellAppalachian St.11-18"
2022-11-15,"nc","Appalachian St.","SB","Louisville","ACC","A","W",61,60,0,97.1,91.8,93.4,42.1,10.7,23.8,19,91.9,46.7,27.6,31.2,50,65.4,2023,65.3,"Dustin Kearns","Kenny Payne","Appalachian St.Louisville11-15"
2022-11-10,"nc","Appalachian St.","SB","North Carolina Central","MEAC","H","W",79,74,1,96.3,100.1,99.9,50,10.1,14.6,35.9,93.6,46.3,17.7,20.6,19.1,38.9,2023,70.3,"Dustin Kearns","LeVelle Moton","North Carolina CentralAppalachian St.11-10"
