"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Arizona St.","P12","Washington St.","P12","A","L",58,75,3,92.4,97.9,83.1,38.4,17.2,18.4,33.9,107.5,47.7,17.2,38.1,27.7,33.7,2023,69.8,"Bobby Hurley","Kyle Smith","Arizona St.Washington St.1-28"
2023-01-26,"conf","Arizona St.","P12","Washington","P12","A","L",66,69,0,80.8,78.7,77,36.7,18.7,19.6,17.3,80.5,45.5,25.7,17.9,50,57.4,2023,76.2,"Bobby Hurley","Mike Hopkins","Arizona St.Washington1-26"
2023-01-21,"conf","Arizona St.","P12","USC","P12","H","L",69,77,1,103.5,109.3,101,42.3,16.1,39.5,29.2,112.7,55.3,26.3,44.8,24.6,34.9,2023,68.3,"Bobby Hurley","Andy Enfield","USCArizona St.1-21"
2023-01-19,"conf","Arizona St.","P12","UCLA","P12","H","L",62,74,2,118.1,102.5,97.1,54.1,28.2,32.1,24.5,115.9,55.8,20.4,40.7,40.4,83.6,2023,63.8,"Bobby Hurley","Mick Cronin","UCLAArizona St.1-19"
2023-01-14,"conf","Arizona St.","P12","Oregon St.","P12","A","W",74,69,1,113.5,112.2,112.6,57.1,19.8,33.3,55.1,105,51.8,24.3,39.4,25,53.2,2023,65.7,"Bobby Hurley","Wayne Tinkle","Arizona St.Oregon St.1-14"
2023-01-12,"conf","Arizona St.","P12","Oregon","P12","A","W",90,73,4,143.7,94.3,131.7,62.7,13.2,34.4,22.2,106.8,49.2,14.6,23.5,28.8,99.2,2023,68.4,"Bobby Hurley","Dana Altman","Arizona St.Oregon1-12"
2023-01-08,"conf","Arizona St.","P12","Washington","P12","H","W",73,65,4,102.4,90.1,100.4,47.2,15.1,32.6,14.1,89.4,41,17.9,28.3,20.9,81.3,2023,72.7,"Bobby Hurley","Mike Hopkins","WashingtonArizona St.1-8"
2023-01-05,"conf","Arizona St.","P12","Washington St.","P12","H","W",77,71,3,123.4,100.1,115.4,59.8,15,21.4,26.8,106.4,51.6,18,33.3,14.3,91.8,2023,66.7,"Bobby Hurley","Kyle Smith","Washington St.Arizona St.1-5"
2022-12-31,"conf","Arizona St.","P12","Arizona","P12","H","L",60,69,6,89.4,90,85.1,38.4,12.8,24.4,14.5,97.8,42.5,18.4,28.6,52.8,47.9,2023,70.5,"Bobby Hurley","Tommy Lloyd","ArizonaArizona St.12-31"
2022-12-21,"nc","Arizona St.","P12","San Francisco","WCC","A","L",60,97,1,86.5,126.4,82.7,31.6,12.4,35.1,44.1,133.7,70.5,17.9,28.6,48.2,1.3,2023,72.5,"Bobby Hurley","Chris Gerlufsen","Arizona St.San Francisco12-21"
2022-12-18,"nc","Arizona St.","P12","San Diego","WCC","H","W",91,67,6,111.5,93.6,128,57.6,15.5,39.5,33.3,94.2,47.7,21.1,34.9,15.4,88.2,2023,71.1,"Bobby Hurley","Steve Lavin","San DiegoArizona St.12-18"
2022-12-12,"nc","Arizona St.","P12","Creighton","BE","N","W",73,71,1,116.5,92.8,105.7,50.8,14.5,32.4,23.4,102.8,46,11.6,25,30.6,93.2,2023,69.1,"Bobby Hurley","Greg McDermott","Arizona St.Creighton12-12"
2022-12-07,"nc","Arizona St.","P12","SMU","Amer","A","W",75,57,8,113.5,98,117.9,51.6,14.2,38.9,22.6,89.6,40.9,18.9,30.8,32.7,84.4,2023,63.6,"Bobby Hurley","Rob Lanier","Arizona St.SMU12-7"
2022-12-04,"conf","Arizona St.","P12","Stanford","P12","H","W",68,64,5,97.1,84.7,93.7,47.4,23.4,31.4,35.1,88.2,40.6,20.7,30.2,21.9,82.8,2023,72.6,"Bobby Hurley","Jerod Haase","StanfordArizona St.12-4"
