"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Arkansas Pine Bluff","SWAC","Mississippi Valley St.","SWAC","H","W",88,72,0,100.1,100.8,106.6,61.4,35.1,26.1,90.9,87.2,47.9,24.2,19.4,75,48.1,2023,82.6,"George Ivory","George Ivory","Mississippi Valley St.Arkansas Pine Bluff1-28"
2023-01-23,"conf","Arkansas Pine Bluff","SWAC","Grambling St.","SWAC","H","L",70,77,1,98.9,119.1,100.1,46.3,21.4,33.3,40.7,110.1,59.4,27.2,27.3,45.8,10.6,2023,69.9,"George Ivory","Donte Jackson","Grambling St.Arkansas Pine Bluff1-23"
2023-01-21,"conf","Arkansas Pine Bluff","SWAC","Southern","SWAC","H","W",62,55,3,94.6,82.4,90.7,48.1,29.3,37.5,26.9,80.5,41,29.3,22.2,34,82.9,2023,68.4,"George Ivory","Sean Woods","SouthernArkansas Pine Bluff1-21"
2023-01-16,"conf","Arkansas Pine Bluff","SWAC","Bethune Cookman","SWAC","A","W",77,71,0,103.2,111.1,113,53.6,23.5,43.2,50.9,104.2,50.9,14.7,27,36.2,29.9,2023,68.1,"George Ivory","Reggie Theus","Arkansas Pine BluffBethune Cookman1-16"
2023-01-14,"conf","Arkansas Pine Bluff","SWAC","Florida A&M","SWAC","A","W",67,54,1,97.4,97.7,102.1,44.9,18.3,34.4,61.2,82.3,46.7,27.4,20,46.7,49.2,2023,65.6,"George Ivory","Robert McCallum","Arkansas Pine BluffFlorida A&M1-14"
2023-01-09,"conf","Arkansas Pine Bluff","SWAC","Prairie View A&M","SWAC","H","W",63,55,1,88.6,89.3,88.5,51.2,30.9,15.4,65.9,77.2,39.7,25.3,31.7,27.6,47.8,2023,71.2,"George Ivory","Byron Smith","Prairie View A&MArkansas Pine Bluff1-9"
2023-01-07,"conf","Arkansas Pine Bluff","SWAC","Texas Southern","SWAC","H","W",70,66,3,80.6,92.9,85.4,39.5,15.9,18.8,53.2,80.5,40.5,26.8,24.4,44.8,16.3,2023,82,"George Ivory","Johnny Jones","Texas SouthernArkansas Pine Bluff1-7"
2023-01-04,"conf","Arkansas Pine Bluff","SWAC","Alabama St.","SWAC","A","L",66,80,0,91.2,121.8,93.2,45.9,18.4,24.4,26.2,113,48.5,14.1,37.5,28.8,3.4,2023,70.8,"George Ivory","Tony Madlock","Arkansas Pine BluffAlabama St.1-4"
2023-01-02,"conf","Arkansas Pine Bluff","SWAC","Alabama A&M","SWAC","A","L",59,66,1,79.2,94,78.8,36.1,25.4,34.1,29.5,88.2,48.4,26.7,34.3,24.6,12.3,2023,74.8,"George Ivory","Otis Hughley Jr.","Arkansas Pine BluffAlabama A&M1-2"
2022-12-14,"nc","Arkansas Pine Bluff","SWAC","Minnesota","B10","A","L",56,72,1,89.6,109.2,83.7,38.6,17.9,31.1,10.6,107.6,61.7,23.9,20,38.3,9.4,2023,66.9,"George Ivory","Ben Johnson","Arkansas Pine BluffMinnesota12-14"
2022-12-10,"nc","Arkansas Pine Bluff","SWAC","Texas","B12","A","L",43,88,1,82.2,105.2,64.1,39.2,32.8,20.6,5.9,131.2,63.8,13.4,38.7,15.4,5.5,2023,67.1,"George Ivory","Rodney Terry","Arkansas Pine BluffTexas12-10"
2022-11-20,"nc","Arkansas Pine Bluff","SWAC","Nebraska","B10","A","L",58,82,1,104.1,121.3,90.1,50.9,28,25,5.6,127.4,60.2,15.5,43.3,48.1,14.7,2023,64.4,"George Ivory","Fred Hoiberg","Arkansas Pine BluffNebraska11-20"
2022-11-18,"nc","Arkansas Pine Bluff","SWAC","Cleveland St.","Horz","A","L",58,67,1,84.8,97.1,84.8,35.7,17.5,30.2,44.6,97.9,47.2,24.8,29.4,39.6,17.5,2023,68.4,"George Ivory","Daniyal Robinson","Arkansas Pine BluffCleveland St.11-18"
2022-11-16,"nc","Arkansas Pine Bluff","SWAC","Kent St.","MAC","A","L",68,94,1,91.7,104.9,80.4,46.7,23.7,10.3,26.7,111.2,55.6,24.8,27.6,72.2,17.5,2023,84.6,"George Ivory","Rob Senderoff","Arkansas Pine BluffKent St.11-16"
2022-11-13,"nc","Arkansas Pine Bluff","SWAC","Mississippi St.","SEC","A","L",47,80,1,82.5,112.8,68.9,34.4,26.4,31.1,11.5,117.3,52.4,17.6,42.9,30.6,2.7,2023,68.2,"George Ivory","Chris Jans","Arkansas Pine BluffMississippi St.11-13"
2022-11-11,"nc","Arkansas Pine Bluff","SWAC","Oklahoma","B12","A","L",58,66,3,93.5,86.9,85,43.8,14.7,14.3,23.2,96.7,51.1,19.1,10,60.9,69.9,2023,68.2,"George Ivory","Porter Moser","Arkansas Pine BluffOklahoma11-11"
2022-11-07,"nc","Arkansas Pine Bluff","SWAC","TCU","B12","A","L",72,73,2,111.8,87.1,96.1,51.6,20,20,15.9,97.5,42.6,17.4,28.2,70.4,94.7,2023,74.9,"George Ivory","Jamie Dixon","Arkansas Pine BluffTCU11-7"
