"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Army","Pat","Holy Cross","Pat","H","W",66,55,1,100.5,91.6,101.3,47.5,15.4,35.1,25,84.5,46.1,18.4,13.3,29.4,74.3,2023,65.1,"Jimmy Allen","Brett Nelson","Holy CrossArmy1-28"
2023-01-25,"conf","Army","Pat","American","Pat","A","L",61,63,3,97.6,96.2,96.1,51,23.6,23.1,26.5,99.3,52.9,22.1,25.9,19.6,54.3,2023,63.5,"Jimmy Allen","Mike Brennan","ArmyAmerican1-25"
2023-01-21,"conf","Army","Pat","Navy","Pat","H","L",71,77,1,95.9,103.3,97.7,54.8,23.4,25.9,44.2,106,53.5,13.8,20,42.1,29.9,2023,72.7,"Jimmy Allen","Ed DeChellis","NavyArmy1-21"
2023-01-18,"conf","Army","Pat","Bucknell","Pat","H","L",66,68,1,86.7,113.8,96.9,46.7,10.3,17.6,28.3,99.8,55.8,22,21.4,25,4.2,2023,68.1,"Jimmy Allen","Nathan Davis","BucknellArmy1-18"
2023-01-14,"conf","Army","Pat","Boston University","Pat","A","W",83,74,0,127.1,123.3,129.1,68.8,18.7,22.7,45.8,115.1,61.8,15.6,19.2,29.4,58.7,2023,64.3,"Jimmy Allen","Joe Jones","ArmyBoston University1-14"
2023-01-09,"conf","Army","Pat","Colgate","Pat","H","L",75,77,0,103.2,104.9,109.1,54.8,13.1,22.9,17.5,112,60.3,17.5,23.1,15.5,45.5,2023,68.8,"Jimmy Allen","Matt Langel","ColgateArmy1-9"
2023-01-05,"conf","Army","Pat","Loyola MD","Pat","A","W",78,55,0,106.9,94.8,116.2,63,22.3,33.3,27.8,81.9,50,29.8,29,26,80,2023,67.2,"Jimmy Allen","Tavaris Hardy","ArmyLoyola MD1-5"
2023-01-02,"conf","Army","Pat","Lafayette","Pat","A","W",82,65,2,135.2,106.8,129.2,69.8,22.1,30.4,17,102.4,46.7,9.5,25.6,19.7,93.7,2023,63.5,"Jimmy Allen","Mike Jordan","ArmyLafayette1-2"
2022-12-30,"conf","Army","Pat","Lehigh","Pat","H","W",80,78,0,122.2,119.2,119.7,65.7,15,16,37.3,116.7,55.7,10.5,22.9,26.2,57.1,2023,66.8,"Jimmy Allen","Brett Reed","LehighArmy12-30"
2022-12-20,"nc","Army","Pat","Central Connecticut","NEC","A","W",66,55,2,98.3,89,102,58.7,21.6,18.5,39.1,85,38.3,17,27.9,9.4,75.9,2023,64.7,"Jimmy Allen","Patrick Sellers","ArmyCentral Connecticut12-20"
2022-12-18,"nc","Army","Pat","Stony Brook","CAA","A","L",59,66,0,91.8,103.6,91.8,45.8,15.6,26.8,20,102.7,48,17.1,30.3,59.2,19.9,2023,64.2,"Jimmy Allen","Geno Ford","ArmyStony Brook12-18"
2022-12-10,"nc","Army","Pat","Rhode Island","A10","A","L",67,77,1,97.6,113.8,96.8,49.2,13,16.7,11.1,111.2,54.2,21.7,38.7,25.4,14.5,2023,69.2,"Jimmy Allen","Archie Miller","ArmyRhode Island12-10"
2022-12-07,"nc","Army","Pat","NJIT","AE","H","W",63,62,1,92.1,100.6,96.4,45.5,22.9,45,7.6,94.8,40.7,7.6,26.1,7.1,26.6,2023,65.4,"Jimmy Allen","Brian Kennedy","NJITArmy12-7"
2022-12-03,"nc","Army","Pat","Wagner","NEC","H","W",75,64,2,106,103.2,109.1,53.1,21.8,32.3,57.1,93.1,47.6,21.8,29.3,17.7,57.7,2023,68.8,"Jimmy Allen","Donald Copeland","WagnerArmy12-3"
2022-11-26,"nc","Army","Pat","Manhattan","MAAC","N","L",71,72,1,99.2,111.5,104.5,55.6,29.4,36,57.8,105.9,50.8,11.8,23.1,26.2,20.7,2023,68,"Jimmy Allen","RaShawn Stores","ArmyManhattan11-26"
2022-11-24,"nc","Army","Pat","Princeton","Ivy","N","L",66,74,3,95.9,98.5,92.9,43.1,12.7,13.2,32.8,104.2,50.8,14.1,20.5,27.9,42.4,2023,71.1,"Jimmy Allen","Mitch Henderson","ArmyPrinceton11-24"
2022-11-20,"nc","Army","Pat","Radford","BSth","N","L",75,90,0,115.7,121,106,61,24,16.7,34,127.2,65.2,11.3,14.8,39.3,37.5,2023,70.8,"Jimmy Allen","Darris Nichols","ArmyRadford11-20"
2022-11-19,"nc","Army","Pat","William & Mary","CAA","A","L",67,76,1,95.5,107.7,97.5,51,18.9,21.2,40.4,110.5,42.9,13.1,35,69.6,20.2,2023,68.8,"Jimmy Allen","Dane Fischer","ArmyWilliam & Mary11-19"
2022-11-16,"nc","Army","Pat","Siena","MAAC","A","W",96,94,2,119.9,112.3,117,68.3,21.9,13.8,35,114.6,64.3,19.5,20,23.8,68,2023,72.9,"Jimmy Allen","Carmen Marciariello","ArmySiena11-16"
2022-11-12,"nc","Army","Pat","Stonehill","NEC","H","L",77,82,1,93.8,120.5,100.6,48.3,14.4,13.3,40.7,107.2,59.3,15.7,7.7,23.7,5.3,2023,76.5,"Jimmy Allen","Chris Kraus","StonehillArmy11-12"
