"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"nc","Auburn","SEC","West Virginia","B12","A","L",77,80,2,113.9,104,108.9,54.2,18.4,29,30.5,113.1,54.6,17,26.7,46.3,73.9,2023,70.7,"Bruce Pearl","Bob Huggins","AuburnWest Virginia1-28"
2023-01-25,"conf","Auburn","SEC","Texas A&M","SEC","H","L",63,79,2,102,108.1,94.9,45.9,19.6,22.6,49,119,53.6,13.6,30,43.6,33.8,2023,66.4,"Bruce Pearl","Buzz Williams","Texas A&MAuburn1-25"
2023-01-21,"conf","Auburn","SEC","South Carolina","SEC","A","W",81,66,11,114.5,94.7,115.5,52.5,12.8,30.3,41.7,94.1,42,20,32.4,42.9,90,2023,70.1,"Bruce Pearl","Lamont Paris","AuburnSouth Carolina1-21"
2023-01-18,"conf","Auburn","SEC","LSU","SEC","A","W",67,49,2,108,78,106.1,50.8,15.8,31.4,18.6,77.6,32.8,17.4,31.8,29.3,97.7,2023,63.2,"Bruce Pearl","Matt McMahon","AuburnLSU1-18"
2023-01-14,"conf","Auburn","SEC","Mississippi St.","SEC","H","W",69,63,2,109.9,89,97.5,53.6,28.3,30.3,23.6,89.1,37.5,22.6,40.5,50,91.9,2023,70.7,"Bruce Pearl","Chris Jans","Mississippi St.Auburn1-14"
2023-01-10,"conf","Auburn","SEC","Mississippi","SEC","A","W",82,73,5,123.4,105,118.8,52.5,14.5,35.3,36.1,105.8,51.8,15.9,18.8,32.7,86.4,2023,69,"Bruce Pearl","Kermit Davis","AuburnMississippi1-10"
2023-01-04,"conf","Auburn","SEC","Georgia","SEC","A","L",64,76,3,102.8,109.8,95,39.1,16.3,42.9,23.2,112.8,50.9,16.3,32.4,60.4,31.8,2023,67.4,"Bruce Pearl","Mike White","AuburnGeorgia1-4"
2022-12-28,"conf","Auburn","SEC","Florida","SEC","H","W",61,58,4,107.3,94.1,95.7,40.9,23.5,42.5,43.6,91,43.6,18.8,17.9,40.4,81.9,2023,63.7,"Bruce Pearl","Todd Golden","FloridaAuburn12-28"
2022-12-21,"nc","Auburn","SEC","Washington","P12","A","W",84,61,8,118.9,85.9,116.5,62.7,20.8,37.9,27.1,84.6,41.2,19.4,16.2,31.6,97.7,2023,72.1,"Bruce Pearl","Mike Hopkins","AuburnWashington12-21"
2022-12-18,"nc","Auburn","SEC","USC","P12","A","L",71,74,2,109.8,97.1,101.3,55.3,32.8,47.6,51.1,105.5,50,17.1,26.7,51.9,80.4,2023,70.1,"Bruce Pearl","Andy Enfield","AuburnUSC12-18"
2022-12-14,"nc","Auburn","SEC","Georgia St.","SB","H","W",72,64,3,104,106.9,106.1,54.1,16.2,25.9,61.2,94.3,42.2,23.6,44.1,34.5,42.2,2023,67.9,"Bruce Pearl","Jonas Hayes","Georgia St.Auburn12-14"
2022-12-10,"nc","Auburn","SEC","Memphis","Amer","N","L",73,82,3,100.9,97,94,42.9,19.3,27.5,38.1,105.6,53.3,24.5,40,41.7,61.3,2023,77.6,"Bruce Pearl","Penny Hardaway","AuburnMemphis12-10"
2022-12-02,"nc","Auburn","SEC","Colgate","Pat","H","W",93,66,8,126.2,93.1,136.1,62.7,11.7,37.1,23.9,96.6,50.9,17.6,29.7,33.3,97,2023,68.3,"Bruce Pearl","Matt Langel","ColgateAuburn12-2"
2022-11-27,"nc","Auburn","SEC","Saint Louis","A10","H","W",65,60,2,87,79.2,88.4,43.2,16.3,18.4,37.3,81.6,43.1,16.3,24.4,21.5,74.7,2023,73.6,"Bruce Pearl","Travis Ford","Saint LouisAuburn11-27"
2022-11-23,"nc","Auburn","SEC","Northwestern","B10","N","W",43,42,2,78.3,64.4,70.4,31,22.9,32.5,36,68.8,26.8,13.1,22.5,28.6,90.5,2023,61.1,"Bruce Pearl","Chris Collins","AuburnNorthwestern11-23"
2022-11-22,"nc","Auburn","SEC","Bradley","MVC","N","W",85,64,7,130.5,90.7,122.6,63.6,20.2,32,36.4,92.3,50,21.6,26.5,23.2,98.5,2023,69.3,"Bruce Pearl","Brian Wardle","AuburnBradley11-22"
2022-11-18,"nc","Auburn","SEC","Texas Southern","SWAC","H","W",72,56,5,92.8,86.7,97.2,50.9,27,37.5,35.7,75.6,36.9,27,35.9,26.2,68.7,2023,74.1,"Bruce Pearl","Johnny Jones","Texas SouthernAuburn11-18"
2022-11-15,"nc","Auburn","SEC","Winthrop","BSth","H","W",89,65,3,121.8,99.5,134.4,52.7,12.1,59.5,27.4,98.2,41,16.6,36.4,37.7,91.1,2023,66.2,"Bruce Pearl","Mark Prosser","WinthropAuburn11-15"
2022-11-11,"nc","Auburn","SEC","South Florida","Amer","H","W",67,59,4,89.5,84.5,93.7,45.2,28,39.5,61.5,82.5,37.1,23.8,43.5,40.3,66,2023,71.5,"Bruce Pearl","Brian Gregory","South FloridaAuburn11-11"
2022-11-07,"nc","Auburn","SEC","George Mason","A10","H","W",70,52,2,101,75.2,99.6,36.6,12.8,44.9,40.8,74,43.8,27,27.8,14.3,96.8,2023,70.3,"Bruce Pearl","Kim English","George MasonAuburn11-7"
