"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Bethune Cookman","SWAC","Alabama St.","SWAC","H","W",64,62,0,95.9,109.8,101.8,45.5,20.7,40.6,28.6,98.6,47.4,15.9,30.6,22.8,17.4,2023,62.9,"Reggie Theus","Tony Madlock","Alabama St.Bethune Cookman1-28"
2023-01-23,"conf","Bethune Cookman","SWAC","Alcorn St.","SWAC","A","L",68,76,1,96.2,106.6,95.3,52.8,21,24.1,31.5,106.5,46.2,14,32.4,24.2,23.6,2023,71.3,"Reggie Theus","Landon Bussie","Bethune CookmanAlcorn St.1-23"
2023-01-21,"conf","Bethune Cookman","SWAC","Jackson St.","SWAC","A","L",66,70,2,84,103.2,89.4,40.2,14.9,26.3,22.7,94.8,45.8,14.9,14.3,30.5,8.5,2023,73.8,"Reggie Theus","Mo Williams","Bethune CookmanJackson St.1-21"
2023-01-16,"conf","Bethune Cookman","SWAC","Arkansas Pine Bluff","SWAC","H","L",71,77,0,103.2,127.3,104.2,50.9,14.7,27,36.2,113,53.6,23.5,43.2,50.9,8.2,2023,68.1,"Reggie Theus","George Ivory","Arkansas Pine BluffBethune Cookman1-16"
2023-01-14,"conf","Bethune Cookman","SWAC","Mississippi Valley St.","SWAC","H","W",77,71,1,100.4,125.2,111.8,62.5,18.9,23.3,38.5,103.1,46.5,20.3,44.2,12.7,7.3,2023,68.9,"Reggie Theus","George Ivory","Mississippi Valley St.Bethune Cookman1-14"
2023-01-09,"conf","Bethune Cookman","SWAC","Southern","SWAC","A","L",75,102,0,97.8,129.4,92.7,53.5,27.2,17.6,33.3,126.1,71.8,18.5,17.4,52.7,3.8,2023,80.9,"Reggie Theus","Sean Woods","Bethune CookmanSouthern1-9"
2023-01-07,"conf","Bethune Cookman","SWAC","Grambling St.","SWAC","A","L",70,76,0,104.9,117.7,103.1,52,19.1,33.3,46.9,111.9,57.5,20.6,47.4,47.2,21.1,2023,67.9,"Reggie Theus","Donte Jackson","Bethune CookmanGrambling St.1-7"
2023-01-02,"conf","Bethune Cookman","SWAC","Florida A&M","SWAC","A","W",67,59,0,104.1,110.4,107.6,45.2,11.2,27.5,61.5,94.7,41.5,22.5,37.5,55.3,33.8,2023,62.3,"Reggie Theus","Robert McCallum","Bethune CookmanFlorida A&M1-2"
2022-12-29,"nc","Bethune Cookman","SWAC","Illinois","B10","A","L",52,85,2,75,104.9,67.4,31.9,27.2,28.6,34.5,110.2,55.9,19.4,27.3,45.8,2.1,2023,77.2,"Reggie Theus","Brad Underwood","Bethune CookmanIllinois12-29"
2022-12-22,"nc","Bethune Cookman","SWAC","North Florida","ASun","H","L",85,87,0,96.6,114.4,109.5,51.5,11.6,20,35.4,112.1,54,11.6,19.4,45.2,12.5,2023,77.6,"Reggie Theus","Matthew Driscoll","North FloridaBethune Cookman12-22"
2022-12-18,"nc","Bethune Cookman","SWAC","UTSA","CUSA","A","L",69,90,0,95.3,125.5,98.2,50,17.1,22.2,21.7,128.1,56,18.5,41.2,48.3,4,2023,70.2,"Reggie Theus","Steve Henson","Bethune CookmanUTSA12-18"
2022-12-16,"nc","Bethune Cookman","SWAC","Incarnate Word","Slnd","A","L",65,77,4,90.7,114.2,91.1,48.4,29.4,43.2,16.1,107.9,60.2,22.4,21.7,46.9,6.6,2023,71.3,"Reggie Theus","Carson Cunningham","Bethune CookmanIncarnate Word12-16"
2022-12-10,"nc","Bethune Cookman","SWAC","North Florida","ASun","A","L",48,88,3,59.7,116.1,64.7,29.7,18.9,22.9,20.3,118.7,64.2,24.3,32.3,25,0,2023,74.2,"Reggie Theus","Matthew Driscoll","Bethune CookmanNorth Florida12-10"
2022-12-01,"nc","Bethune Cookman","SWAC","Chicago St.","ind","H","W",86,73,2,113,111,124.8,50.8,14.5,44.7,41.3,106,46.6,18.9,36.1,37.3,55.1,2023,68.9,"Reggie Theus","Gerald Gillian","Chicago St.Bethune Cookman12-1"
2022-11-27,"nc","Bethune Cookman","SWAC","Northwestern St.","Slnd","N","L",66,69,0,97.1,106.7,101,45.6,13.8,27.8,35.1,105.6,46.9,19.9,45,16.9,25.2,2023,65.4,"Reggie Theus","Corey Gipson","Bethune CookmanNorthwestern St.11-27"
2022-11-26,"nc","Bethune Cookman","SWAC","Idaho St.","BSky","N","W",68,66,6,93.7,100.1,99.2,48.4,13.1,17.6,17.7,96.3,54.5,24.8,29,10.7,31.9,2023,60.9,"Reggie Theus","Ryan Looney","Bethune CookmanIdaho St.11-26"
2022-11-21,"nc","Bethune Cookman","SWAC","Charleston Southern","BSth","A","L",63,78,1,85.5,112.2,96,47.3,19.8,31.4,25,118.9,52.4,16.8,39.5,25.4,4.2,2023,65.6,"Reggie Theus","Barclay Radebaugh","Bethune CookmanCharleston Southern11-21"
2022-11-10,"nc","Bethune Cookman","SWAC","Indiana","B10","A","L",49,101,2,84.1,120.4,68.7,42.2,26.6,14.7,25.5,141.6,66.7,18.2,46.2,36.7,1.6,2023,71.3,"Reggie Theus","Mike Woodson","Bethune CookmanIndiana11-10"
2022-11-07,"nc","Bethune Cookman","SWAC","Iowa","B10","A","L",58,89,1,79.7,102.3,77.9,38.6,21.5,23.3,10.6,119.5,59,14.8,32.4,20.9,5.4,2023,74.5,"Reggie Theus","Fran McCaffery","Bethune CookmanIowa11-7"
