"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Binghamton","AE","Bryant","AE","H","W",84,67,2,112.5,94.9,120.8,59.2,18.7,28.6,77.6,96.3,44.3,15.8,33.3,27.9,87.7,2023,69.6,"Levell Sanders","Jared Grasso","BryantBinghamton1-28"
2023-01-25,"conf","Binghamton","AE","Vermont","AE","H","L",55,80,0,93.5,125.8,88.5,43.5,22.5,32.4,20.4,128.8,60.7,8,26.7,33.9,3.2,2023,62.1,"Levell Sanders","John Becker","VermontBinghamton1-25"
2023-01-22,"conf","Binghamton","AE","Maine","AE","A","L",57,78,2,83.6,117.4,85.8,45.8,28.6,27.6,31.2,117.4,54,13.6,32.4,19,2,2023,66.4,"Levell Sanders","Chris Markwood","BinghamtonMaine1-22"
2023-01-14,"conf","Binghamton","AE","UMass Lowell","AE","H","W",66,65,1,97.5,100.1,99.8,48.1,13.6,20,44.2,98.2,36.5,21.2,48.9,38.1,42.6,2023,66.2,"Levell Sanders","Pat Duquette","UMass LowellBinghamton1-14"
2023-01-11,"conf","Binghamton","AE","NJIT","AE","A","W",72,71,2,101.9,103.2,102.6,48.4,14.3,28.9,21.9,101.2,49.2,18.5,31.6,22.2,46.4,2023,62.4,"Levell Sanders","Brian Kennedy","BinghamtonNJIT1-11"
2023-01-05,"conf","Binghamton","AE","New Hampshire","AE","H","W",68,50,3,105.2,87.7,109.5,51.7,14.5,26.5,20.7,80.5,43.6,11.3,11.8,46.8,88.9,2023,62.1,"Levell Sanders","Bill Herrion","New HampshireBinghamton1-5"
2022-12-31,"conf","Binghamton","AE","Bryant","AE","A","L",78,82,1,102.1,106.3,105.9,43.1,10.9,29.5,25,111.4,53.8,14.9,20.7,59.6,38.8,2023,73.6,"Levell Sanders","Jared Grasso","BinghamtonBryant12-31"
2022-12-29,"nc","Binghamton","AE","Cornell","Ivy","A","L",70,86,2,98.5,109,101,56.2,28.9,41.4,21.4,124.1,58.6,13,30,39.7,23.9,2023,69.3,"Levell Sanders","Brian Earl","BinghamtonCornell12-29"
2022-12-21,"nc","Binghamton","AE","Niagara","MAAC","A","L",67,73,0,94.6,112.4,97.8,47.4,13.1,23.3,25.9,106.6,59.1,23.4,10,56.8,12.1,2023,68.5,"Levell Sanders","Greg Paulus","BinghamtonNiagara12-21"
2022-12-09,"nc","Binghamton","AE","Fordham","A10","A","L",62,77,0,89,104.7,83.4,40.5,22.9,29.3,39.7,103.6,51.9,22.9,28.6,63.5,13.5,2023,74.3,"Levell Sanders","Keith Urgo","BinghamtonFordham12-9"
2022-12-07,"nc","Binghamton","AE","Colgate","Pat","H","L",62,81,1,89.4,122.9,97.8,54.2,20.5,24,33.3,127.8,63.6,14.2,25,27.3,2.5,2023,63.4,"Levell Sanders","Matt Langel","ColgateBinghamton12-7"
2022-12-03,"nc","Binghamton","AE","Stonehill","NEC","H","L",66,69,1,91.1,116.5,98.4,47.6,22.4,34.1,21,102.9,54.2,16.4,13.3,43.8,5.6,2023,67.1,"Levell Sanders","Chris Kraus","StonehillBinghamton12-3"
2022-11-30,"nc","Binghamton","AE","Loyola MD","Pat","H","L",70,84,4,101.6,134.3,103.8,52.5,22.2,38.7,18.6,124.5,65.8,17.8,25.9,21.1,3.9,2023,67.5,"Levell Sanders","Tavaris Hardy","Loyola MDBinghamton11-30"
2022-11-26,"nc","Binghamton","AE","La Salle","A10","A","L",62,65,4,85.3,94.9,87.4,48.9,29.6,24.1,51.1,91.6,45,14.1,23.1,30,22.7,2023,71,"Levell Sanders","Fran Dunphy","BinghamtonLa Salle11-26"
2022-11-23,"nc","Binghamton","AE","Columbia","Ivy","H","W",81,79,2,111.3,133,118.3,55.1,13.1,25.7,33.9,115.4,62,20.4,21.4,44,11.4,2023,68.5,"Levell Sanders","Jim Engles","ColumbiaBinghamton11-23"
2022-11-19,"nc","Binghamton","AE","Sacred Heart","NEC","H","L",60,75,2,83.6,116.3,87.1,42.4,23.2,33.3,18.6,108.9,44.2,14.5,43.9,26.1,2.2,2023,68.9,"Levell Sanders","Anthony Latina","Sacred HeartBinghamton11-19"
2022-11-15,"nc","Binghamton","AE","Maryland","B10","A","L",52,76,0,81,106.5,76.3,37.7,22,29.5,19.7,111.5,51.6,10.3,30.6,25,4.1,2023,68.2,"Levell Sanders","Kevin Willard","BinghamtonMaryland11-15"
2022-11-12,"nc","Binghamton","AE","Marist","MAAC","A","W",78,75,1,113.6,115.8,113.6,54.5,20.4,37.8,44.6,109.2,48.3,13.1,20,34.5,44.4,2023,68.7,"Levell Sanders","John Dunne","BinghamtonMarist11-12"
