"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Boston College","ACC","Clemson","ACC","H","W",62,54,0,95.8,82,93.5,43.6,16.6,19.4,30.9,81.4,36.5,25.6,30.6,30.8,85.7,2023,66.3,"Earl Grant","Brad Brownell","ClemsonBoston College1-31"
2023-01-28,"conf","Boston College","ACC","Virginia","ACC","A","L",57,76,2,99.7,101.2,86.8,44.9,24.4,20,28.6,115.7,55.9,16.7,32.1,16.9,45.6,2023,65.7,"Earl Grant","Tony Bennett","Boston CollegeVirginia1-28"
2023-01-25,"conf","Boston College","ACC","Louisville","ACC","H","W",75,65,2,106.9,117.1,117.3,56.9,15.6,29.6,41.2,101.7,62.2,29.7,24,12.2,26,2023,63.9,"Earl Grant","Kenny Payne","LouisvilleBoston College1-25"
2023-01-21,"conf","Boston College","ACC","Notre Dame","ACC","A","W",84,72,1,117.3,102.3,124,67.6,17.7,18.2,33.3,106.3,54.7,17.7,21.2,41.5,82.9,2023,67.8,"Earl Grant","Mike Brey","Boston CollegeNotre Dame1-21"
2023-01-17,"conf","Boston College","ACC","North Carolina","ACC","A","L",64,72,1,103.8,99.9,97.2,48.1,13.7,17.9,25.9,109.3,50.8,18.2,38.9,27.9,61.1,2023,65.9,"Earl Grant","Hubert Davis","Boston CollegeNorth Carolina1-17"
2023-01-14,"conf","Boston College","ACC","Wake Forest","ACC","H","L",63,85,1,92.6,112.2,92.1,46.4,21.9,25,25.5,124.2,60,11.7,30.3,20,9.9,2023,68.4,"Earl Grant","Steve Forbes","Wake ForestBoston College1-14"
2023-01-11,"conf","Boston College","ACC","Miami FL","ACC","A","L",72,88,5,114.2,115.8,109.5,54,13.7,31.2,11.1,133.9,71.7,21.3,40,28.3,46.1,2023,65.7,"Earl Grant","Jim Larranaga","Boston CollegeMiami FL1-11"
2023-01-07,"conf","Boston College","ACC","Duke","ACC","H","L",64,65,0,102.3,96.5,98.2,46,13.8,28.9,11.1,99.7,45.3,23,34.4,35.8,66.1,2023,65.2,"Earl Grant","Jon Scheyer","DukeBoston College1-7"
2023-01-03,"conf","Boston College","ACC","Notre Dame","ACC","H","W",70,63,0,99.5,98.8,109.6,53.7,14.1,26.7,35.2,98.6,48.3,7.8,15.4,16.7,51.9,2023,63.9,"Earl Grant","Mike Brey","Notre DameBoston College1-3"
2022-12-31,"conf","Boston College","ACC","Syracuse","ACC","A","L",65,79,1,95.1,100.4,90.2,44.6,23.6,30.6,37.5,109.6,53.2,19.4,32.4,24.2,35,2023,72.1,"Earl Grant","Jim Boeheim","Boston CollegeSyracuse12-31"
2022-12-21,"conf","Boston College","ACC","Virginia Tech","ACC","H","W",70,65,3,103.1,89.7,100.7,42.4,13,37,16.7,93.5,44.7,21.6,41,13.6,83.2,2023,61.8,"Earl Grant","Mike Young","Virginia TechBoston College12-21"
2022-12-13,"nc","Boston College","ACC","Stonehill","NEC","H","W",63,56,0,82,83.8,85.9,47.1,19.1,6.7,36.5,76.4,42.2,23.2,21.6,24.1,43.9,2023,73.3,"Earl Grant","Chris Kraus","StonehillBoston College12-13"
2022-12-10,"nc","Boston College","ACC","Villanova","BE","N","L",56,77,2,89.6,107.4,85,46.4,21.2,18.4,16.1,116.9,56.5,10.6,18.8,37,11,2023,65.9,"Earl Grant","Kyle Neptune","Boston CollegeVillanova12-10"
2022-12-06,"nc","Boston College","ACC","New Hampshire","AE","H","L",71,74,1,99,110.6,100.5,40.8,14.2,36.2,43.1,104.8,48.4,21.2,41.5,33.9,21.8,2023,62.8,"Earl Grant","Bill Herrion","New HampshireBoston College12-6"
2022-11-30,"nc","Boston College","ACC","Nebraska","B10","A","L",67,88,2,120.7,135.3,106.6,51.9,15.9,29,27.8,140,73.1,15.9,29.2,34.6,21.2,2023,62.8,"Earl Grant","Fred Hoiberg","Boston CollegeNebraska11-30"
2022-11-27,"nc","Boston College","ACC","Rhode Island","A10","H","W",53,49,1,75.8,76.6,77.9,31.2,16.2,28.2,41.1,72.1,33.1,23.5,31.8,28.8,46.9,2023,68,"Earl Grant","Archie Miller","Rhode IslandBoston College11-27"
2022-11-21,"nc","Boston College","ACC","Wyoming","MWC","N","W",59,48,0,93.2,77.4,97.6,47.9,19.8,18.5,31.9,79.4,44.8,21.5,17.2,16.7,89.5,2023,60.5,"Earl Grant","Jeff Linder","Boston CollegeWyoming11-21"
2022-11-20,"nc","Boston College","ACC","Tarleton St.","WAC","N","L",54,70,0,85.3,111.1,84.9,47.6,31.4,31,63.4,110,55.6,17.3,21.7,55.6,4.6,2023,63.6,"Earl Grant","Billy Gillespie","Boston CollegeTarleton St.11-20"
2022-11-18,"nc","Boston College","ACC","George Mason","A10","N","W",71,56,1,109.6,78,103.2,51.7,18.9,29.4,31,81.4,46.2,23.3,22.2,32.7,98,2023,68.8,"Earl Grant","Kim English","Boston CollegeGeorge Mason11-18"
2022-11-14,"nc","Boston College","ACC","Maine","AE","H","L",64,69,0,88.8,110.2,96.9,45.7,9.1,21.6,32.8,104.4,49.1,16.6,26.5,25.9,7.7,2023,66.1,"Earl Grant","Chris Markwood","MaineBoston College11-14"
2022-11-11,"nc","Boston College","ACC","Detroit","Horz","H","W",70,66,1,88.3,93.9,100.9,47.5,18.7,31.7,31.7,95.1,49.2,24.5,31.6,16.7,33.3,2023,69.4,"Earl Grant","Mike Davis","DetroitBoston College11-11"
2022-11-07,"nc","Boston College","ACC","Cornell","Ivy","H","W",79,77,7,90.3,83.2,95,50,22.8,34.1,18.1,92.5,56.3,28.8,24.3,17.5,72,2023,83.2,"Earl Grant","Brian Earl","CornellBoston College11-7"
