"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Butler","BE","Seton Hall","BE","H","L",49,70,1,88.8,117.1,81,41.2,21.5,28.6,27.5,115.8,53.4,14.9,37.5,15.3,4,2023,60.5,"Thad Matta","Shaheen Holloway","Seton HallButler1-28"
2023-01-25,"conf","Butler","BE","Providence","BE","A","L",58,79,0,98.1,103.3,87.1,44.8,15,17.5,20.7,118.6,60.2,19.5,34.6,33.3,35.6,2023,66.6,"Thad Matta","Ed Cooley","ButlerProvidence1-25"
2023-01-22,"conf","Butler","BE","Connecticut","BE","A","L",56,86,0,96.2,112.4,84.5,38.5,16.6,11.8,30.8,129.8,53.9,12.1,50,39.1,14.3,2023,66.2,"Thad Matta","Dan Hurley","ButlerConnecticut1-22"
2023-01-17,"conf","Butler","BE","Creighton","BE","H","L",52,73,0,92.9,101.1,81.4,41.4,11,8.1,8.6,114.3,52.3,14.1,38.2,10.9,27.4,2023,63.8,"Thad Matta","Greg McDermott","CreightonButler1-17"
2023-01-13,"conf","Butler","BE","Villanova","BE","H","W",79,71,0,121.2,106.3,122,66.3,17,9.5,45.7,109.7,59.4,23.2,30.8,41.7,81.9,2023,64.7,"Thad Matta","Kyle Neptune","VillanovaButler1-13"
2023-01-10,"conf","Butler","BE","St. John's","BE","A","L",61,77,1,89.4,98.8,82.5,48,29.8,19.4,31.4,104.2,59.6,24.4,25,19.3,23.9,2023,73.9,"Thad Matta","Mike Anderson","ButlerSt. John's1-10"
2023-01-07,"conf","Butler","BE","Seton Hall","BE","A","L",51,76,1,86,106.8,74.2,30.4,20.4,30.2,42.9,110.6,59.1,17.5,23.3,34.5,7.7,2023,68.7,"Thad Matta","Shaheen Holloway","ButlerSeton Hall1-7"
2023-01-04,"conf","Butler","BE","DePaul","BE","H","W",78,70,2,109.3,101.2,112.7,51.9,11.6,24.1,56.6,101.1,50,14.4,18.2,21.7,70.7,2023,69.2,"Thad Matta","Tony Stubblefield","DePaulButler1-4"
2023-01-01,"conf","Butler","BE","Georgetown","BE","A","W",80,51,1,111.3,80.3,119.9,59.7,7.5,18.8,19.4,76.5,32.6,10.5,24.5,18.2,97.7,2023,66.7,"Thad Matta","Patrick Ewing","ButlerGeorgetown1-1"
2022-12-29,"conf","Butler","BE","Providence","BE","H","L",52,72,2,79,102.1,77.8,36.8,16.5,25,28.1,107.7,48.3,20.9,42.4,28.3,5,2023,66.8,"Thad Matta","Ed Cooley","ProvidenceButler12-29"
