"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Cal St. Northridge","BW","UC Irvine","BW","A","L",56,81,0,83.5,104.7,78.2,33.6,22.3,31.7,43.1,113.1,58.7,20.9,27.6,46.2,6.9,2023,71.6,"Trent Johnson","Russ Turner","Cal St. NorthridgeUC Irvine1-28"
2023-01-26,"conf","Cal St. Northridge","BW","UC San Diego","BW","H","L",57,65,0,77.6,99.6,81.5,38.3,18.6,22,20,92.9,51.9,27.2,22.6,25,5.3,2023,69.9,"Trent Johnson","Ed Olen","UC San DiegoCal St. Northridge1-26"
2023-01-19,"conf","Cal St. Northridge","BW","UC Santa Barbara","BW","A","L",52,72,1,97.9,113,87.5,37,20.2,32.4,27.8,121.1,63.3,20.2,36.4,20.4,16.2,2023,59.4,"Trent Johnson","Joe Pasternack","Cal St. NorthridgeUC Santa Barbara1-19"
2023-01-16,"conf","Cal St. Northridge","BW","Hawaii","BW","A","L",51,58,0,88.4,99.1,84.8,36.2,13.3,26.3,17.2,96.5,42.2,18.3,35.3,39.2,21.2,2023,60.1,"Trent Johnson","Eran Ganot","Cal St. NorthridgeHawaii1-16"
2023-01-14,"conf","Cal St. Northridge","BW","UC Irvine","BW","H","L",57,71,1,93.2,106.3,89.8,40.2,20.5,25,58.7,111.9,57.5,14.2,17.9,28.3,18,2023,63.5,"Trent Johnson","Russ Turner","UC IrvineCal St. Northridge1-14"
2023-01-11,"conf","Cal St. Northridge","BW","UC Davis","BW","H","L",54,62,1,93.4,98.5,89.8,47,24.9,29,20,103.1,46.1,31.6,57.1,39.2,35.1,2023,60.1,"Trent Johnson","Jim Les","UC DavisCal St. Northridge1-11"
2023-01-07,"conf","Cal St. Northridge","BW","UC Riverside","BW","A","L",45,68,0,74.5,94.8,68,24.5,19.6,15.4,61.7,102.8,57,25.7,36.7,36,5.9,2023,66.2,"Trent Johnson","Mike Magpayo","Cal St. NorthridgeUC Riverside1-7"
2023-01-05,"conf","Cal St. Northridge","BW","Long Beach St.","BW","H","L",74,84,1,104,125,106.6,46.8,14.4,32.5,35.5,121,52.3,17.3,50,40.6,10.8,2023,69.4,"Trent Johnson","Dan Monson","Long Beach St.Cal St. Northridge1-5"
2022-12-31,"conf","Cal St. Northridge","BW","Cal St. Fullerton","BW","A","L",52,64,1,89.6,103.5,83.4,42.1,19.3,24.3,8.8,102.7,46.7,17.6,33.3,15,16,2023,62.3,"Trent Johnson","Dedrique Taylor","Cal St. NorthridgeCal St. Fullerton12-31"
2022-12-29,"conf","Cal St. Northridge","BW","Cal Poly","BW","A","L",57,67,3,94.5,120.6,93.8,48,18.1,18.8,32,110.2,52.1,18.1,34.5,43.8,5.7,2023,60.8,"Trent Johnson","John Smith","Cal St. NorthridgeCal Poly12-29"
2022-12-22,"nc","Cal St. Northridge","BW","San Diego","WCC","H","W",83,78,4,101.4,97.3,110.8,54.6,25.4,40.6,57.4,104.1,46.2,22.7,33.3,64.2,61.7,2023,74.9,"Trent Johnson","Steve Lavin","San DiegoCal St. Northridge12-22"
2022-12-19,"nc","Cal St. Northridge","BW","Idaho","BSky","H","L",73,76,0,105.2,119.1,115.4,56.4,20.5,41.4,25.5,120.1,53,12.6,21.4,50,19.3,2023,63.3,"Trent Johnson","Zac Claus","IdahoCal St. Northridge12-19"
2022-12-10,"nc","Cal St. Northridge","BW","Northern Colorado","BSky","H","L",63,70,2,87.6,109.5,95.9,41.5,6.1,26.7,27.7,106.6,45.4,13.7,28.6,50,7.2,2023,65.7,"Trent Johnson","Steve Smiley","Northern ColoradoCal St. Northridge12-10"
2022-12-07,"nc","Cal St. Northridge","BW","Fresno St.","MWC","A","L",56,65,0,98.7,105.1,90.2,47.1,24.2,29.4,21.2,104.7,53.3,20.9,25,51.1,32.6,2023,62.1,"Trent Johnson","Justin Hutson","Cal St. NorthridgeFresno St.12-7"
2022-11-29,"nc","Cal St. Northridge","BW","Boise St.","MWC","A","L",46,55,0,91.1,83.9,76.2,35.7,19.9,21.6,32.7,91.1,43.3,19.9,30.6,28.8,71.8,2023,60.4,"Trent Johnson","Leon Rice","Cal St. NorthridgeBoise St.11-29"
2022-11-23,"nc","Cal St. Northridge","BW","Central Michigan","MAC","N","L",66,82,0,94.6,124.5,94,38.3,15.7,29.3,36.7,116.8,60.4,17.1,16.7,39.6,4.1,2023,70.2,"Trent Johnson","Tony Barbee","Cal St. NorthridgeCentral Michigan11-23"
2022-11-21,"nc","Cal St. Northridge","BW","Tennessee St.","OVC","N","L",73,74,0,100.8,118.8,110.8,50,15.2,29,61.2,112.3,54.4,12.1,19.4,35.1,13.1,2023,65.9,"Trent Johnson","Brian Collins","Cal St. NorthridgeTennessee St.11-21"
2022-11-15,"nc","Cal St. Northridge","BW","Cal Baptist","WAC","A","L",55,62,1,91.7,91.5,84.1,44.5,21.4,21.2,14.5,94.8,41.1,12.2,30.4,30.6,50.7,2023,65.4,"Trent Johnson","Rick Croy","Cal St. NorthridgeCal Baptist11-15"
2022-11-12,"nc","Cal St. Northridge","BW","Utah Tech","WAC","A","L",63,69,0,86.4,97.3,89,38.1,18.4,40.4,37.3,97.5,51.1,22.6,23.3,71.7,20.4,2023,70.8,"Trent Johnson","Jon Judkins","Cal St. NorthridgeUtah Tech11-12"
