"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","California","P12","Stanford","P12","A","L",46,75,2,82.6,107.6,72.8,34.8,19,25,23.2,118.8,53.3,15.8,42.4,25,4.6,2023,63.2,"Mark Fox","Jerod Haase","CaliforniaStanford1-28"
2023-01-22,"conf","California","P12","Oregon St.","P12","H","L",48,68,2,85.6,118.3,81,40.6,23.6,22.6,25,114.7,67,18.6,23.1,12,2.4,2023,59.3,"Mark Fox","Wayne Tinkle","Oregon St.California1-22"
2023-01-18,"conf","California","P12","Oregon","P12","H","L",58,87,1,104.9,129.5,95.7,43.6,14.8,23.5,20,143.5,68.3,8.2,28.6,36.5,8.2,2023,60.6,"Mark Fox","Dana Altman","OregonCalifornia1-18"
2023-01-14,"conf","California","P12","Washington","P12","A","L",78,81,3,110.8,103,103.4,46.5,11.9,31.8,29.6,107.4,56.4,19.9,26.7,49.1,69.8,2023,67,"Mark Fox","Mike Hopkins","CaliforniaWashington1-14"
2023-01-11,"conf","California","P12","Washington St.","P12","A","L",51,66,1,92.4,97.3,82.8,40.6,17.8,21.2,18.9,107.1,55,21.1,32.4,40,35.6,2023,61.6,"Mark Fox","Kyle Smith","CaliforniaWashington St.1-11"
2023-01-06,"conf","California","P12","Stanford","P12","H","W",92,70,2,150.7,119.8,153.6,74.1,16.7,45.8,29.6,116.8,56.2,16.7,38.7,19.6,93.3,2023,59.9,"Mark Fox","Jerod Haase","StanfordCalifornia1-6"
2022-12-31,"conf","California","P12","Colorado","P12","H","W",80,76,2,128.1,102.2,111.8,65,29.3,41.7,40,106.2,50.8,12.6,25.7,21.2,93.1,2023,71.6,"Mark Fox","Tad Boyle","ColoradoCalifornia12-31"
2022-12-29,"conf","California","P12","Utah","P12","H","L",43,58,1,80.4,91.4,71.3,36.4,21.6,17.1,45.5,96.2,42.5,13.3,23.5,28.3,18.7,2023,60.3,"Mark Fox","Craig Smith","UtahCalifornia12-29"
2022-12-21,"nc","California","P12","UT Arlington","WAC","H","W",73,51,2,111.2,92.4,119.3,59.8,16.3,25,54.3,83.3,37,19.6,27,36,89.4,2023,61.2,"Mark Fox","Greg Young","UT ArlingtonCalifornia12-21"
2022-12-18,"nc","California","P12","Santa Clara","WCC","A","L",62,71,0,94.3,96.4,90.7,51,24.9,20.7,32.7,103.9,54.4,26.3,41.9,26.3,43.7,2023,68.4,"Mark Fox","Herb Sendek","CaliforniaSanta Clara12-18"
2022-12-07,"nc","California","P12","Eastern Washington","BSky","H","L",48,50,2,70,78.4,74.5,40.9,26.4,13.3,40.9,77.6,43.3,20.2,17.6,17.3,21.2,2023,64.4,"Mark Fox","David Riley","Eastern WashingtonCalifornia12-7"
2022-12-04,"conf","California","P12","Arizona","P12","A","L",68,81,2,112,107.4,102.1,47.6,13.5,23.5,12.7,121.7,52.5,7.5,32.4,44.1,61.8,2023,66.6,"Mark Fox","Tommy Lloyd","CaliforniaArizona12-4"
2022-11-30,"conf","California","P12","USC","P12","H","L",51,66,1,87.4,99.1,81.8,30,12.8,38,26.2,105.9,49,19.3,31,30.8,19.1,2023,62.3,"Mark Fox","Andy Enfield","USCCalifornia11-30"
2022-11-26,"nc","California","P12","Clemson","ACC","N","L",59,67,1,104.3,110.7,99.6,42.7,18.6,25,41.7,113.1,61.6,13.5,15,44.2,33.5,2023,59.3,"Mark Fox","Brad Brownell","CaliforniaClemson11-26"
2022-11-25,"nc","California","P12","TCU","B12","N","L",48,59,2,89.6,89.1,79,46.2,31.3,20,46.2,97.1,42,11.5,34.1,41.1,51.5,2023,60.7,"Mark Fox","Jamie Dixon","CaliforniaTCU11-25"
2022-11-21,"nc","California","P12","Texas St.","SB","H","L",55,59,1,93.3,105.9,92.8,48.9,27,33.3,30.4,99.5,38.4,11.8,33.3,41.1,18.8,2023,59.3,"Mark Fox","Terrence Johnson","Texas St.California11-21"
2022-11-18,"nc","California","P12","Southern","SWAC","H","L",66,74,0,98.5,125.6,101.5,53.4,30.8,33.3,52.3,113.8,61.2,20,22.2,34.7,5.8,2023,65,"Mark Fox","Sean Woods","SouthernCalifornia11-18"
2022-11-15,"nc","California","P12","UC San Diego","BW","A","L",62,64,1,95.1,113.8,101.5,44.6,16.4,18.5,52.2,104.8,49.1,18,35.3,17.9,11.3,2023,61.1,"Mark Fox","Ed Olen","CaliforniaUC San Diego11-15"
2022-11-11,"nc","California","P12","Kansas St.","B12","H","L",54,63,1,83.1,86.9,78.5,45.7,32,28.1,40.4,91.6,41.2,21.8,31.6,31.6,37.5,2023,68.8,"Mark Fox","Jerome Tang","Kansas St.California11-11"
2022-11-07,"nc","California","P12","UC Davis","BW","H","L",65,75,1,93.5,105.5,92.8,42.9,20,31,23.8,107.1,53.6,18.6,34.4,41.1,19.9,2023,70,"Mark Fox","Jim Les","UC DavisCalifornia11-7"
