"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Central Arkansas","ASun","Jacksonville","ASun","H","L",64,74,0,96.6,117.2,97.9,46.3,12.2,14.3,31.5,113.2,57.3,15.3,18.5,21.8,9.8,2023,65.4,"Anthony Boone","Jordan Mincy","JacksonvilleCentral Arkansas1-28"
2023-01-26,"conf","Central Arkansas","ASun","North Florida","ASun","H","W",88,85,1,93.7,105.9,106.8,43.4,12.1,39.6,25.3,103.2,47.8,21.8,36.6,40.3,19.6,2023,73.2,"Anthony Boone","Matthew Driscoll","North FloridaCentral Arkansas1-26"
2023-01-21,"conf","Central Arkansas","ASun","North Alabama","ASun","A","L",66,82,0,90.4,112.1,94,40.8,12.8,25,38.3,116.7,62.9,18.5,26.5,31,7.8,2023,70.2,"Anthony Boone","Tony Pujol","Central ArkansasNorth Alabama1-21"
2023-01-18,"conf","Central Arkansas","ASun","North Alabama","ASun","H","L",73,78,1,93.4,105.4,100.1,43.8,11,23.9,35.4,107,52.6,17.8,29.4,43.1,19.9,2023,72.9,"Anthony Boone","Tony Pujol","North AlabamaCentral Arkansas1-18"
2023-01-14,"conf","Central Arkansas","ASun","Liberty","ASun","A","L",62,82,0,105.3,113.6,92.7,48.2,22.4,30.6,21.1,122.5,57.3,12,27.8,24.2,29.5,2023,66.9,"Anthony Boone","Ritchie McKay","Central ArkansasLiberty1-14"
2023-01-12,"conf","Central Arkansas","ASun","Queens","ASun","A","W",92,91,0,108.2,106.7,115.5,57.3,15.1,17.1,38.7,114.2,55.2,16.3,27,31.3,54,2023,79.7,"Anthony Boone","Grant Leonard","Central ArkansasQueens1-12"
2023-01-07,"conf","Central Arkansas","ASun","Austin Peay","ASun","A","L",62,86,0,96,136.6,95.3,47.8,24.6,22.2,48.9,132.3,62.9,15.4,39.3,27.6,1.7,2023,65,"Anthony Boone","Nate James","Central ArkansasAustin Peay1-7"
2023-01-05,"conf","Central Arkansas","ASun","Eastern Kentucky","ASun","H","L",75,77,0,94.5,106.8,100,53.7,21.3,28.9,11.9,102.6,53.7,24,43.2,13.2,19.7,2023,75,"Anthony Boone","A.W. Hamilton","Eastern KentuckyCentral Arkansas1-5"
2023-01-02,"conf","Central Arkansas","ASun","Florida Gulf Coast","ASun","H","L",79,84,1,91.6,99.5,93,48.6,18.8,22.7,30.4,98.9,51.5,18.8,22.7,33.8,28,2023,75.5,"Anthony Boone","Pat Chambers","Florida Gulf CoastCentral Arkansas1-2"
2022-12-31,"conf","Central Arkansas","ASun","Kennesaw St.","ASun","A","L",66,82,0,89.2,102.1,84.9,40,27,37.2,26.2,105.5,53.2,16.7,25,38.1,17.6,2023,77.7,"Anthony Boone","Amir Abdur-Rahim","Central ArkansasKennesaw St.12-31"
2022-12-28,"nc","Central Arkansas","ASun","TCU","B12","A","L",57,103,0,91.6,114.4,73.3,34.8,23.2,32.1,23.2,132.5,56.8,9,38.9,34.2,7.2,2023,77.7,"Anthony Boone","Jamie Dixon","Central ArkansasTCU12-28"
2022-12-20,"nc","Central Arkansas","ASun","Little Rock","OVC","A","L",66,75,1,86.4,105.6,92,43.4,16.7,22.5,27.9,104.5,44.4,16.7,35.7,38.1,9,2023,71.7,"Anthony Boone","Darrell Walker","Central ArkansasLittle Rock12-20"
2022-12-17,"nc","Central Arkansas","ASun","Oklahoma","B12","A","L",66,87,1,101.5,116.5,95.6,54.5,18.8,10,10.7,126,71.8,15.9,9.1,20,17.1,2023,69,"Anthony Boone","Porter Moser","Central ArkansasOklahoma12-17"
2022-12-10,"nc","Central Arkansas","ASun","Oral Roberts","Sum","A","L",78,111,0,99.8,116.7,92.7,45.5,19,27.7,9,131.9,71.9,19,22.2,32.8,14.2,2023,84.2,"Anthony Boone","Paul Mills","Central ArkansasOral Roberts12-10"
2022-11-30,"nc","Central Arkansas","ASun","Loyola Chicago","A10","A","L",70,85,0,104.7,128.2,105.9,54.5,18.1,25.7,23.2,128.5,65.5,16.6,26.9,30.9,8.9,2023,66.1,"Anthony Boone","Drew Valentine","Central ArkansasLoyola Chicago11-30"
2022-11-27,"nc","Central Arkansas","ASun","Idaho St.","BSky","H","W",81,77,3,107.4,109.8,112.5,54.9,15.3,34.2,7,106.9,54,15.3,23.5,22.2,43.6,2023,72,"Anthony Boone","Ryan Looney","Idaho St.Central Arkansas11-27"
2022-11-26,"nc","Central Arkansas","ASun","Northwestern St.","Slnd","H","L",66,74,3,83.4,95,85.1,38.7,20.6,35.3,17.3,95.5,39.9,10.3,34,33.8,18.4,2023,68.9,"Anthony Boone","Corey Gipson","Northwestern St.Central Arkansas11-26"
2022-11-19,"nc","Central Arkansas","ASun","Rider","MAAC","N","W",90,85,0,111.8,110.9,117.6,63.2,19.6,27.6,60.4,111.1,52.5,24.8,41.9,41.7,52.3,2023,76.5,"Anthony Boone","Kevin Baggett","Central ArkansasRider11-19"
