"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-26,"conf","Charlotte","CUSA","Rice","CUSA","A","L",63,65,1,98.3,101.6,101.6,52.6,19.3,29,5.2,104.8,55.1,16.1,13.8,28.6,40.6,2023,62,"Ron Sanchez","Scott Para","CharlotteRice1-26"
2023-01-21,"conf","Charlotte","CUSA","Western Kentucky","CUSA","A","W",75,71,2,124.9,112.7,122.7,63.5,13.1,24,25,116.2,47.4,4.9,22.9,32.8,76.6,2023,61.1,"Ron Sanchez","Rick Stansbury","CharlotteWestern Kentucky1-21"
2023-01-19,"conf","Charlotte","CUSA","Middle Tennessee","CUSA","A","L",58,62,0,94.1,91.8,88.4,57.5,32,20,37.5,94.5,46.2,25.9,33.3,36.5,57.2,2023,65.6,"Ron Sanchez","Nicholas McDevitt","CharlotteMiddle Tennessee1-19"
2023-01-16,"conf","Charlotte","CUSA","UTEP","CUSA","H","L",58,60,1,106.3,110.9,97.6,54.3,23.6,25,26.1,100.9,55.1,15.1,18.5,26.5,38.1,2023,59.4,"Ron Sanchez","Joe Golding","UTEPCharlotte1-16"
2023-01-14,"conf","Charlotte","CUSA","UTSA","CUSA","H","W",72,54,3,98.3,83.3,107.7,56,12,17.9,17.2,80.8,39.4,22.4,13.3,44.7,87,2023,66.9,"Ron Sanchez","Steve Henson","UTSACharlotte1-14"
2023-01-07,"conf","Charlotte","CUSA","Florida Atlantic","CUSA","A","L",67,71,1,119,116,114.4,56.2,12,20,8.9,121.2,58,5.1,18.8,17.9,57.3,2023,58.6,"Ron Sanchez","Dusty May","CharlotteFlorida Atlantic1-7"
2023-01-05,"conf","Charlotte","CUSA","FIU","CUSA","A","L",60,62,1,98,98.8,96.5,44.5,17.7,27.8,25.5,99.7,51,12.9,12.5,23.5,47.6,2023,62.2,"Ron Sanchez","Jeremy Ballard","CharlotteFIU1-5"
2022-12-31,"conf","Charlotte","CUSA","Louisiana Tech","CUSA","H","W",68,66,2,104.2,99.6,104,61.1,22.9,14.3,37.8,100.9,51.8,15.3,21.9,21.1,62.8,2023,65.4,"Ron Sanchez","Talvin Hester","Louisiana TechCharlotte12-31"
2022-12-29,"conf","Charlotte","CUSA","Middle Tennessee","CUSA","H","W",82,67,2,127.8,110.4,129,66,17.3,30.4,53.2,105.4,48.3,17.3,34.5,19,84.3,2023,63.5,"Ron Sanchez","Nicholas McDevitt","Middle TennesseeCharlotte12-29"
2022-12-22,"conf","Charlotte","CUSA","UAB","CUSA","A","L",68,76,1,104,101.8,97.9,51.8,23,30.6,30.4,109.5,53.8,21.6,37.5,54.7,55.9,2023,69.4,"Ron Sanchez","Andy Kennedy","CharlotteUAB12-22"
2022-12-17,"nc","Charlotte","CUSA","Monmouth","CAA","A","W",80,46,3,120.2,93.6,129.8,69.8,14.6,21.7,15.1,74.6,35.2,27.6,30,50,94.7,2023,61.6,"Ron Sanchez","King Rice","CharlotteMonmouth12-17"
2022-12-10,"nc","Charlotte","CUSA","Detroit","Horz","H","W",82,80,2,106.6,111.8,119,58.9,17.4,28.6,30.4,116.1,55.3,17.4,35.1,15.2,36.7,2023,61.3,"Ron Sanchez","Mike Davis","DetroitCharlotte12-10"
2022-11-29,"nc","Charlotte","CUSA","Davidson","A10","A","W",68,66,2,105.5,100.8,104,54.3,15.3,24.2,17.2,100.9,51.9,13.8,9.4,32.7,62.6,2023,58.1,"Ron Sanchez","Matt McKillop","CharlotteDavidson11-29"
2022-11-26,"nc","Charlotte","CUSA","Presbyterian","BSth","H","W",69,42,2,108.5,83.4,120.9,57.1,8.8,20.7,10.7,73.6,46.3,24.5,11.5,22,95.4,2023,57.1,"Ron Sanchez","Quinton Ferrell","PresbyterianCharlotte11-26"
2022-11-23,"nc","Charlotte","CUSA","Detroit","Horz","A","L",49,70,1,79.2,111.3,84.2,40,22.3,29.4,24,120.3,62,15.5,28.6,28,2,2023,58.2,"Ron Sanchez","Mike Davis","CharlotteDetroit11-23"
2022-11-20,"nc","Charlotte","CUSA","Massachusetts","A10","N","L",54,60,1,86.9,103.2,88.3,41.8,16.3,21.2,36.7,98.1,52,26.2,33.3,15.7,12.3,2023,61.2,"Ron Sanchez","Frank Martin","CharlotteMassachusetts11-20"
2022-11-18,"nc","Charlotte","CUSA","Tulsa","Amer","N","W",68,65,1,113.2,107.6,114.1,52.5,16.8,41.9,15.3,109.1,55.5,20.1,33.3,7.3,64.1,2023,59.6,"Ron Sanchez","Eric Konkol","CharlotteTulsa11-18"
2022-11-17,"nc","Charlotte","CUSA","Boise St.","MWC","N","W",54,42,1,100.5,62.2,85.9,47.2,17.5,13.3,13.2,66.8,36.1,22.3,21.6,9.3,99.6,2023,62.8,"Ron Sanchez","Leon Rice","Boise St.Charlotte11-17"
2022-11-14,"nc","Charlotte","CUSA","Maryland Eastern Shore","MEAC","H","W",80,47,2,115.1,78.3,117.5,64.7,19.1,21.7,33.3,69,32.7,22,13.5,28.8,98.8,2023,68.1,"Ron Sanchez","Jason Crafton","Maryland Eastern ShoreCharlotte11-14"
2022-11-07,"nc","Charlotte","CUSA","Coppin St.","MEAC","H","W",82,59,2,100.6,94.5,116.7,58.9,15.7,24.2,39.3,84,43.5,17.1,9.1,31.5,67.3,2023,70.3,"Ron Sanchez","Juan Dixon","Coppin St.Charlotte11-7"
