"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"nc","Chicago St.","ind","The Citadel","SC","A","W",76,75,2,113.6,119.7,117.2,57.4,17,32.3,35.2,115.7,60.7,10.8,13.3,25,35.4,2023,64.8,"Gerald Gillian","Ed Conroy","Chicago St.The Citadel1-30"
2023-01-25,"nc","Chicago St.","ind","Stanford","P12","A","L",65,72,0,116.4,110.1,107.6,47.3,11.6,25,30.9,119.2,52.1,19.9,43.8,60.4,65.5,2023,60.4,"Gerald Gillian","Jerod Haase","Chicago St.Stanford1-25"
2023-01-23,"nc","Chicago St.","ind","Coastal Carolina","SB","A","W",74,70,0,119.6,116.3,125.7,56.6,22.1,48.3,32.1,118.9,52.5,15.3,43.9,23.3,57.8,2023,58.9,"Gerald Gillian","Cliff Ellis","Chicago St.Coastal Carolina1-23"
2023-01-14,"nc","Chicago St.","ind","UT Rio Grande Valley","WAC","A","L",82,85,1,113.1,124.1,116.5,61.4,17.1,21.9,31.6,120.8,51.7,11.4,33.3,54.2,25.5,2023,70.4,"Gerald Gillian","Matt Figger","Chicago St.UT Rio Grande Valley1-14"
2023-01-11,"nc","Chicago St.","ind","Tarleton St.","WAC","A","L",63,73,0,94.3,114.5,96.1,44.4,24.4,37.5,42.6,111.3,53,16.8,37.9,64,9.7,2023,65.6,"Gerald Gillian","Billy Gillespie","Chicago St.Tarleton St.1-11"
2022-12-30,"nc","Chicago St.","ind","Ohio","MAC","A","L",59,76,2,74.7,101.4,80.6,36.5,23.2,31.9,31.7,103.8,48.3,10.9,18.4,42.4,2.9,2023,73.2,"Gerald Gillian","Jeff Boals","Chicago St.Ohio12-30"
2022-12-22,"nc","Chicago St.","ind","Minnesota","B10","A","L",55,58,0,93.2,101.3,91.1,45.6,21.5,22.6,40,96,48.2,18.2,32.4,19.6,27.7,2023,60.4,"Gerald Gillian","Ben Johnson","Chicago St.Minnesota12-22"
2022-12-19,"nc","Chicago St.","ind","Illinois St.","MVC","A","L",52,66,0,85,108.9,84.6,41.5,22.8,35.1,28.3,107.3,55.5,26,44.4,10.9,5.5,2023,61.5,"Gerald Gillian","Ryan Pedon","Chicago St.Illinois St.12-19"
2022-12-16,"nc","Chicago St.","ind","Southern Illinois","MVC","A","L",52,63,0,96.4,105,87,36.3,18.4,31.6,39.2,105.4,51.1,21.8,27.6,41.3,27.2,2023,59.8,"Gerald Gillian","Bryan Mullins","Chicago St.Southern Illinois12-16"
2022-12-13,"nc","Chicago St.","ind","Murray St.","MVC","A","L",65,66,2,102.9,94.2,99.6,47.3,19.9,31.4,28.6,101.1,47.4,19.9,38.5,36.8,73.5,2023,65.3,"Gerald Gillian","Steve Prohm","Chicago St.Murray St.12-13"
2022-12-11,"nc","Chicago St.","ind","Tennessee Martin","OVC","A","L",74,75,2,96.9,111.6,102.6,53.1,22.2,34.2,18.8,104,50.8,19.4,34.3,29.5,16.3,2023,64.1,"Gerald Gillian","Ryan Ridder","Chicago St.Tennessee Martin12-11"
2022-12-04,"nc","Chicago St.","ind","Southern Indiana","OVC","H","W",78,61,1,106.7,98.4,118.7,64.8,21.3,24,59.1,92.9,46.2,21.3,27.3,35.8,71.7,2023,65.7,"Gerald Gillian","Stan Gouard","Southern IndianaChicago St.12-4"
2022-12-01,"nc","Chicago St.","ind","Bethune Cookman","SWAC","A","L",73,86,2,98.3,131.3,106,46.6,18.9,36.1,37.3,124.8,50.8,14.5,44.7,41.3,3.5,2023,68.9,"Gerald Gillian","Reggie Theus","Chicago St.Bethune Cookman12-1"
2022-11-26,"nc","Chicago St.","ind","Marquette","BE","A","L",68,82,0,96.2,91,90.2,48.1,26.5,20,37.7,108.8,56.1,15.9,25.7,52.6,65.5,2023,75.4,"Gerald Gillian","Shaka Smart","Chicago St.Marquette11-26"
2022-11-23,"nc","Chicago St.","ind","Cleveland St.","Horz","A","L",63,77,1,106.1,122.8,103.5,53.8,29.6,48.4,17,126.5,56,8.2,34.4,34.5,15.6,2023,60.9,"Gerald Gillian","Daniyal Robinson","Chicago St.Cleveland St.11-23"
2022-11-21,"nc","Chicago St.","ind","Marshall","SB","A","L",70,82,2,111.6,112,104.5,50,16.4,31.4,16.1,122.5,50,14.9,50,18.3,49.1,2023,67,"Gerald Gillian","Dan D'Antoni","Chicago St.Marshall11-21"
2022-11-19,"nc","Chicago St.","ind","Kent St.","MAC","A","L",59,88,2,82.5,111.5,76.3,39.2,36.2,45.7,54.9,113.8,46.4,12.9,33.3,37.1,3,2023,77.3,"Gerald Gillian","Rob Senderoff","Chicago St.Kent St.11-19"
2022-11-16,"nc","Chicago St.","ind","Valparaiso","MVC","H","W",87,74,0,128,115,129,65.2,19.3,25,60.9,109.8,50,11.9,28.1,30,77.4,2023,67.4,"Gerald Gillian","Matt Lottich","ValparaisoChicago St.11-16"
2022-11-14,"nc","Chicago St.","ind","IUPUI","Horz","H","W",68,58,3,92.1,108.1,108.2,55.8,20.7,37,30.8,92.3,40.5,19.1,36.8,25.9,13.6,2023,62.9,"Gerald Gillian","Byron Rimm","IUPUIChicago St.11-14"
2022-11-11,"nc","Chicago St.","ind","St. Thomas","Sum","A","L",61,83,0,88.2,120.8,93.1,41,15.3,31,26.2,126.7,69.4,19.8,32,49,2.6,2023,65.5,"Gerald Gillian","Johnny Tauer","Chicago St.St. Thomas11-11"
2022-11-07,"nc","Chicago St.","ind","Northwestern","B10","A","L",54,85,1,88.5,109.5,76.2,32.5,16.9,28.6,28.6,119.9,51.8,19.8,37.1,57.1,7.9,2023,70.9,"Gerald Gillian","Chris Collins","Chicago St.Northwestern11-7"
