"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Clemson","ACC","Boston College","ACC","A","L",54,62,0,87.4,92.9,81.4,36.5,25.6,30.6,30.8,93.5,43.6,16.6,19.4,30.9,33,2023,66.3,"Brad Brownell","Earl Grant","ClemsonBoston College1-31"
2023-01-28,"conf","Clemson","ACC","Florida St.","ACC","A","W",82,81,1,108.5,100.9,107,56.6,23.5,31,54.7,105.7,54,17,19.4,32.3,69.6,2023,76.6,"Brad Brownell","Leonard Hamilton","ClemsonFlorida St.1-28"
2023-01-24,"conf","Clemson","ACC","Georgia Tech","ACC","H","W",72,51,1,110.2,84,111.5,61.8,17,11.5,21.6,79,37.5,15.5,26.8,6.2,95.8,2023,64.6,"Brad Brownell","Josh Pastner","Georgia TechClemson1-24"
2023-01-21,"conf","Clemson","ACC","Virginia Tech","ACC","H","W",51,50,0,80.5,71.5,77.4,41.5,25.8,12.9,31.9,75.9,40.4,21.2,18.9,23.1,79.7,2023,65.9,"Brad Brownell","Mike Young","Virginia TechClemson1-21"
2023-01-17,"conf","Clemson","ACC","Wake Forest","ACC","A","L",77,87,2,106.4,107.7,106,48.5,15.1,26.3,21.2,119.7,53.3,8.3,28.9,54.1,46.5,2023,72.7,"Brad Brownell","Steve Forbes","ClemsonWake Forest1-17"
2023-01-14,"conf","Clemson","ACC","Duke","ACC","H","W",72,64,2,111.7,92.9,107.4,48.3,13.4,29.4,30.5,95.5,40.5,16.4,35.7,28.6,89.3,2023,67.1,"Brad Brownell","Jon Scheyer","DukeClemson1-14"
2023-01-11,"conf","Clemson","ACC","Louisville","ACC","H","W",83,70,2,114.6,113.2,121.3,60.4,16.1,26.9,43.4,102.3,49.1,21.9,29.7,42.6,53.6,2023,68.4,"Brad Brownell","Kenny Payne","LouisvilleClemson1-11"
2023-01-07,"conf","Clemson","ACC","Pittsburgh","ACC","A","W",75,74,3,121.5,104.5,114.2,53.8,12.2,21.2,45.3,112.7,50,10.7,23.7,40.4,85,2023,65.7,"Brad Brownell","Jeff Capel","ClemsonPittsburgh1-7"
2023-01-04,"conf","Clemson","ACC","Virginia Tech","ACC","A","W",68,65,2,98.6,80.6,92.1,50,19,6.2,34,88.1,38.1,14.9,26.1,25.4,91.1,2023,73.8,"Brad Brownell","Mike Young","ClemsonVirginia Tech1-4"
2022-12-30,"conf","Clemson","ACC","North Carolina St.","ACC","H","W",78,64,3,114.4,87.3,110.7,46.7,9.9,22.9,40,90.8,36.8,11.4,29.2,26.5,95.7,2023,70.5,"Brad Brownell","Kevin Keatts","North Carolina St.Clemson12-30"
2022-12-21,"conf","Clemson","ACC","Georgia Tech","ACC","A","W",79,66,5,114.6,91.7,109.9,54,15.3,25.8,21,91.8,47.4,15.3,13.5,31,92.8,2023,71.9,"Brad Brownell","Josh Pastner","ClemsonGeorgia Tech12-21"
