"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Coastal Carolina","SB","Old Dominion","SB","H","L",59,60,1,88.8,94.3,89.9,37.1,10.7,26.1,44.8,91.4,38.3,16.8,32.6,35,33.4,2023,65.7,"Cliff Ellis","Jeff Jones","Old DominionCoastal Carolina1-28"
2023-01-26,"conf","Coastal Carolina","SB","James Madison","SB","A","L",69,75,0,99.4,103.9,94.8,52.4,24.7,27.3,9.7,103.1,44.7,13.7,27.5,57.9,37.6,2023,72.8,"Cliff Ellis","Mark Byington","Coastal CarolinaJames Madison1-26"
2023-01-23,"nc","Coastal Carolina","SB","Chicago St.","ind","H","L",70,74,2,108.6,130.1,118.9,52.5,15.3,43.9,23.3,125.7,56.6,22.1,48.3,32.1,11.1,2023,58.9,"Cliff Ellis","Gerald Gillian","Chicago St.Coastal Carolina1-23"
2023-01-21,"conf","Coastal Carolina","SB","South Alabama","SB","H","W",85,81,4,117.6,110.4,115.3,53.7,9.5,25,22.1,109.9,58.2,12.2,12.8,10.4,67.5,2023,65.5,"Cliff Ellis","Richie Riley","South AlabamaCoastal Carolina1-21"
2023-01-14,"conf","Coastal Carolina","SB","Georgia St.","SB","A","L",66,100,0,103.7,153.2,96.4,39.5,16.1,37.8,47.4,146,77.6,17.5,38.9,25.9,1.1,2023,68.5,"Cliff Ellis","Jonas Hayes","Coastal CarolinaGeorgia St.1-14"
2023-01-12,"conf","Coastal Carolina","SB","Old Dominion","SB","A","W",67,66,0,102.5,103.3,102.7,38.9,16.9,43.2,34.9,101.2,43.7,7.7,26.7,30.2,47.8,2023,65.2,"Cliff Ellis","Jeff Jones","Coastal CarolinaOld Dominion1-12"
2023-01-07,"conf","Coastal Carolina","SB","Marshall","SB","A","L",66,81,3,96.4,102.1,90.6,44.3,19.2,29.8,10,111.2,47,17.8,45.5,38.8,34.1,2023,72.8,"Cliff Ellis","Dan D'Antoni","Coastal CarolinaMarshall1-7"
2023-01-05,"conf","Coastal Carolina","SB","Appalachian St.","SB","A","L",62,63,2,100.8,97.1,94.6,46.6,21.4,30.6,13.6,96.1,47,13.7,31,10.6,60.5,2023,65.6,"Cliff Ellis","Dustin Kearns","Coastal CarolinaAppalachian St.1-5"
2022-12-31,"conf","Coastal Carolina","SB","Georgia Southern","SB","H","L",64,73,1,99.2,111.6,97.4,50.8,16.7,20.6,13.6,111.1,50.8,13.7,33.3,26.7,20.5,2023,65.7,"Cliff Ellis","Brian Burg","Georgia SouthernCoastal Carolina12-31"
2022-12-29,"conf","Coastal Carolina","SB","Louisiana Lafayette","SB","H","W",77,76,1,107.3,101.5,109.9,54.7,14.3,21.4,45.3,108.5,45.1,12.8,42.9,16.7,65.3,2023,70.1,"Cliff Ellis","Bob Marlin","Louisiana LafayetteCoastal Carolina12-29"
2022-12-19,"nc","Coastal Carolina","SB","College of Charleston","CAA","H","L",69,83,1,95.3,107,91.7,45.4,15.9,22.2,26.2,110.3,54.1,17.3,32.4,36.1,20.8,2023,75.3,"Cliff Ellis","Pat Kelsey","College of CharlestonCoastal Carolina12-19"
2022-12-14,"nc","Coastal Carolina","SB","South Dakota","Sum","A","W",87,86,0,118.1,119.5,122.7,51.6,12.7,34.3,38.1,121.3,65.4,22.6,28.6,42.3,46.6,2023,70.9,"Cliff Ellis","Eric Peterson","Coastal CarolinaSouth Dakota12-14"
2022-12-06,"nc","Coastal Carolina","SB","Wofford","SC","A","L",61,71,3,89.7,94.8,88.7,42.4,14.5,28.2,9.1,103.2,49.2,18.9,32.4,19.4,34.7,2023,68.8,"Cliff Ellis","Dwight Perry","Coastal CarolinaWofford12-6"
2022-12-03,"nc","Coastal Carolina","SB","Winthrop","BSth","A","W",86,81,2,108.8,110.3,117.9,56,19.2,33.3,44.8,111.1,54.2,20.6,36.1,33.3,46,2023,72.9,"Cliff Ellis","Mark Prosser","Coastal CarolinaWinthrop12-3"
2022-11-30,"nc","Coastal Carolina","SB","UNC Wilmington","CAA","H","L",58,60,1,91.6,93.7,88.5,38.3,25.9,30.3,59.6,91.5,49.1,21.4,28.9,14,43.6,2023,65.6,"Cliff Ellis","Takayo Siddle","UNC WilmingtonCoastal Carolina11-30"
2022-11-26,"nc","Coastal Carolina","SB","South Dakota","Sum","H","W",66,59,2,103.3,107.6,114.4,48.2,13.9,41.2,28.6,102.3,48.3,15.6,33.3,13.8,38.4,2023,57.7,"Cliff Ellis","Eric Peterson","South DakotaCoastal Carolina11-26"
2022-11-23,"nc","Coastal Carolina","SB","Missouri","SEC","A","L",51,89,0,72.1,93.2,65.6,29.5,34.7,37,26.2,114.5,54.7,11.6,27.5,10.7,4.9,2023,77.7,"Cliff Ellis","Dennis Gates","Coastal CarolinaMissouri11-23"
2022-11-18,"nc","Coastal Carolina","SB","USC Upstate","BSth","A","L",78,79,1,115,126.9,115.9,51.8,19.3,43.3,38.6,117.4,57,10.4,28.9,23.4,24.3,2023,67.3,"Cliff Ellis","Dave Dickerson","Coastal CarolinaUSC Upstate11-18"
