"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Colorado St.","MWC","UNLV","MWC","H","L",71,83,0,109.1,120.4,105,49,17.7,22.6,54,122.7,56.6,11.8,32.4,36.1,24.4,2023,67.6,"Niko Medved","Kevin Kruger","UNLVColorado St.1-31"
2023-01-28,"conf","Colorado St.","MWC","Boise St.","MWC","A","L",59,80,0,113.2,120.9,95.7,44.6,13,29.4,26.8,129.8,70.4,13,4.8,26.5,32,2023,61.7,"Niko Medved","Leon Rice","Colorado St.Boise St.1-28"
2023-01-21,"conf","Colorado St.","MWC","Wyoming","MWC","A","L",57,58,1,79.5,84.6,84.5,50,26.7,17.2,24.5,86,45.6,14.8,13.2,19.3,32.7,2023,67.5,"Niko Medved","Jeff Linder","Colorado St.Wyoming1-21"
2023-01-18,"conf","Colorado St.","MWC","San Diego St.","MWC","H","L",76,82,0,118.5,102.7,106.3,55.3,19.6,22.6,26.3,114.7,50.8,14,35.9,39.1,83.8,2023,63.6,"Niko Medved","Brian Dutcher","San Diego St.Colorado St.1-18"
2023-01-14,"conf","Colorado St.","MWC","UNLV","MWC","A","W",82,81,0,109.2,95.3,101.5,62.3,24.8,16.7,13.1,100.3,44.6,18.6,27.7,47.7,82.8,2023,71.8,"Niko Medved","Kevin Kruger","Colorado St.UNLV1-14"
2023-01-07,"conf","Colorado St.","MWC","Fresno St.","MWC","H","W",79,57,0,128.7,101.6,128.1,67.9,9.7,7.4,20.8,92.4,46.9,21.1,24.2,30.6,93.8,2023,61.7,"Niko Medved","Justin Hutson","Fresno St.Colorado St.1-7"
2023-01-04,"conf","Colorado St.","MWC","Nevada","MWC","A","L",69,80,0,118.8,113.9,107.7,58.8,23.4,24.1,25.5,124.9,65.6,21.9,33.3,51.1,62,2023,64.1,"Niko Medved","Steve Alford","Colorado St.Nevada1-4"
2022-12-31,"conf","Colorado St.","MWC","San Jose St.","MWC","H","L",70,78,0,109.8,109.9,106,45.8,3,11.4,30,118.1,57,16.7,32.4,31.6,49.6,2023,66.1,"Niko Medved","Tim Miles","San Jose St.Colorado St.12-31"
2022-12-28,"conf","Colorado St.","MWC","New Mexico","MWC","A","L",69,88,1,105,117,99.5,53.6,20.2,20,23.2,126.9,62.5,14.4,30.3,30,22.5,2023,69.4,"Niko Medved","Richard Pitino","Colorado St.New Mexico12-28"
2022-12-21,"nc","Colorado St.","MWC","USC","P12","N","L",64,73,0,95.3,95.7,89.5,42.5,18.2,16.7,43.4,102.1,62.2,30.8,28.6,38.8,48.7,2023,71.5,"Niko Medved","Andy Enfield","Colorado St.USC12-21"
2022-12-18,"nc","Colorado St.","MWC","Saint Mary's","WCC","A","W",62,60,0,128.3,96.3,108.2,61.6,19.2,9.1,27.9,104.7,48.9,24.4,44.1,48.9,96.4,2023,57.3,"Niko Medved","Randy Bennett","Colorado St.Saint Mary's12-18"
2022-12-08,"nc","Colorado St.","MWC","Colorado","P12","A","L",65,93,1,114.4,128.2,95.4,51,19.1,12.1,32.7,136.5,64.2,11.7,40.6,16.4,21.3,2023,68.2,"Niko Medved","Tad Boyle","Colorado St.Colorado12-8"
2022-12-03,"nc","Colorado St.","MWC","Northern Colorado","BSky","H","L",83,88,1,109.3,129.4,119.2,60.8,8.6,9.7,21.7,126.4,65.2,18.7,29.2,30.4,12.6,2023,69.6,"Niko Medved","Steve Smiley","Northern ColoradoColorado St.12-3"
2022-11-30,"nc","Colorado St.","MWC","Loyola Marymount","WCC","H","W",87,71,1,125.7,101.1,124,61.3,5.7,9.4,25.8,101.2,50.8,12.8,19.4,19.4,92.4,2023,70.2,"Niko Medved","Stan Johnson","Loyola MarymountColorado St.11-30"
2022-11-26,"nc","Colorado St.","MWC","Mississippi Valley St.","SWAC","H","W",88,45,1,105.1,82.5,121.6,60,18,27.6,76,62.2,37.8,34.5,22.2,24.5,94.2,2023,72.4,"Niko Medved","George Ivory","Mississippi Valley St.Colorado St.11-26"
2022-11-20,"nc","Colorado St.","MWC","Penn St.","B10","N","L",56,68,0,85,93.6,83.1,37.5,13.4,25.6,15.6,100.9,50,11.9,8.8,30.9,24.9,2023,67.4,"Niko Medved","Micah Shrewsberry","Colorado St.Penn St.11-20"
