"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Connecticut","BE","DePaul","BE","A","W",90,76,2,129.8,106.8,130,54.5,15.9,48,61.8,109.8,52.7,15.9,31.6,50,90.4,2023,69.2,"Dan Hurley","Tony Stubblefield","ConnecticutDePaul1-31"
2023-01-25,"conf","Connecticut","BE","Xavier","BE","H","L",79,82,1,111.1,107.9,112.8,49.2,17.1,43.2,41,117.1,62.1,21.4,30.8,22.4,58.2,2023,70,"Dan Hurley","Sean Miller","XavierConnecticut1-25"
2023-01-22,"conf","Connecticut","BE","Butler","BE","H","W",86,56,1,133.1,87.9,129.8,53.9,12.1,50,39.1,84.5,38.5,16.6,11.8,30.8,99.2,2023,66.2,"Dan Hurley","Thad Matta","ButlerConnecticut1-22"
2023-01-18,"conf","Connecticut","BE","Seton Hall","BE","A","L",66,67,2,115.1,94.6,98.1,47.3,26.8,36.4,25,99.6,44.6,13.4,28.2,44.6,90.6,2023,67.3,"Dan Hurley","Shaheen Holloway","ConnecticutSeton Hall1-18"
2023-01-15,"conf","Connecticut","BE","St. John's","BE","H","L",74,85,2,102.8,105.5,95.9,49.1,27.2,34.3,49.1,110.1,53.4,13,22.2,63.8,42.7,2023,77.2,"Dan Hurley","Mike Anderson","St. John'sConnecticut1-15"
2023-01-11,"conf","Connecticut","BE","Marquette","BE","A","L",76,82,6,118.9,98,110,53.3,23.2,42.4,25,118.7,55.9,15.9,32.3,32.2,90.2,2023,69.1,"Dan Hurley","Shaka Smart","ConnecticutMarquette1-11"
2023-01-07,"conf","Connecticut","BE","Creighton","BE","H","W",69,60,0,112.8,84.2,104.7,41.7,7.6,23.7,38.3,91,34.4,19.7,44.4,37.7,96.6,2023,65.9,"Dan Hurley","Greg McDermott","CreightonConnecticut1-7"
2023-01-04,"conf","Connecticut","BE","Providence","BE","A","L",61,73,5,112.3,104.7,100.3,40.5,13.2,41.3,30.2,120,44.9,14.8,41.2,71.4,69.1,2023,60.8,"Dan Hurley","Ed Cooley","ConnecticutProvidence1-4"
2022-12-31,"conf","Connecticut","BE","Xavier","BE","A","L",73,83,0,106.9,95,98.9,51.5,21.7,32.5,13.4,112.5,57.7,16.3,13.8,53.8,79.6,2023,73.8,"Dan Hurley","Sean Miller","ConnecticutXavier12-31"
2022-12-28,"conf","Connecticut","BE","Villanova","BE","H","W",74,66,1,106.2,91.1,106.2,48.1,15.8,24.2,50.9,94.7,48,25.8,25,35.3,85.4,2023,69.7,"Dan Hurley","Kyle Neptune","VillanovaConnecticut12-28"
2022-12-20,"conf","Connecticut","BE","Georgetown","BE","H","W",84,73,6,110.4,104.7,118.3,58.2,9.9,15.2,24.6,102.8,48.3,19.7,34.3,39,64.8,2023,71,"Dan Hurley","Patrick Ewing","GeorgetownConnecticut12-20"
2022-12-17,"conf","Connecticut","BE","Butler","BE","A","W",68,46,2,102.9,74.3,102.2,46.5,18,40.9,5.6,69.1,32.4,15,10,24.1,97.7,2023,66.5,"Dan Hurley","Thad Matta","ConnecticutButler12-17"
2022-12-10,"nc","Connecticut","BE","LIU Brooklyn","NEC","H","W",114,61,10,124.7,99.2,144.7,72.2,15.2,37.9,18.1,77.4,44.2,26.7,16.7,46.2,93.2,2023,78.8,"Dan Hurley","Rod Strickland","LIU BrooklynConnecticut12-10"
2022-12-07,"nc","Connecticut","BE","Florida","SEC","A","W",75,54,5,123,78.8,107.5,57.8,21.5,28.6,15.5,77.4,34,17.2,19,52.8,99.4,2023,69.8,"Dan Hurley","Todd Golden","ConnecticutFlorida12-7"
2022-12-01,"nc","Connecticut","BE","Oklahoma St.","B12","H","W",74,64,4,127.5,93,109.9,44.6,10.4,33.3,58.9,95,42.9,25.2,37.1,33.9,97.4,2023,67.3,"Dan Hurley","Mike Boynton","Oklahoma St.Connecticut12-1"
2022-11-27,"nc","Connecticut","BE","Iowa St.","B12","N","W",71,53,4,124.2,81.7,112.1,48.1,30,63.6,47.2,83.7,43.5,19,20.6,18.5,99.2,2023,63.3,"Dan Hurley","T.J. Otzelberger","ConnecticutIowa St.11-27"
2022-11-24,"nc","Connecticut","BE","Oregon","P12","N","W",83,59,3,122.6,83.6,121.1,61.1,17.5,34.3,17.5,86.1,47.9,24.8,22.6,53.2,98.8,2023,68.6,"Dan Hurley","Dana Altman","ConnecticutOregon11-24"
