"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Creighton","BE","Xavier","BE","H","W",84,67,2,125,88.6,123.4,63.3,17.6,25.9,15,98.4,51.6,13.2,18.8,6.5,98.1,2023,68.1,"Greg McDermott","Sean Miller","XavierCreighton1-28"
2023-01-25,"conf","Creighton","BE","St. John's","BE","H","W",104,76,6,138.7,104.2,138.1,64.9,9.3,26.7,31.3,100.9,50.7,15.9,28.2,20.9,96.4,2023,75.3,"Greg McDermott","Mike Anderson","St. John'sCreighton1-25"
2023-01-17,"conf","Creighton","BE","Butler","BE","A","W",73,52,1,117.3,85.2,114.3,52.3,14.1,38.2,10.9,81.4,41.4,11,8.1,8.6,97.5,2023,63.8,"Greg McDermott","Thad Matta","CreightonButler1-17"
2023-01-14,"conf","Creighton","BE","Providence","BE","H","W",73,67,5,113,89.5,106.5,50.9,10.2,12.1,42.6,97.8,41.5,17.5,37.5,23.1,93.6,2023,68.5,"Greg McDermott","Ed Cooley","ProvidenceCreighton1-14"
2023-01-11,"conf","Creighton","BE","Xavier","BE","A","L",87,90,3,121.2,101,114,57.8,14.4,18.8,25,118,55.9,17,38.5,30.9,89,2023,76.3,"Greg McDermott","Sean Miller","CreightonXavier1-11"
2023-01-07,"conf","Creighton","BE","Connecticut","BE","A","L",60,69,2,102.9,90.7,91,34.4,19.7,44.4,37.7,104.7,41.7,7.6,23.7,38.3,81,2023,65.9,"Greg McDermott","Dan Hurley","CreightonConnecticut1-7"
2023-01-03,"conf","Creighton","BE","Seton Hall","BE","H","W",83,61,5,138.1,89.9,123.2,60.5,16.3,30,29.8,90.6,40.8,20.8,32.5,23.3,99.3,2023,67.4,"Greg McDermott","Shaheen Holloway","Seton HallCreighton1-3"
2022-12-25,"conf","Creighton","BE","DePaul","BE","H","W",80,65,0,107.7,87.8,109.7,70,24.7,14.8,32,89.1,39.7,13.7,27.1,12.3,91.3,2023,72.9,"Greg McDermott","Tony Stubblefield","DePaulCreighton12-25"
2022-12-22,"conf","Creighton","BE","Butler","BE","H","W",78,56,2,115.8,92,117.4,64,22.6,34.8,40,84.3,43.9,15.1,12.1,12.3,93.3,2023,66.4,"Greg McDermott","Thad Matta","ButlerCreighton12-22"
2022-12-16,"conf","Creighton","BE","Marquette","BE","A","L",58,69,7,85.8,81.3,81.1,50,25.2,10,9.3,96.5,50,14,13.9,23.3,65.3,2023,71.5,"Greg McDermott","Shaka Smart","CreightonMarquette12-16"
2022-12-10,"nc","Creighton","BE","BYU","WCC","N","L",80,83,4,105.7,100.9,96.3,46.7,15.7,10.5,53.3,99.9,50,24.1,39,34.3,63,2023,83.1,"Greg McDermott","Mark Pope","BYUCreighton12-10"
2022-12-04,"nc","Creighton","BE","Nebraska","B10","H","L",53,63,3,80,89.1,74.3,38.5,21,21.3,7.7,88.3,50,18.2,15.6,11.9,22.4,2023,71.3,"Greg McDermott","Fred Hoiberg","NebraskaCreighton12-4"
2022-12-01,"nc","Creighton","BE","Texas","B12","A","L",67,72,5,100.6,88,92.8,43.9,11.1,19.5,21.2,99.7,44.6,4.2,20,10.8,82.2,2023,72.2,"Greg McDermott","Rodney Terry","CreightonTexas12-1"
2022-11-23,"nc","Creighton","BE","Arizona","P12","N","L",79,81,2,112.2,99,105.8,54.2,12.1,11.8,32.2,108.5,56.6,17.4,24.2,10.3,80.9,2023,74.7,"Greg McDermott","Tommy Lloyd","ArizonaCreighton11-23"
2022-11-22,"nc","Creighton","BE","Arkansas","SEC","N","W",90,87,9,131.8,105.1,115.5,65.1,21.8,19.2,54.7,111.6,52.9,11.5,25,24.3,93.1,2023,77.9,"Greg McDermott","Eric Musselman","ArkansasCreighton11-22"
2022-11-21,"nc","Creighton","BE","Texas Tech","B12","N","W",76,65,3,126.7,99.4,120.3,64.3,20.6,29.2,34.7,102.8,48.4,14.2,29.7,11.3,94.2,2023,63.2,"Greg McDermott","Mark Adams","CreightonTexas Tech11-21"
2022-11-17,"nc","Creighton","BE","UC Riverside","BW","H","W",80,51,4,113.9,83.9,122.1,59,10.7,28.1,21.3,77.8,37.9,13.7,19.5,9.7,97.1,2023,65.5,"Greg McDermott","Mike Magpayo","UC RiversideCreighton11-17"
2022-11-14,"nc","Creighton","BE","Holy Cross","Pat","H","W",94,65,10,123.8,100.6,128.9,67.2,12.3,29,26.6,89.1,46.8,16.5,13.2,16.1,91.5,2023,72.9,"Greg McDermott","Brett Nelson","Holy CrossCreighton11-14"
2022-11-10,"nc","Creighton","BE","North Dakota","Sum","H","W",96,61,4,127.8,94.6,139.1,59.5,15.9,53.8,14.9,88.4,53.7,20.3,6.7,11.1,96.9,2023,69,"Greg McDermott","Paul Sather","North DakotaCreighton11-10"
2022-11-07,"nc","Creighton","BE","St. Thomas","Sum","H","W",72,60,4,98.4,89.1,107.8,45.5,7.5,29.3,21.2,89.9,49.1,21,18.2,6.9,75.7,2023,66.8,"Greg McDermott","Johnny Tauer","St. ThomasCreighton11-7"
