"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Dayton","A10","Loyola Chicago","A10","H","W",85,81,2,116.3,120.1,121.9,57.4,11.5,26.7,57.4,116.2,60.2,20.1,25.8,20.3,40.7,2023,62,"Anthony Grant","Drew Valentine","Loyola ChicagoDayton1-31"
2023-01-28,"conf","Dayton","A10","Richmond","A10","H","W",86,60,6,131.5,96.9,132,68.3,12.3,20,6.7,92.1,46.7,13.8,17.6,8.3,97.1,2023,65.1,"Anthony Grant","Chris Mooney","RichmondDayton1-28"
2023-01-25,"conf","Dayton","A10","Rhode Island","A10","A","L",70,75,4,110.2,116.6,107.8,56.7,18.5,23.3,34.6,115.5,52,16.9,32.1,52,34.4,2023,64.9,"Anthony Grant","Archie Miller","DaytonRhode Island1-25"
2023-01-21,"conf","Dayton","A10","George Washington","A10","A","L",69,76,4,93.6,103.3,98.6,41.8,8.6,22.7,20.9,108.6,53.9,17.1,16.7,51,24.4,2023,70,"Anthony Grant","Chris Caputo","DaytonGeorge Washington1-21"
2023-01-17,"conf","Dayton","A10","Davidson","A10","H","W",68,61,3,104.8,98.2,106.3,60.9,21.9,20.8,39.1,95.4,44.5,20.3,38.5,7.8,68,2023,64,"Anthony Grant","Matt McKillop","DavidsonDayton1-17"
2023-01-13,"conf","Dayton","A10","VCU","A10","H","L",62,63,5,103,94.3,93.3,53.1,27.1,28.6,35.4,94.8,50,19.6,27.8,13.3,73.4,2023,66.4,"Anthony Grant","Mike Rhoades","VCUDayton1-13"
2023-01-10,"conf","Dayton","A10","Fordham","A10","A","W",82,58,7,122.7,86.3,117.9,71.1,23,5.3,51.1,83.4,42.1,21.6,33.3,17.5,98.3,2023,69.6,"Anthony Grant","Keith Urgo","DaytonFordham1-10"
2023-01-04,"conf","Dayton","A10","Saint Joseph's","A10","H","W",76,56,6,119.1,97.3,124.3,67.3,18,30.4,30.6,91.6,35.2,11.4,34.1,20.3,91.1,2023,61.2,"Anthony Grant","Billy Lange","Saint Joseph'sDayton1-4"
2022-12-31,"conf","Dayton","A10","Davidson","A10","A","W",69,55,3,115.1,90.2,113.3,51.1,11.5,32.1,63.8,90.3,40.4,4.9,12.8,28.1,94.3,2023,60.9,"Anthony Grant","Matt McKillop","DaytonDavidson12-31"
2022-12-28,"conf","Dayton","A10","Duquesne","A10","H","W",69,57,5,103.5,82.2,102.9,54.2,28.3,41.2,13.6,85,49.1,20.9,20.6,12.5,93.4,2023,67.1,"Anthony Grant","Keith Dambrot","DuquesneDayton12-28"
2022-12-17,"nc","Dayton","A10","Wyoming","MWC","N","W",66,49,6,107.4,79.7,111.3,65.6,23.6,22.7,26.7,82.6,40.9,15.2,20,7.3,96.8,2023,59.3,"Anthony Grant","Jeff Linder","DaytonWyoming12-17"
2022-12-10,"nc","Dayton","A10","UNC Asheville","BSth","H","W",79,56,10,112.8,86.3,114.6,60.3,26.1,46.4,22.4,81.3,38.5,14.5,21.4,23,95.6,2023,68.9,"Anthony Grant","Mike Morrell","UNC AshevilleDayton12-10"
2022-12-07,"nc","Dayton","A10","Virginia Tech","ACC","A","L",49,77,1,84.4,103.4,74.6,32.5,18.3,33.3,28.3,117.2,56.3,7.6,15.6,11.1,8.8,2023,65.7,"Anthony Grant","Mike Young","DaytonVirginia Tech12-7"
