"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Delaware","CAA","Northeastern","CAA","H","W",81,78,0,109.5,114.5,112.4,54.6,12.5,14.3,57.4,108.2,54.2,13.9,24.3,36.7,37.2,2023,72.1,"Martin Ingelsby","Bill Coen","NortheasternDelaware1-28"
2023-01-26,"conf","Delaware","CAA","Hampton","CAA","A","L",66,67,2,96.7,110.2,104.8,49,20.6,36.7,49,106.3,49.1,11.1,28.1,26.8,18.1,2023,63,"Martin Ingelsby","Edward Joyner","DelawareHampton1-26"
2023-01-21,"conf","Delaware","CAA","Drexel","CAA","A","L",74,77,2,98.7,102.9,96.1,49.2,20.8,28.6,23.4,100,55.8,22.1,11.5,44.2,38.2,2023,68.5,"Martin Ingelsby","Zach Spiker","DelawareDrexel1-21"
2023-01-19,"conf","Delaware","CAA","William & Mary","CAA","H","W",80,53,1,108.9,90.4,123.6,63.2,17,25,19.3,81.9,51.1,24.7,13.8,28.9,89.6,2023,64.7,"Martin Ingelsby","Dane Fischer","William & MaryDelaware1-19"
2023-01-16,"conf","Delaware","CAA","Northeastern","CAA","A","L",58,59,0,97,97.1,94.7,50,18,16.7,24.5,96.4,46.4,35.9,58.8,18.2,49.6,2023,61.2,"Martin Ingelsby","Bill Coen","DelawareNortheastern1-16"
2023-01-14,"conf","Delaware","CAA","Hofstra","CAA","A","L",62,86,1,88,108.5,83.4,40,24.2,28.6,30,115.7,56.3,17.5,30.3,27,8.2,2023,74.3,"Martin Ingelsby","Speedy Claxton","DelawareHofstra1-14"
2023-01-11,"conf","Delaware","CAA","Towson","CAA","H","W",72,59,0,112.2,91.4,113.4,56.7,17.3,17.4,51.1,92.9,41.2,20.5,34.1,29.8,91.4,2023,63.5,"Martin Ingelsby","Pat Skerry","TowsonDelaware1-11"
2023-01-07,"conf","Delaware","CAA","College of Charleston","CAA","A","L",64,75,0,99.1,97.5,90.2,46.7,18.3,23.7,21.3,105.7,41.8,15.5,38.6,54.1,54.6,2023,70.9,"Martin Ingelsby","Pat Kelsey","DelawareCollege of Charleston1-7"
2022-12-31,"conf","Delaware","CAA","Elon","CAA","H","W",57,52,1,80.8,88.1,87.9,43.5,21.6,27,27.8,80.2,39.4,24.7,23.5,42.6,27,2023,64.8,"Martin Ingelsby","Billy Taylor","ElonDelaware12-31"
2022-12-29,"conf","Delaware","CAA","Hofstra","CAA","H","L",73,87,2,104,122,104.1,49,15.7,18.8,55.8,124.1,65.7,15.7,22.2,40.7,13.8,2023,70.1,"Martin Ingelsby","Speedy Claxton","HofstraDelaware12-29"
2022-12-21,"nc","Delaware","CAA","Ohio","MAC","H","L",76,95,1,100.5,129.4,106.6,50,11.2,22,28.1,133.3,59.5,12.6,35.5,33.3,5.2,2023,71.3,"Martin Ingelsby","Jeff Boals","OhioDelaware12-21"
2022-12-19,"nc","Delaware","CAA","Rider","MAAC","A","W",60,59,1,98.1,100.7,102.9,49.1,13.7,23.5,20.4,101.2,47.5,13.7,37.1,8.3,42.7,2023,58.3,"Martin Ingelsby","Kevin Baggett","DelawareRider12-19"
2022-12-16,"nc","Delaware","CAA","Princeton","Ivy","A","W",76,69,0,115.8,94.4,111.2,57.5,14.6,20,41.5,100.9,54.2,23.4,30.3,15.3,91.3,2023,68.4,"Martin Ingelsby","Mitch Henderson","DelawarePrinceton12-16"
2022-12-11,"nc","Delaware","CAA","Siena","MAAC","H","W",75,64,2,107.1,97.2,110,56.1,13.2,10.7,57.1,93.9,47.2,23.5,31.2,35.8,75.3,2023,68.2,"Martin Ingelsby","Carmen Marciariello","SienaDelaware12-11"
2022-12-07,"nc","Delaware","CAA","Delaware St.","MEAC","H","W",77,69,1,103.2,120.9,115.8,47.3,9,29.7,58.2,103.8,48.4,19.5,34.2,12.5,13.9,2023,66.5,"Martin Ingelsby","Eric Skeeters","Delaware St.Delaware12-7"
2022-12-03,"nc","Delaware","CAA","Davidson","A10","H","W",69,67,0,112,102.7,108.3,54.2,11,29.4,23.7,105.1,46.9,7.8,21.6,12.5,73.1,2023,63.7,"Martin Ingelsby","Matt McKillop","DavidsonDelaware12-3"
2022-12-01,"nc","Delaware","CAA","Cornell","Ivy","H","L",67,74,0,98.4,98.9,101.4,56.1,27.2,34.5,5.3,112,54.8,15.1,32.4,16.1,48.7,2023,66.1,"Martin Ingelsby","Brian Earl","CornellDelaware12-1"
2022-11-27,"nc","Delaware","CAA","Penn","Ivy","A","L",73,86,1,112.5,119.4,109.9,49.2,13.6,35,23.4,129.5,65.5,13.6,23.1,20.7,33.5,2023,66.4,"Martin Ingelsby","Steve Donahue","DelawarePenn11-27"
2022-11-26,"nc","Delaware","CAA","Hartford","ind","N","W",78,50,2,96,86.1,111.5,50.9,20,36.4,44.6,71.5,42.6,25.7,11.4,40.4,77.6,2023,69.9,"Martin Ingelsby","John Gallagher","DelawareHartford11-26"
2022-11-18,"nc","Delaware","CAA","Duke","ACC","A","L",58,92,0,97.9,110.7,81.1,42.7,19.6,16.2,30.9,128.6,54.4,14,45.7,30.9,19.5,2023,71.5,"Martin Ingelsby","Jon Scheyer","DelawareDuke11-18"
2022-11-11,"nc","Delaware","CAA","Air Force","MWC","A","L",71,75,0,103.6,110.2,105.1,40.4,11.8,29.3,52.6,111,54.7,19.2,30.3,47.2,33.1,2023,67.6,"Martin Ingelsby","Joe Scott","DelawareAir Force11-11"
