"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Drexel","CAA","Elon","CAA","A","L",58,72,4,92.6,125.2,96.3,46.4,21.6,36.4,14.5,119.5,63.5,19.9,23.8,25,3,2023,60.2,"Zach Spiker","Billy Taylor","DrexelElon1-28"
2023-01-26,"conf","Drexel","CAA","North Carolina A&T","CAA","A","L",55,68,1,77.4,91.5,76.5,37.9,15.3,20.4,15.2,94.6,46.6,22.3,33.3,35.6,12.7,2023,71.9,"Zach Spiker","Jay Joyner","DrexelNorth Carolina A&T1-26"
2023-01-21,"conf","Drexel","CAA","Delaware","CAA","H","W",77,74,1,98.3,97.8,100,55.8,22.1,11.5,44.2,96.1,49.2,20.8,28.6,23.4,51.6,2023,68.5,"Zach Spiker","Martin Ingelsby","DelawareDrexel1-21"
2023-01-19,"conf","Drexel","CAA","Hampton","CAA","H","W",79,73,1,110.3,121,123,59.8,9.3,22.2,49,113.6,50.9,10.9,23.3,27.6,25.6,2023,64.2,"Zach Spiker","Edward Joyner","HamptonDrexel1-19"
2023-01-14,"conf","Drexel","CAA","Northeastern","CAA","A","W",76,55,1,113.5,88,115.5,56.9,15.2,30.3,27.6,83.6,41.5,19.8,13.8,44.7,95,2023,65.8,"Zach Spiker","Bill Coen","DrexelNortheastern1-14"
2023-01-12,"conf","Drexel","CAA","Stony Brook","CAA","A","L",66,67,2,108.6,122,114,57.7,12.1,24.2,26.9,115.7,56.1,22.4,38.5,26.5,20.7,2023,57.9,"Zach Spiker","Geno Ford","DrexelStony Brook1-12"
2023-01-07,"conf","Drexel","CAA","Monmouth","CAA","H","W",67,35,4,100.2,71.1,108.7,47.5,17.8,40,23,56.8,29.2,24.3,25,33.3,98.1,2023,61.6,"Zach Spiker","King Rice","MonmouthDrexel1-7"
2023-01-05,"conf","Drexel","CAA","Towson","CAA","A","L",58,64,1,94.1,104.7,95.8,46.6,14.9,32.4,11.9,105.7,50.9,13.2,19.4,18.2,22.8,2023,60.5,"Zach Spiker","Pat Skerry","DrexelTowson1-5"
2022-12-31,"conf","Drexel","CAA","William & Mary","CAA","H","W",66,56,1,95,94.8,105.4,46.4,17.6,44.1,43.6,89.5,46.2,22.4,23.5,15.1,50.6,2023,62.6,"Zach Spiker","Dane Fischer","William & MaryDrexel12-31"
2022-12-29,"conf","Drexel","CAA","Elon","CAA","H","W",62,50,0,96,93.9,105.2,52.9,25.4,38.7,17.3,84.8,43.9,18.7,23.5,28.6,56.4,2023,59,"Zach Spiker","Billy Taylor","ElonDrexel12-29"
2022-12-14,"nc","Drexel","CAA","Seton Hall","BE","A","L",49,66,2,79.4,97.2,72.1,32.8,20.6,30.6,9,97.1,48.1,22.1,31.2,35.8,8.9,2023,67.9,"Zach Spiker","Shaheen Holloway","DrexelSeton Hall12-14"
2022-12-10,"nc","Drexel","CAA","La Salle","A10","A","W",65,58,3,88.7,87.6,92.6,37,10,34.7,20.5,82.6,39.2,14.2,20.9,13.8,53.5,2023,62.4,"Zach Spiker","Fran Dunphy","DrexelLa Salle12-10"
2022-12-03,"nc","Drexel","CAA","Princeton","Ivy","H","L",63,83,1,99.2,121.4,96.5,47.4,13.8,20.6,21.1,127.2,59.2,15.3,42.9,9.2,8.9,2023,65.3,"Zach Spiker","Mitch Henderson","PrincetonDrexel12-3"
2022-11-30,"nc","Drexel","CAA","Lafayette","Pat","H","W",64,56,2,109.5,105.4,109.6,53.8,20.6,40,15.1,95.9,54,20.6,19.2,4,60.6,2023,58.4,"Zach Spiker","Mike Jordan","LafayetteDrexel11-30"
2022-11-27,"nc","Drexel","CAA","Temple","Amer","A","L",61,73,3,109.6,113.7,99.6,50,14.7,16.7,13,119.1,65.6,18,13.6,22.9,39.7,2023,61.3,"Zach Spiker","Aaron McKie","DrexelTemple11-27"
2022-11-23,"nc","Drexel","CAA","Indiana St.","MVC","N","L",81,85,0,126.7,126.2,123,62.3,12.2,25.8,26.3,129.1,61.2,16.7,34.5,31,51,2023,65.8,"Zach Spiker","John Schertz","DrexelIndiana St.11-23"
2022-11-22,"nc","Drexel","CAA","Florida Gulf Coast","ASun","N","L",59,67,0,91.5,101.8,90.9,41.7,15.4,34.1,30,103.2,50,18.5,34.3,14.8,22.8,2023,64.9,"Zach Spiker","Pat Chambers","DrexelFlorida Gulf Coast11-22"
2022-11-21,"nc","Drexel","CAA","UT Arlington","WAC","N","W",59,38,0,90.2,71,97.5,50.9,23.1,26.7,11.3,62.8,28.8,14.9,32.6,18.6,93.9,2023,60.5,"Zach Spiker","Greg Young","DrexelUT Arlington11-21"
2022-11-15,"nc","Drexel","CAA","Penn","Ivy","H","L",59,64,1,81.3,93.9,86.7,43.1,14.7,23.8,34.5,94,46.4,17.6,15.2,25.5,16,2023,68.1,"Zach Spiker","Steve Donahue","PennDrexel11-15"
2022-11-11,"nc","Drexel","CAA","Old Dominion","SB","H","W",71,59,2,105.3,94.5,108.2,54.3,19.8,30,63.8,89.9,37.7,13.7,37.5,32.3,77.5,2023,65.6,"Zach Spiker","Jeff Jones","Old DominionDrexel11-11"
