"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Duke","ACC","Wake Forest","ACC","H","W",75,73,2,109.6,92.7,107.5,55.6,20.1,29,37,104.6,44.5,12.9,25,26.6,87.3,2023,69.8,"Jon Scheyer","Steve Forbes","Wake ForestDuke1-31"
2023-01-28,"conf","Duke","ACC","Georgia Tech","ACC","A","W",86,43,7,129.6,76.7,134.4,63.1,14.1,43.3,24.6,67.2,35.5,17.2,14.3,10.9,99.8,2023,64,"Jon Scheyer","Josh Pastner","DukeGeorgia Tech1-28"
2023-01-23,"conf","Duke","ACC","Virginia Tech","ACC","A","L",75,78,2,125.2,112.3,117.4,55.8,11,29,20,122.1,67.3,17.2,19.2,38.8,77.7,2023,63.9,"Jon Scheyer","Mike Young","DukeVirginia Tech1-23"
2023-01-21,"conf","Duke","ACC","Miami FL","ACC","H","W",68,66,3,108.6,93.3,107.7,47.6,15.8,39,24.2,104.6,42.9,9.5,31.7,23.8,85.2,2023,63.1,"Jon Scheyer","Jim Larranaga","Miami FLDuke1-21"
2023-01-14,"conf","Duke","ACC","Clemson","ACC","A","L",64,72,3,107.2,98.7,95.5,40.5,16.4,35.7,28.6,107.4,48.3,13.4,29.4,30.5,71.9,2023,67.1,"Jon Scheyer","Brad Brownell","DukeClemson1-14"
2023-01-11,"conf","Duke","ACC","Pittsburgh","ACC","H","W",77,69,3,108,96.6,108.5,40.9,24,55.8,40.9,97.3,48.3,18.3,25,29.3,78.3,2023,70.9,"Jon Scheyer","Jeff Capel","PittsburghDuke1-11"
2023-01-07,"conf","Duke","ACC","Boston College","ACC","A","W",65,64,3,106.6,97.6,99.7,45.3,23,34.4,35.8,98.2,46,13.8,28.9,11.1,73.3,2023,65.2,"Jon Scheyer","Earl Grant","DukeBoston College1-7"
2023-01-04,"conf","Duke","ACC","North Carolina St.","ACC","A","L",60,84,2,89.8,109,84.2,44.8,29.5,26.5,54.2,117.9,54.3,8.4,31,21.4,9.7,2023,71.2,"Jon Scheyer","Kevin Keatts","DukeNorth Carolina St.1-4"
2022-12-31,"conf","Duke","ACC","Florida St.","ACC","H","W",86,67,0,123,100.1,127.5,60.5,13.3,34.5,35.1,99.4,46.9,19.3,18.5,53.1,91.4,2023,67.4,"Jon Scheyer","Leonard Hamilton","Florida St.Duke12-31"
2022-12-20,"conf","Duke","ACC","Wake Forest","ACC","A","L",70,81,2,99.2,101.1,97.9,50.8,18.2,20,23.7,113.3,55.7,21,29,49.1,44.4,2023,71.5,"Jon Scheyer","Steve Forbes","DukeWake Forest12-20"
2022-12-10,"nc","Duke","ACC","Maryland Eastern Shore","MEAC","H","W",82,55,5,114.3,87.6,116.2,58.3,26.9,48.3,21.7,77.9,47.3,25.5,15.2,3.6,95.5,2023,70.6,"Jon Scheyer","Jason Crafton","Maryland Eastern ShoreDuke12-10"
2022-12-06,"nc","Duke","ACC","Iowa","B10","N","W",74,62,4,109.6,79.3,109,50,13.3,29.7,22.2,91.3,42.1,10.3,20.9,23.8,97.7,2023,67.9,"Jon Scheyer","Fran McCaffery","DukeIowa12-6"
2022-12-03,"conf","Duke","ACC","Boston College","ACC","H","W",75,59,5,120.2,99.7,119.6,60.4,15.9,26.9,24.5,94.1,41.4,14.3,35.9,14.1,89.6,2023,62.7,"Jon Scheyer","Earl Grant","Boston CollegeDuke12-3"
2022-11-30,"nc","Duke","ACC","Ohio St.","B10","H","W",81,72,2,119,93.4,116.8,50,18.7,40.6,54.5,103.8,50,23.1,36.4,40,94.2,2023,69.3,"Jon Scheyer","Chris Holtmann","Ohio St.Duke11-30"
2022-11-27,"nc","Duke","ACC","Purdue","B10","N","L",56,75,0,99.1,98.6,86.1,37.9,16.9,28.2,29.3,115.3,50.9,16.9,41.2,32.8,51.7,2023,65.1,"Jon Scheyer","Matt Painter","DukePurdue11-27"
2022-11-25,"nc","Duke","ACC","Xavier","BE","N","W",71,64,3,112.9,85.2,108.4,54.6,16.8,29,35.2,97.7,45.2,22.9,29.4,36.5,96.2,2023,65.5,"Jon Scheyer","Sean Miller","DukeXavier11-25"
2022-11-24,"nc","Duke","ACC","Oregon St.","P12","N","W",54,51,1,98.1,98.8,97.6,30.8,14.5,48.9,35,92.2,46.5,19.9,20.7,32.6,47.9,2023,55.3,"Jon Scheyer","Wayne Tinkle","DukeOregon St.11-24"
2022-11-18,"nc","Duke","ACC","Delaware","CAA","H","W",92,58,3,118.1,91,128.6,54.4,14,45.7,30.9,81.1,42.7,19.6,16.2,30.9,95.2,2023,71.5,"Jon Scheyer","Martin Ingelsby","DelawareDuke11-18"
2022-11-15,"nc","Duke","ACC","Kansas","B12","N","L",64,69,5,98.5,85.5,88.3,38.1,24.8,47.7,23.9,95.2,48.5,20.7,32.4,10.4,83.6,2023,72.5,"Jon Scheyer","Bill Self","DukeKansas11-15"
2022-11-11,"nc","Duke","ACC","USC Upstate","BSth","H","W",84,38,7,107.3,65.1,116.4,49.3,18,50,38.2,52.7,34.3,31.9,17.9,3.7,99.7,2023,72.2,"Jon Scheyer","Dave Dickerson","USC UpstateDuke11-11"
2022-11-07,"nc","Duke","ACC","Jacksonville","ASun","H","W",71,44,2,113.4,80.2,118.7,54.2,20.1,47.1,18.6,73.6,36.8,18.4,20,9.4,98.2,2023,59.8,"Jon Scheyer","Jordan Mincy","JacksonvilleDuke11-7"
