"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Eastern Michigan","MAC","Ohio","MAC","H","W",90,79,1,124.2,114.2,132.9,70.2,17.7,27.3,40.4,116.6,52.2,17.7,48.8,29.9,72.4,2023,67.7,"Stan Heath","Jeff Boals","OhioEastern Michigan1-31"
2023-01-28,"conf","Eastern Michigan","MAC","Miami OH","MAC","A","W",74,69,1,94.7,97.1,103.8,49.1,15.4,21.9,36.8,96.8,52.7,26.7,29.4,29.1,43,2023,71.3,"Stan Heath","Travis Steele","Eastern MichiganMiami OH1-28"
2023-01-24,"conf","Eastern Michigan","MAC","Toledo","MAC","A","L",79,84,1,111.3,104,113.9,64,15.9,11.1,14,121.1,52.5,5.8,18.4,41,68.7,2023,69.3,"Stan Heath","Tod Kowalczyk","Eastern MichiganToledo1-24"
2023-01-21,"conf","Eastern Michigan","MAC","Northern Illinois","MAC","H","L",67,88,2,90,134.3,95.2,48,21.3,31.4,58.8,125,68.5,18.5,17.4,33.3,1,2023,70.4,"Stan Heath","Rashon Burno","Northern IllinoisEastern Michigan1-21"
2023-01-17,"conf","Eastern Michigan","MAC","Kent St.","MAC","H","L",63,77,0,97.6,107.5,89.6,44.3,18.5,28.6,27.9,109.5,52.5,12.8,21.2,30,24.8,2023,70.3,"Stan Heath","Rob Senderoff","Kent St.Eastern Michigan1-17"
2023-01-13,"conf","Eastern Michigan","MAC","Akron","MAC","A","L",67,104,0,95.7,129.3,87.3,39.5,13,5.6,45.6,135.5,61.9,10.4,31.2,50.8,3,2023,76.8,"Stan Heath","John Groce","Eastern MichiganAkron1-13"
2023-01-10,"conf","Eastern Michigan","MAC","Western Michigan","MAC","A","L",79,85,3,93.1,112.2,103.8,51.7,22.3,24.1,36.2,111.7,51.6,15.8,34.2,49.2,10.5,2023,76.1,"Stan Heath","Dwayne Stephens","Eastern MichiganWestern Michigan1-10"
2023-01-07,"conf","Eastern Michigan","MAC","Central Michigan","MAC","H","W",62,56,1,85.6,99.7,94,39.8,18.2,30.8,48.1,84.9,42.2,34.9,48.6,39.2,14.9,2023,65.9,"Stan Heath","Tony Barbee","Central MichiganEastern Michigan1-7"
2022-12-30,"nc","Eastern Michigan","MAC","South Carolina","SEC","A","L",64,74,1,96.4,121.1,100.5,47.6,12.6,26.3,14.3,116.2,50.8,14.1,47.4,27,6.8,2023,63.7,"Stan Heath","Lamont Paris","Eastern MichiganSouth Carolina12-30"
2022-12-18,"nc","Eastern Michigan","MAC","Detroit","Horz","H","W",79,77,1,96.5,98.6,106.4,46.7,17.5,29.7,43.3,103.7,47.8,21.6,37.2,22.4,43.9,2023,74.2,"Stan Heath","Mike Davis","DetroitEastern Michigan12-18"
2022-12-11,"nc","Eastern Michigan","MAC","Niagara","MAAC","A","L",60,67,1,101.9,110.6,99.2,50.9,9.9,12.9,11.1,110.8,56,13.2,13,30,28,2023,60.5,"Stan Heath","Greg Paulus","Eastern MichiganNiagara12-11"
2022-12-07,"nc","Eastern Michigan","MAC","Illinois St.","MVC","A","L",81,87,2,114.8,127.3,115.7,56.2,12.9,19.4,44.6,124.3,62.5,17.1,29.2,70.8,23.4,2023,70,"Stan Heath","Ryan Pedon","Eastern MichiganIllinois St.12-7"
2022-12-04,"nc","Eastern Michigan","MAC","Florida Atlantic","CUSA","H","L",73,101,0,110.8,125.6,99.7,44.4,10.9,20,40.3,138,69.2,13.7,38.7,30.8,19.1,2023,73.2,"Stan Heath","Dusty May","Florida AtlanticEastern Michigan12-4"
2022-11-30,"nc","Eastern Michigan","MAC","FIU","CUSA","A","W",80,68,1,107.4,101.6,112.6,55.7,19.7,34.4,23,95.7,50,18.3,30.3,42.1,65.4,2023,71,"Stan Heath","Jeremy Ballard","Eastern MichiganFIU11-30"
2022-11-27,"nc","Eastern Michigan","MAC","UC San Diego","BW","H","L",63,66,1,88.6,105.9,93.7,42.9,13.4,20,41.1,98.1,49.1,22.3,36.1,28.1,11.3,2023,67.3,"Stan Heath","Ed Olen","UC San DiegoEastern Michigan11-27"
2022-11-23,"nc","Eastern Michigan","MAC","Winthrop","BSth","N","L",87,101,0,104,129.9,112.8,48.6,18.1,44.2,26,130.9,76.9,20.7,23.8,57.7,7.2,2023,77.1,"Stan Heath","Mark Prosser","Eastern MichiganWinthrop11-23"
2022-11-22,"nc","Eastern Michigan","MAC","Fort Wayne","Horz","N","L",67,74,2,94.8,108.2,96.2,58.5,25.9,32.1,24.5,106.3,47.6,18.7,32.4,27.4,17.9,2023,69.6,"Stan Heath","Jon Coffman","Eastern MichiganFort Wayne11-22"
2022-11-19,"nc","Eastern Michigan","MAC","Oakland","Horz","A","L",90,92,2,105.6,118.9,113.2,54.5,15.1,25.7,29.9,115.8,63.1,16.4,17.2,36.1,20.3,2023,70.6,"Stan Heath","Greg Kampe","Eastern MichiganOakland11-19"
2022-11-15,"nc","Eastern Michigan","MAC","Bradley","MVC","A","L",61,89,1,94,116.1,84.1,46.6,22.1,18.2,15.5,122.7,59.5,12.4,24.2,50,8.1,2023,72.5,"Stan Heath","Brian Wardle","Eastern MichiganBradley11-15"
2022-11-11,"nc","Eastern Michigan","MAC","Michigan","B10","N","L",83,88,2,110.3,102.3,103.9,49.2,13.8,20.5,42.2,110.1,52.5,13.8,26.3,66.7,70.4,2023,79.9,"Stan Heath","Juwan Howard","Eastern MichiganMichigan11-11"
