"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Eastern Washington","BSky","Weber St.","BSky","H","W",75,71,1,120.4,119.5,118.3,62,20.5,32.1,20.4,112,57.8,12.6,10,31.4,52.2,2023,63.4,"David Riley","Eric Duft","Weber St.Eastern Washington1-28"
2023-01-26,"conf","Eastern Washington","BSky","Idaho St.","BSky","H","W",81,68,1,112.9,106.7,120.8,56.1,16.4,39.3,36.8,101.4,47.6,11.9,24.3,21,65.8,2023,67.1,"David Riley","Ryan Looney","Idaho St.Eastern Washington1-26"
2023-01-21,"conf","Eastern Washington","BSky","Northern Arizona","BSky","A","W",79,76,1,113.8,119.4,121.2,52.7,13.8,29.4,42.9,116.6,49.2,4.6,27.9,33.3,36.5,2023,65.2,"David Riley","Shane Burcar","Eastern WashingtonNorthern Arizona1-21"
2023-01-19,"conf","Eastern Washington","BSky","Northern Colorado","BSky","A","W",83,75,2,109,104.6,115.9,63.6,12.6,12.5,32.7,104.7,50.8,19.5,27.5,18.5,61.5,2023,71.6,"David Riley","Steve Smiley","Eastern WashingtonNorthern Colorado1-19"
2023-01-16,"conf","Eastern Washington","BSky","Montana","BSky","H","W",64,57,1,94.5,90.9,101,50,17.4,20,36.7,89.9,42,17.4,23.5,19.6,61.1,2023,63.4,"David Riley","Travis DeCuire","MontanaEastern Washington1-16"
2023-01-14,"conf","Eastern Washington","BSky","Idaho","BSky","H","W",95,74,7,117.6,107.1,133.5,66.9,14.1,24,30.5,104,46,19.7,24.2,62,74.7,2023,71.1,"David Riley","Zac Claus","IdahoEastern Washington1-14"
2023-01-07,"conf","Eastern Washington","BSky","Sacramento St.","BSky","H","W",78,75,2,120.7,104.7,116,66.4,25.3,32,10.9,111.6,54.1,17.9,33.3,26.2,83.7,2023,67.2,"David Riley","David Patrick","Sacramento St.Eastern Washington1-7"
2023-01-05,"conf","Eastern Washington","BSky","Portland St.","BSky","H","W",92,80,1,114.8,108.9,121.4,74.5,26.4,30.8,47.1,105.6,47.3,15.8,34.1,17.6,64.8,2023,75.8,"David Riley","Jase Coburn","Portland St.Eastern Washington1-5"
2022-12-31,"conf","Eastern Washington","BSky","Montana St.","BSky","A","W",70,67,0,113.3,98.8,104.7,53.1,26.9,30,40.8,100.2,50,10.5,20.5,21.3,82.8,2023,66.8,"David Riley","Danny Sprinkle","Eastern WashingtonMontana St.12-31"
2022-12-29,"conf","Eastern Washington","BSky","Montana","BSky","A","W",87,80,2,118.4,110,122.4,52.8,19.7,40.6,63,112.6,54.1,12.7,22,34.4,69.8,2023,71.1,"David Riley","Travis DeCuire","Eastern WashingtonMontana12-29"
2022-12-17,"nc","Eastern Washington","BSky","UC Davis","BW","H","W",79,68,4,101.1,95.6,106.3,57.1,26.9,41.2,15.9,91.5,39.8,25.6,38.5,42.4,65.6,2023,74.3,"David Riley","Jim Les","UC DavisEastern Washington12-17"
2022-12-13,"nc","Eastern Washington","BSky","Texas Tech","B12","A","L",70,77,2,108.6,98.6,97.8,58.7,29.3,21.4,23.1,107.6,45.3,12.6,33.3,34.4,75.2,2023,71.6,"David Riley","Mark Adams","Eastern WashingtonTexas Tech12-13"
2022-12-10,"nc","Eastern Washington","BSky","South Dakota St.","Sum","A","L",76,77,2,120.6,114.1,113.1,53,16.4,36.8,10.4,114.5,58.5,13.4,7.1,28.3,65.5,2023,67.2,"David Riley","Eric Henderson","Eastern WashingtonSouth Dakota St.12-10"
2022-12-03,"nc","Eastern Washington","BSky","North Dakota St.","Sum","H","W",78,70,3,105.6,102.6,112.2,57.3,14.4,24.2,16.1,100.7,55.9,24.4,28.1,11.9,58.3,2023,69.5,"David Riley","David Richman","North Dakota St.Eastern Washington12-3"
2022-11-27,"nc","Eastern Washington","BSky","FIU","CUSA","A","L",79,90,3,100.7,115.2,100.6,53.9,24.2,36.6,28.1,114.6,60.3,25.5,29.6,37.9,17.5,2023,78.5,"David Riley","Jeremy Ballard","Eastern WashingtonFIU11-27"
2022-11-25,"nc","Eastern Washington","BSky","Stony Brook","CAA","N","W",81,52,4,114.2,93.7,127.4,64.3,15.7,26.9,21.4,81.8,51.2,26.7,14.8,50,90.7,2023,63.6,"David Riley","Geno Ford","Eastern WashingtonStony Brook11-25"
2022-11-21,"nc","Eastern Washington","BSky","Washington St.","P12","N","L",56,82,4,93.4,117.1,85.9,36.1,13.8,29.3,23,125.8,60.2,9.2,24.3,15.6,6.9,2023,65.2,"David Riley","Kyle Smith","Eastern WashingtonWashington St.11-21"
2022-11-14,"nc","Eastern Washington","BSky","Mississippi Valley St.","SWAC","N","W",60,52,1,83.5,97.4,92.6,44.7,27.8,38.2,55.3,80.3,40.9,18.5,18.9,20,14.7,2023,64.8,"David Riley","George Ivory","Eastern WashingtonMississippi Valley St.11-14"
2022-11-13,"nc","Eastern Washington","BSky","Hawaii","BW","A","L",51,71,3,86.5,108.6,79,40.8,24.8,32.3,38.8,109.9,52.7,12.4,18.2,26.8,6.8,2023,64.6,"David Riley","Eran Ganot","Eastern WashingtonHawaii11-13"
2022-11-11,"nc","Eastern Washington","BSky","Yale","Ivy","N","L",60,74,1,91.7,99.6,86,47.9,22.9,6.9,38.3,106.1,54.7,22.9,29,39.6,27.8,2023,69.8,"David Riley","James Jones","Eastern WashingtonYale11-11"
2022-11-07,"nc","Eastern Washington","BSky","Santa Clara","WCC","A","L",72,84,2,92.9,92.7,87.3,46.1,19.4,14.6,31.2,101.9,43.3,12.1,30.6,32,50.5,2023,82.4,"David Riley","Herb Sendek","Eastern WashingtonSanta Clara11-7"
