"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Fairfield","MAAC","Rider","MAAC","H","L",69,78,1,105.7,117.5,107.4,46.4,9.3,33.3,48.2,121.4,50.8,18.7,48.6,21.9,22.8,2023,57.1,"Jay Young","Kevin Baggett","RiderFairfield1-29"
2023-01-26,"conf","Fairfield","MAAC","Mount St. Mary's","MAAC","A","W",63,60,1,101.8,103,99.9,45.5,11.1,24.3,40,95.2,52.1,27,27.6,29.8,46.6,2023,63,"Jay Young","Don Engelstad","FairfieldMount St. Mary's1-26"
2023-01-22,"conf","Fairfield","MAAC","Siena","MAAC","A","W",62,52,2,95.9,86.6,99,42.2,12.8,29.7,27.6,83,39.3,16,25,21.4,76.3,2023,62.7,"Jay Young","Carmen Marciariello","FairfieldSiena1-22"
2023-01-15,"conf","Fairfield","MAAC","Saint Peter's","MAAC","A","W",56,52,2,95.1,97,96.3,56.8,27.5,23.5,45.9,89.4,29.6,13.8,53.7,11.8,44.2,2023,58.2,"Jay Young","Bashir Mason","FairfieldSaint Peter's1-15"
2023-01-13,"conf","Fairfield","MAAC","Iona","MAAC","A","L",69,75,4,108.1,104,100.9,49.2,19,33.3,16.1,109.7,54.5,17.6,28.1,38.2,60.8,2023,68.4,"Jay Young","Rick Pitino","FairfieldIona1-13"
2023-01-06,"conf","Fairfield","MAAC","Niagara","MAAC","H","L",69,77,2,92.4,104.3,91.8,33.3,14.6,31.2,43.9,102.4,49.2,12,19.4,28.1,19.9,2023,66.8,"Jay Young","Greg Paulus","NiagaraFairfield1-6"
2023-01-01,"conf","Fairfield","MAAC","Siena","MAAC","H","L",61,70,2,89.8,109.6,92.6,41.8,18.2,34.1,29.5,106.3,57.7,19.7,23.1,25,9.2,2023,65.9,"Jay Young","Carmen Marciariello","SienaFairfield1-1"
2022-12-30,"conf","Fairfield","MAAC","Marist","MAAC","H","W",73,54,2,95.1,90.4,103.9,47.5,11.4,18.9,33.3,76.8,39.4,28.5,30.3,32.7,64.2,2023,70.3,"Jay Young","John Dunne","MaristFairfield12-30"
2022-12-12,"nc","Fairfield","MAAC","Yale","Ivy","H","L",64,77,1,109,112.3,100.7,45.5,23.6,42.4,79.5,121.1,54.4,23.6,50,35.1,41.6,2023,63.6,"Jay Young","James Jones","YaleFairfield12-12"
2022-12-07,"nc","Fairfield","MAAC","Sacred Heart","NEC","H","W",61,59,2,83.8,97.1,90.9,42.4,22.3,40,32.2,87.9,41,16.4,24.4,18,15.5,2023,67.1,"Jay Young","Anthony Latina","Sacred HeartFairfield12-7"
2022-12-03,"conf","Fairfield","MAAC","Saint Peter's","MAAC","H","W",67,55,1,102.4,94.8,105,50,20.4,25.9,73.8,86.2,40,15.7,31,9.2,70.8,2023,63.8,"Jay Young","Bashir Mason","Saint Peter'sFairfield12-3"
2022-12-01,"conf","Fairfield","MAAC","Manhattan","MAAC","A","L",53,56,1,87.4,96.7,89.5,38.1,27,52.4,23.7,94.5,49.1,18.6,29,11.1,23.9,2023,59.2,"Jay Young","RaShawn Stores","FairfieldManhattan12-1"
2022-11-27,"nc","Fairfield","MAAC","Evansville","MVC","N","W",63,56,2,81.3,93.2,89.9,48.8,25.7,18.5,82.9,79.9,42.2,15.7,17.1,29.3,17.2,2023,70.1,"Jay Young","David Ragland","EvansvilleFairfield11-27"
2022-11-26,"nc","Fairfield","MAAC","Mercer","SC","N","L",58,60,2,91.7,96.1,91.8,41.5,15.8,29.7,18.6,95,48,20.6,24.1,30,36.9,2023,63.2,"Jay Young","Greg Gary","FairfieldMercer11-26"
2022-11-25,"nc","Fairfield","MAAC","Towson","CAA","N","W",74,69,1,118.6,109.4,119.5,61,14.5,23.3,40,111.4,47.2,14.5,37.5,44.4,71.6,2023,62,"Jay Young","Pat Skerry","FairfieldTowson11-25"
2022-11-18,"nc","Fairfield","MAAC","Wagner","NEC","A","L",52,68,1,85.3,121.8,85.9,36.7,16.5,24.3,44.9,112.4,59.6,21.5,26.9,34,1.6,2023,60.5,"Jay Young","Donald Copeland","FairfieldWagner11-18"
2022-11-15,"nc","Fairfield","MAAC","Xavier","BE","A","L",65,78,2,97.4,87.5,88.1,41.8,19,23.7,27.9,105.7,58.8,23,32.3,35.1,77.3,2023,73.8,"Jay Young","Sean Miller","FairfieldXavier11-15"
2022-11-11,"nc","Fairfield","MAAC","New Hampshire","AE","A","L",71,83,0,110.6,135.2,110.9,52,12.5,15.6,43.1,129.7,65.1,12.5,20.7,34,9,2023,64,"Jay Young","Bill Herrion","FairfieldNew Hampshire11-11"
2022-11-07,"nc","Fairfield","MAAC","Wake Forest","ACC","A","L",59,71,1,91,90.9,87,45.5,19.2,18.4,30.9,104.7,45.7,14.7,23.5,84.8,50.4,2023,67.8,"Jay Young","Steve Forbes","FairfieldWake Forest11-7"
