"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"nc","Florida","SEC","Kansas St.","B12","A","L",50,64,2,73.8,81.8,68.7,34.5,19.2,13.6,27.6,87.9,41,16.5,26.8,34.4,23.5,2023,72.8,"Todd Golden","Jerome Tang","FloridaKansas St.1-28"
2023-01-25,"conf","Florida","SEC","South Carolina","SEC","H","W",81,60,6,104.3,89.1,111.6,52.3,6.9,15.4,25.8,82.7,40.8,20.7,28.6,31.7,86,2023,72.6,"Todd Golden","Lamont Paris","South CarolinaFlorida1-25"
2023-01-21,"conf","Florida","SEC","Mississippi St.","SEC","A","W",61,59,1,117.4,91.1,99.2,50.9,13,23.5,18.2,96,42.6,16.3,32.5,18,94.8,2023,61.5,"Todd Golden","Chris Jans","FloridaMississippi St.1-21"
2023-01-18,"conf","Florida","SEC","Texas A&M","SEC","A","L",52,54,3,87.9,81.5,84.3,31.1,14.6,36.2,31.1,87.6,37.9,17.8,38.5,11.3,70.5,2023,61.7,"Todd Golden","Buzz Williams","FloridaTexas A&M1-18"
2023-01-14,"conf","Florida","SEC","Missouri","SEC","H","W",73,64,3,97.6,82.4,102.7,56.9,26.7,28.1,41.2,90.1,44.2,19.7,28.6,25,87.4,2023,71.1,"Todd Golden","Dennis Gates","MissouriFlorida1-14"
2023-01-10,"conf","Florida","SEC","LSU","SEC","A","W",67,56,3,99.5,87.7,100.9,44.8,15.1,24.2,66.7,84.3,36.4,24.1,36.6,27.1,81.1,2023,66.4,"Todd Golden","Matt McMahon","FloridaLSU1-10"
2023-01-07,"conf","Florida","SEC","Georgia","SEC","H","W",82,75,4,116.6,107.8,114.2,54.9,15.3,24.2,27.9,104.4,45.6,13.9,34.1,26.5,71.3,2023,71.8,"Todd Golden","Mike White","GeorgiaFlorida1-7"
2023-01-04,"conf","Florida","SEC","Texas A&M","SEC","H","L",63,66,1,92.5,89.4,90.2,53.4,28.6,22.2,50,94.5,39.3,14.3,31,45.9,59.8,2023,69.9,"Todd Golden","Buzz Williams","Texas A&MFlorida1-4"
2022-12-28,"conf","Florida","SEC","Auburn","SEC","A","L",58,61,6,103,88.7,91,43.6,18.8,17.9,40.4,95.7,40.9,23.5,42.5,43.6,84.8,2023,63.7,"Todd Golden","Bruce Pearl","FloridaAuburn12-28"
2022-12-20,"nc","Florida","SEC","Oklahoma","B12","N","L",53,62,1,87.6,80.2,77.8,34.4,14.7,18.6,23,91,46.2,17.6,19.4,34,73.6,2023,68.1,"Todd Golden","Porter Moser","FloridaOklahoma12-20"
2022-12-14,"nc","Florida","SEC","Ohio","MAC","N","W",82,48,0,107.3,66.6,114.8,61.1,19.6,18.5,38.9,67.2,34.3,16.8,10.5,45.1,99.6,2023,71.4,"Todd Golden","Jeff Boals","FloridaOhio12-14"
2022-12-04,"nc","Florida","SEC","Stetson","ASun","H","W",89,51,4,114.9,80.7,132.9,63.2,16.4,35.7,49.1,76.1,37,23.9,26.3,29.6,98.3,2023,67,"Todd Golden","Donnie Jones","StetsonFlorida12-4"
2022-11-30,"nc","Florida","SEC","Florida A&M","SWAC","H","W",102,62,8,129.9,108.2,141.8,72,15.3,40.7,16.7,86.2,41.4,26.4,31.6,27.6,89.1,2023,71.9,"Todd Golden","Robert McCallum","Florida A&MFlorida11-30"
2022-11-27,"nc","Florida","SEC","West Virginia","B12","N","L",55,84,2,79.5,95.9,71.5,36.2,18.2,15,37.9,109.2,48.5,16.9,40.5,38.8,10.5,2023,76.9,"Todd Golden","Bob Huggins","FloridaWest Virginia11-27"
2022-11-25,"nc","Florida","SEC","Oregon St.","P12","N","W",81,68,4,132.1,104,123.9,64.2,13.8,13,28.3,104,53.6,13.8,22.9,28.6,94,2023,65.4,"Todd Golden","Wayne Tinkle","FloridaOregon St.11-25"
2022-11-24,"nc","Florida","SEC","Xavier","BE","N","L",83,90,3,113,101.1,107.6,50,14.3,29.8,10.1,116.7,64.4,19.4,29,33.9,78.1,2023,77.2,"Todd Golden","Sean Miller","FloridaXavier11-24"
2022-11-18,"nc","Florida","SEC","Florida St.","ACC","A","W",76,67,4,97.5,90.4,101.4,42.5,17.4,36.8,51.7,89.4,43.4,21.4,22.2,24.6,70.5,2023,74.9,"Todd Golden","Leonard Hamilton","FloridaFlorida St.11-18"
2022-11-14,"nc","Florida","SEC","Florida Atlantic","CUSA","H","L",74,76,2,104.3,94.1,97.8,44.1,15.9,27.9,25,100.4,51.4,11.9,15,10.1,76.5,2023,75.7,"Todd Golden","Dusty May","Florida AtlanticFlorida11-14"
2022-11-11,"nc","Florida","SEC","Kennesaw St.","ASun","H","W",88,78,5,120,102.8,117.2,58.2,14.6,20,60,103.8,47.1,9.3,26.2,25.7,85.5,2023,75.1,"Todd Golden","Amir Abdur-Rahim","Kennesaw St.Florida11-11"
2022-11-07,"nc","Florida","SEC","Stony Brook","CAA","H","W",81,45,3,103.3,73.4,115.1,55.7,14.2,30.3,29.5,64,36.5,25.6,12.8,25,98.1,2023,70.4,"Todd Golden","Geno Ford","Stony BrookFlorida11-7"
