"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Fordham","A10","Saint Louis","A10","H","W",75,65,4,97.8,89.8,102.8,45.8,16.4,27.8,40,89.1,43.9,21.9,27.8,35.1,72.7,2023,72.9,"Keith Urgo","Travis Ford","Saint LouisFordham1-31"
2023-01-28,"conf","Fordham","A10","George Washington","A10","H","W",85,70,3,99.1,93.2,110.8,53.9,13,16.2,31.2,91.2,50.9,23.5,22.9,37.5,66.9,2023,76.7,"Keith Urgo","Chris Caputo","George WashingtonFordham1-28"
2023-01-25,"conf","Fordham","A10","St. Bonaventure","A10","A","W",79,68,2,116,103,114.6,50.9,16,27.8,67.9,98.7,45.7,18.9,25,66,79.7,2023,68.9,"Keith Urgo","Mark Schmidt","FordhamSt. Bonaventure1-25"
2023-01-21,"conf","Fordham","A10","Duquesne","A10","A","W",65,58,0,94.9,84.1,95.7,42.5,20.6,38.1,36.7,85.4,33.1,19.1,38.3,35.5,80.1,2023,67.9,"Keith Urgo","Keith Dambrot","FordhamDuquesne1-21"
2023-01-14,"conf","Fordham","A10","La Salle","A10","A","W",66,64,0,100.1,98.9,100.5,44.2,16.7,38.1,7.2,97.4,52,25.9,34.5,38.8,53.6,2023,65.7,"Keith Urgo","Fran Dunphy","FordhamLa Salle1-14"
2023-01-10,"conf","Fordham","A10","Dayton","A10","H","L",58,82,1,89.8,113.5,83.4,42.1,21.6,33.3,17.5,117.9,71.1,23,5.3,51.1,6.3,2023,69.6,"Keith Urgo","Anthony Grant","DaytonFordham1-10"
2023-01-07,"conf","Fordham","A10","Saint Joseph's","A10","H","W",66,54,2,92,85.3,97.3,41.1,13.3,28.2,25.8,79.6,41.1,16.2,15,26.8,70.3,2023,67.9,"Keith Urgo","Billy Lange","Saint Joseph'sFordham1-7"
2023-01-04,"conf","Fordham","A10","Rhode Island","A10","A","L",79,82,0,109,122,111.5,53.6,19.8,36.4,42.9,115.8,50.8,19.8,40.5,50.8,21.3,2023,70.8,"Keith Urgo","Archie Miller","FordhamRhode Island1-4"
2022-12-28,"conf","Fordham","A10","Davidson","A10","H","L",43,57,1,62.9,86.4,63.7,27.8,10.4,16,22.2,84.4,37.5,23.7,35.9,50,2.5,2023,67.5,"Keith Urgo","Matt McKillop","DavidsonFordham12-28"
2022-12-22,"nc","Fordham","A10","VMI","SC","H","W",80,77,1,86.6,101,96.9,42.8,18.2,26.7,31.9,93.2,54.7,23,14.3,15.6,14.5,2023,73.4,"Keith Urgo","Andrew Wilson","VMIFordham12-22"
2022-12-11,"nc","Fordham","A10","Central Connecticut","NEC","H","W",90,77,4,122.7,119.5,130.3,67.9,24.6,50,39.6,111.5,50.8,15.9,29.4,24.2,57.4,2023,69.1,"Keith Urgo","Patrick Sellers","Central ConnecticutFordham12-11"
2022-12-06,"nc","Fordham","A10","Wagner","NEC","H","W",72,59,0,96.2,102.3,105.1,52,16.1,12,48,86.1,44.7,11.7,14.7,28.1,32.9,2023,68.5,"Keith Urgo","Donald Copeland","WagnerFordham12-6"
2022-12-03,"nc","Fordham","A10","Tulane","Amer","A","W",95,90,4,117.8,101.9,115.2,52.1,13.3,35.7,40.8,109.1,49.2,18.2,24.3,54.8,84.1,2023,82.5,"Keith Urgo","Ron Hunter","FordhamTulane12-3"
2022-11-30,"nc","Fordham","A10","Maine","AE","H","W",72,67,4,99.5,108.7,109.4,52.9,19.8,35.5,42.3,101.8,54.6,24.3,27.3,24.1,26.5,2023,65.8,"Keith Urgo","Chris Markwood","MaineFordham11-30"
2022-11-27,"nc","Fordham","A10","Harvard","Ivy","H","W",68,60,2,99.6,90.6,95.6,41.7,14.1,22.5,31.7,84.4,43.2,25.3,28.2,22,74.9,2023,71.1,"Keith Urgo","Tommy Amaker","HarvardFordham11-27"
2022-11-22,"nc","Fordham","A10","Stonehill","NEC","H","W",71,60,3,100.4,100.5,106.6,55,25.5,36.7,42,90.1,43,16.5,16.7,19.3,49.8,2023,66.6,"Keith Urgo","Chris Kraus","StonehillFordham11-22"
2022-11-21,"nc","Fordham","A10","Holy Cross","Pat","H","W",67,53,2,95.7,83.8,97.1,52.3,26.1,22.2,59.1,76.8,36.2,20.3,21.4,24.1,82,2023,69,"Keith Urgo","Brett Nelson","Holy CrossFordham11-21"
2022-11-19,"nc","Fordham","A10","Illinois Chicago","MVC","H","W",79,65,5,109.2,112.1,119.5,62,18.1,26.7,35.2,98.3,50.9,19.7,26.7,20,42.5,2023,66.1,"Keith Urgo","Luke Yaklich","Illinois ChicagoFordham11-19"
2022-11-15,"nc","Fordham","A10","New Hampshire","AE","H","W",79,61,0,104.6,87.5,106.8,54.6,20.3,25,50,82.5,34.1,9.5,20.8,24.6,88.6,2023,73.9,"Keith Urgo","Bill Herrion","New HampshireFordham11-15"
2022-11-11,"nc","Fordham","A10","Arkansas","SEC","A","L",48,74,1,79.9,93,66.4,42.2,41.5,29,37.8,102.3,47.7,18,44.4,27.7,14.9,2023,72.3,"Keith Urgo","Eric Musselman","FordhamArkansas11-11"
2022-11-07,"nc","Fordham","A10","Dartmouth","Ivy","H","W",88,74,3,119.1,114.7,123.3,63.9,14,25,23,103.7,51.7,16.8,20,28.8,60.7,2023,71.4,"Keith Urgo","David McLaughlin","DartmouthFordham11-7"
