"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-27,"conf","Fort Wayne","Horz","Cleveland St.","Horz","A","L",74,79,1,116.4,125.5,117.4,53.1,17.5,43.2,14.1,125.4,63.6,20.6,43.5,18.2,29.6,2023,63,"Jon Coffman","Daniyal Robinson","Fort WayneCleveland St.1-27"
2023-01-25,"conf","Fort Wayne","Horz","IUPUI","Horz","H","W",81,75,4,102.4,122.6,116.8,47.6,14.4,43.9,45.2,108.1,50.8,11.5,21.9,40.7,11.2,2023,69.3,"Jon Coffman","Byron Rimm","IUPUIFort Wayne1-25"
2023-01-21,"conf","Fort Wayne","Horz","Northern Kentucky","Horz","A","L",54,74,2,96.3,123.1,89.3,53.6,29.8,28.6,40.5,122.3,61.4,14.9,25,7,5.6,2023,60.5,"Jon Coffman","Darrin Horn","Fort WayneNorthern Kentucky1-21"
2023-01-19,"conf","Fort Wayne","Horz","Wright St.","Horz","A","W",88,80,3,113.3,97.1,110,56.3,12.5,16.2,38.1,100,52.3,21.3,21.1,28.1,85.5,2023,80,"Jon Coffman","Scott Nagy","Fort WayneWright St.1-19"
2023-01-12,"conf","Fort Wayne","Horz","IUPUI","Horz","A","W",70,55,2,98.5,97.9,110.9,49.1,12.7,24.3,27.6,87.2,43,19,25.8,32,51.8,2023,63.1,"Jon Coffman","Byron Rimm","Fort WayneIUPUI1-12"
2023-01-07,"conf","Fort Wayne","Horz","Milwaukee","Horz","H","L",70,74,1,95.8,110.8,98.8,46,16.9,30,30.6,104.5,54.3,15.5,16.7,24.1,15.8,2023,70.8,"Jon Coffman","Bart Lundy","MilwaukeeFort Wayne1-7"
2023-01-05,"conf","Fort Wayne","Horz","Green Bay","Horz","H","W",79,69,1,106.8,119.9,120.5,50,13.7,42.9,37.7,105.2,59.6,19.8,18.5,21.2,21,2023,65.6,"Jon Coffman","Will Ryan","Green BayFort Wayne1-5"
2022-12-31,"conf","Fort Wayne","Horz","Youngstown St.","Horz","A","W",76,71,2,105.3,94.4,110.7,64.3,17.5,16.7,17.9,103.4,43.3,14.6,34.1,23.9,77.8,2023,68.7,"Jon Coffman","Jerrod Calhoun","Fort WayneYoungstown St.12-31"
2022-12-29,"conf","Fort Wayne","Horz","Robert Morris","Horz","A","L",70,75,1,105,115.8,103.3,47.4,23.6,38.5,36.8,110.6,54.2,13.3,22.9,27.1,24.3,2023,67.8,"Jon Coffman","Andrew Toole","Fort WayneRobert Morris12-29"
2022-12-20,"nc","Fort Wayne","Horz","Southern Indiana","OVC","H","W",83,59,1,114.9,92.6,125.5,61.4,10.6,21.2,33.3,89.2,42.7,21.2,34.1,14.5,92.3,2023,66.2,"Jon Coffman","Stan Gouard","Southern IndianaFort Wayne12-20"
2022-12-19,"nc","Fort Wayne","Horz","Texas A&M Commerce","Slnd","H","W",85,68,3,106.8,103,117,54.3,15.1,35.9,20,93.6,61,26.1,13,24,60.3,2023,72.7,"Jon Coffman","Jaret von Rosenberg","Texas A&M CommerceFort Wayne12-19"
2022-12-10,"nc","Fort Wayne","Horz","Missouri St.","MVC","A","W",65,61,3,103.1,95,101.3,51.9,20.3,31.2,30.2,95.1,45.2,12.5,27.5,15.9,71.7,2023,64.2,"Jon Coffman","Dana Ford","Fort WayneMissouri St.12-10"
2022-12-07,"nc","Fort Wayne","Horz","Southeast Missouri St.","OVC","A","W",89,68,4,108,90.6,111.7,60.5,17.6,12.1,47.4,85.3,43.5,18.8,15.2,25.8,88.3,2023,79.7,"Jon Coffman","Brad Korn","Fort WayneSoutheast Missouri St.12-7"
2022-12-03,"conf","Fort Wayne","Horz","Oakland","Horz","H","W",79,73,1,95.6,96.5,102.1,47.2,14.2,24.4,21.1,94.3,47,10.3,15,20.9,47.2,2023,68.8,"Jon Coffman","Greg Kampe","OaklandFort Wayne12-3"
2022-12-01,"conf","Fort Wayne","Horz","Detroit","Horz","H","L",66,75,1,75.3,93.7,84.9,42.7,25.7,32.6,32.3,96.4,42.9,16.7,30.4,27.1,7.5,2023,77.8,"Jon Coffman","Mike Davis","DetroitFort Wayne12-1"
2022-11-23,"nc","Fort Wayne","Horz","Southern Miss","SB","N","L",58,70,2,94.7,105.4,90.7,52.1,28.1,25,20.8,109.4,56.5,18.8,28.6,24.1,22.6,2023,64,"Jon Coffman","Jay Ladner","Fort WayneSouthern Miss11-23"
2022-11-22,"nc","Fort Wayne","Horz","Eastern Michigan","MAC","N","W",74,67,3,96.3,99,106.3,47.6,18.7,32.4,27.4,96.2,58.5,25.9,32.1,24.5,42.3,2023,69.6,"Jon Coffman","Stan Heath","Eastern MichiganFort Wayne11-22"
2022-11-18,"nc","Fort Wayne","Horz","Northwestern","B10","A","L",52,60,2,79.9,79,72.4,40,26.5,17.9,20,83.6,49.1,23.7,14.3,12.5,53,2023,71.8,"Jon Coffman","Chris Collins","Fort WayneNorthwestern11-18"
2022-11-12,"nc","Fort Wayne","Horz","SIU Edwardsville","OVC","H","W",81,76,1,103.4,100.7,101.5,53.2,23.8,28.2,31.7,95.2,53.1,20,21.2,20.3,57.5,2023,79.8,"Jon Coffman","Brian Barone","SIU EdwardsvilleFort Wayne11-12"
2022-11-07,"nc","Fort Wayne","Horz","Michigan","B10","A","L",56,75,1,81.2,96.2,76.9,35.9,19.2,30.6,9.9,103,53.9,11,12.1,14.1,12.5,2023,72.8,"Jon Coffman","Juwan Howard","Fort WayneMichigan11-7"
