"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Gardner Webb","BSth","High Point","BSth","H","W",86,58,2,118.3,95.7,129.1,60.2,10.5,34.4,23.4,87.1,58,30,22.2,38.6,92,2023,66.6,"Tim Craft","G.G. Smith","High PointGardner Webb1-28"
2023-01-25,"conf","Gardner Webb","BSth","USC Upstate","BSth","H","W",78,66,3,121.2,115.8,124.3,67.8,17.5,20.8,53.3,105.2,62.5,25.5,17.4,34.1,62.9,2023,62.8,"Tim Craft","Dave Dickerson","USC UpstateGardner Webb1-25"
2023-01-21,"conf","Gardner Webb","BSth","Winthrop","BSth","A","W",63,61,1,93,95.1,99.9,49.1,9.5,20.5,42.6,96.7,43,25.4,32.3,69.8,43.5,2023,63.1,"Tim Craft","Mark Prosser","Gardner WebbWinthrop1-21"
2023-01-18,"conf","Gardner Webb","BSth","Longwood","BSth","A","L",59,64,3,94.6,96.3,90.1,54.2,27.5,24,20.8,97.7,51.8,21.4,27.6,20,45,2023,65.5,"Tim Craft","Griff Aldrich","Gardner WebbLongwood1-18"
2023-01-14,"conf","Gardner Webb","BSth","UNC Asheville","BSth","H","L",67,72,2,91.9,97.4,89.3,39.1,13.3,25,45.3,96,51,21.3,20.6,64,34,2023,66.7,"Tim Craft","Mike Morrell","UNC AshevilleGardner Webb1-14"
2023-01-11,"conf","Gardner Webb","BSth","Presbyterian","BSth","A","W",79,78,1,103.3,115.2,109.8,60.3,19.5,28.6,36.2,108.4,62.2,18.1,7.7,51,22.3,2023,63.9,"Tim Craft","Quinton Ferrell","Gardner WebbPresbyterian1-11"
2023-01-07,"conf","Gardner Webb","BSth","Radford","BSth","H","L",59,63,0,97.1,104.5,96,51.1,19.5,19.2,27.7,102.5,52,22.8,30.8,23.5,30.1,2023,61.4,"Tim Craft","Darris Nichols","RadfordGardner Webb1-7"
2023-01-04,"conf","Gardner Webb","BSth","Campbell","BSth","A","L",58,63,0,87.8,104.7,92.7,48.2,14.4,19.4,19.6,100.7,51.1,17.6,21.9,48.9,11.7,2023,62.6,"Tim Craft","Kevin McGeehan","Gardner WebbCampbell1-4"
2022-12-31,"conf","Gardner Webb","BSth","High Point","BSth","A","W",80,73,4,105,106.7,110.8,52.3,15.2,34.2,29.7,101.1,40.6,12.5,34,34.8,45.2,2023,72.2,"Tim Craft","G.G. Smith","Gardner WebbHigh Point12-31"
2022-12-17,"nc","Gardner Webb","BSth","North Carolina Central","MEAC","H","W",72,70,4,100.2,100.7,100.4,51.9,22.3,39.4,50,97.6,51.8,25.1,26.7,32.7,48.4,2023,71.7,"Tim Craft","LeVelle Moton","North Carolina CentralGardner Webb12-17"
2022-12-10,"nc","Gardner Webb","BSth","Old Dominion","SB","A","L",43,44,2,64.5,66,63.9,29.6,32.7,36.6,27.8,65.4,30.7,20.8,29.4,38.6,43.7,2023,67.3,"Tim Craft","Jeff Jones","Gardner WebbOld Dominion12-10"
2022-12-03,"nc","Gardner Webb","BSth","Chattanooga","SC","H","L",71,82,1,93.5,103.8,97.4,48.3,13.7,21.1,31.7,112.5,61.7,26.1,23.1,66,23,2023,72.9,"Tim Craft","Dan Earl","ChattanoogaGardner Webb12-3"
2022-11-30,"nc","Gardner Webb","BSth","Western Carolina","SC","A","W",71,55,0,113.7,91.1,116.4,51.8,13.1,32.4,32.1,90.2,42,18,19.4,54.5,92.7,2023,61,"Tim Craft","Justin Gray","Gardner WebbWestern Carolina11-30"
2022-11-26,"nc","Gardner Webb","BSth","North Carolina Central","MEAC","A","L",53,58,4,80.1,84.8,77.6,38.9,26.3,33.3,38.9,84.9,41.4,21.9,28.2,20.7,34.1,2023,68.3,"Tim Craft","LeVelle Moton","Gardner WebbNorth Carolina Central11-26"
2022-11-19,"nc","Gardner Webb","BSth","North Carolina A&T","CAA","N","W",66,64,5,87.9,102.3,97.8,56,19.3,14.8,34,94.9,58.8,26.7,16.7,11.8,14.8,2023,67.5,"Tim Craft","Jay Joyner","Gardner WebbNorth Carolina A&T11-19"
2022-11-18,"nc","Gardner Webb","BSth","Wofford","SC","A","L",58,60,1,87.2,86.5,88.8,52,26,32,11.8,91.9,30.7,7.7,29,54.4,52.6,2023,65.3,"Tim Craft","Dwight Perry","Gardner WebbWofford11-18"
2022-11-15,"nc","Gardner Webb","BSth","North Carolina","ACC","A","L",66,72,7,98.3,93.9,93.1,46.8,15.5,20.5,15.9,101.6,45,14.1,23.1,35,62.9,2023,70.9,"Tim Craft","Hubert Davis","Gardner WebbNorth Carolina11-15"
2022-11-10,"nc","Gardner Webb","BSth","Stephen F. Austin","WAC","A","L",71,86,2,110.1,118.9,103.1,56.4,27.6,33.3,57.4,124.9,55.9,18.9,48.5,42.4,29.3,2023,68.8,"Tim Craft","Kyle Keller","Gardner WebbStephen F. Austin11-10"
2022-11-07,"nc","Gardner Webb","BSth","Colorado St.","MWC","A","L",63,65,0,92.1,85.6,90.9,49.1,23.1,22.9,29.6,93.8,58,23.1,3.8,47.7,69.8,2023,69.3,"Tim Craft","Niko Medved","Gardner WebbColorado St.11-7"
