"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","George Mason","A10","Saint Joseph's","A10","H","L",76,79,2,107.5,112.6,107.5,48.5,12.7,29.5,27.3,111.8,55.4,18.4,33.3,48.2,37,2023,70.7,"Kim English","Billy Lange","Saint Joseph'sGeorge Mason1-29"
2023-01-25,"conf","George Mason","A10","VCU","A10","A","L",52,72,1,87.8,106.7,78.4,46.9,28.6,21.9,24.5,108.5,57,25.6,37,38,9.7,2023,66.4,"Kim English","Mike Rhoades","George MasonVCU1-25"
2023-01-21,"conf","George Mason","A10","Rhode Island","A10","A","W",79,72,3,111.1,95.8,106.5,62.7,22.9,20,34.5,97.1,48.1,17.5,17.1,48.1,84.6,2023,74.2,"Kim English","Archie Miller","George MasonRhode Island1-21"
2023-01-16,"conf","George Mason","A10","George Washington","A10","H","L",75,78,2,95.3,105.6,103.4,52.7,23.4,30.3,40,107.5,55.7,19.3,28.6,26.2,23.5,2023,72.5,"Kim English","Chris Caputo","George WashingtonGeorge Mason1-16"
2023-01-14,"conf","George Mason","A10","Davidson","A10","H","W",67,65,1,101.5,104.1,103.6,51.9,18.6,28.1,31.5,100.5,50.9,15.5,16.1,20.4,42.6,2023,64.7,"Kim English","Matt McKillop","DavidsonGeorge Mason1-14"
2023-01-11,"conf","George Mason","A10","Saint Louis","A10","A","L",62,63,1,93.1,86.5,91.1,51,25,26.5,46.9,92.6,49.1,17.6,14.3,27.8,70,2023,68,"Kim English","Travis Ford","George MasonSaint Louis1-11"
2023-01-07,"conf","George Mason","A10","Loyola Chicago","A10","H","W",86,75,2,111.5,111.2,119.9,56.5,11.2,27,40.3,104.6,52.5,15.3,20.6,30.5,50.6,2023,71.7,"Kim English","Drew Valentine","Loyola ChicagoGeorge Mason1-7"
2023-01-04,"conf","George Mason","A10","St. Bonaventure","A10","A","L",69,73,1,109.4,110.9,104.4,49.1,18.2,25,32.7,110.4,61.8,18.2,18.5,27.5,45.9,2023,66.1,"Kim English","Mark Schmidt","George MasonSt. Bonaventure1-4"
2022-12-31,"conf","George Mason","A10","Richmond","A10","H","W",62,58,2,98.7,96.4,98.9,52.2,15.9,16.7,60,92.5,45.5,15.9,25.6,29.1,56.7,2023,62.7,"Kim English","Chris Mooney","RichmondGeorge Mason12-31"
2022-12-23,"nc","George Mason","A10","Coppin St.","MEAC","H","W",91,53,2,109.6,74.3,121.4,60.3,21.3,36.4,28.6,70.7,32.5,14.7,13,45.6,98.9,2023,74.9,"Kim English","Juan Dixon","Coppin St.George Mason12-23"
2022-12-21,"nc","George Mason","A10","Old Dominion","SB","A","L",77,78,2,123,120.2,119.6,65.1,17.1,19.2,22.6,121.2,61.3,14,26.9,35.8,56.6,2023,64.4,"Kim English","Jeff Jones","George MasonOld Dominion12-21"
2022-12-17,"nc","George Mason","A10","Tulane","Amer","N","W",62,56,2,82.9,73.1,83.8,55.6,29.7,19.4,11.1,75.7,35.5,17.6,15,21,81.1,2023,74,"Kim English","Ron Hunter","George MasonTulane12-17"
2022-12-06,"nc","George Mason","A10","Maryland Eastern Shore","MEAC","H","W",67,54,3,100.8,94.9,103.8,50.9,17,34.3,41.5,83.6,40.7,18.6,13.9,22.2,66.9,2023,64.6,"Kim English","Jason Crafton","Maryland Eastern ShoreGeorge Mason12-6"
2022-12-03,"nc","George Mason","A10","Toledo","MAC","H","W",80,73,2,99.7,91.8,109.3,57.3,20.5,32.3,49.1,99.8,43.9,17.8,35.7,30.3,72.1,2023,73.2,"Kim English","Tod Kowalczyk","ToledoGeorge Mason12-3"
2022-11-30,"nc","George Mason","A10","Hofstra","CAA","H","W",81,77,0,105.2,100.5,106.3,49.2,19.7,33.3,36.5,101.1,47,14.4,27.5,33.3,62.8,2023,67.7,"Kim English","Speedy Claxton","HofstraGeorge Mason11-30"
2022-11-26,"nc","George Mason","A10","Queens","ASun","H","W",72,65,1,106.9,108.1,120.8,57.1,13.4,40.6,26.8,109.1,47.3,16.8,35.1,30.4,46.9,2023,59.6,"Kim English","Grant Leonard","QueensGeorge Mason11-26"
2022-11-21,"nc","George Mason","A10","Buffalo","MAC","N","L",74,82,3,105.4,116,104.9,53,22.7,28.6,54,116.3,57.1,12.8,29,53.6,24.9,2023,70.5,"Kim English","Jim Whitesell","BuffaloGeorge Mason11-21"
2022-11-19,"nc","George Mason","A10","Belmont","MVC","N","L",62,66,1,97.7,95.8,95.5,49.1,26.2,43.6,24.1,101.7,50,17,28.1,26.8,55.6,2023,64.9,"Kim English","Casey Alexander","BelmontGeorge Mason11-19"
2022-11-18,"nc","George Mason","A10","Boston College","ACC","N","L",56,71,2,79.3,111.2,81.4,46.2,23.3,22.2,32.7,103.2,51.7,18.9,29.4,31,2,2023,68.8,"Kim English","Earl Grant","Boston CollegeGeorge Mason11-18"
2022-11-11,"nc","George Mason","A10","Longwood","BSth","H","W",83,69,4,120.4,103.2,120.3,63.2,15.9,27.6,47.2,100,50,17.4,24.3,28.8,85.5,2023,69,"Kim English","Griff Aldrich","LongwoodGeorge Mason11-11"
2022-11-07,"nc","George Mason","A10","Auburn","SEC","A","L",52,70,2,82.4,93.5,74,43.8,27,27.8,14.3,99.6,36.6,12.8,44.9,40.8,18.9,2023,70.3,"Kim English","Bruce Pearl","George MasonAuburn11-7"
