"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","George Washington","A10","Fordham","A10","A","L",70,85,3,101.8,107.4,91.2,50.9,23.5,22.9,37.5,110.8,53.9,13,16.2,31.2,35.1,2023,76.7,"Chris Caputo","Keith Urgo","George WashingtonFordham1-28"
2023-01-25,"conf","George Washington","A10","Saint Joseph's","A10","H","W",92,91,2,115.2,111.8,113.8,50.8,16.1,34.2,54.7,112.6,53.2,13.6,33.3,22.1,58.4,2023,71.9,"Chris Caputo","Billy Lange","Saint Joseph'sGeorge Washington1-25"
2023-01-21,"conf","George Washington","A10","Dayton","A10","H","W",76,69,6,117.9,93.7,108.6,53.9,17.1,16.7,51,98.6,41.8,8.6,22.7,20.9,93.3,2023,70,"Chris Caputo","Anthony Grant","DaytonGeorge Washington1-21"
2023-01-16,"conf","George Washington","A10","George Mason","A10","A","W",78,75,3,114.1,100.4,107.5,55.7,19.3,28.6,26.2,103.4,52.7,23.4,30.3,40,81.2,2023,72.5,"Chris Caputo","Kim English","George WashingtonGeorge Mason1-16"
2023-01-14,"conf","George Washington","A10","Saint Louis","A10","H","L",74,81,5,102.6,108.1,103,49.2,13.9,18.4,18.8,112.8,59.1,12.5,13.8,41.8,35.6,2023,71.8,"Chris Caputo","Travis Ford","Saint LouisGeorge Washington1-14"
2023-01-07,"conf","George Washington","A10","Massachusetts","A10","H","W",81,73,1,113.2,100.2,110.1,53.5,19,30.3,43.9,99.2,50.8,21.7,30.8,13.6,80.2,2023,73.6,"Chris Caputo","Frank Martin","MassachusettsGeorge Washington1-7"
2023-01-04,"conf","George Washington","A10","Richmond","A10","A","L",63,73,2,102.8,107,95.4,45.1,12.1,21.6,14.8,110.5,54.2,16.7,18.5,56.2,38.9,2023,66.1,"Chris Caputo","Chris Mooney","George WashingtonRichmond1-4"
2022-12-31,"conf","George Washington","A10","Loyola Chicago","A10","A","W",97,87,3,134,124.8,137.5,74,22.7,40,50,123.3,58.1,14.2,35.3,16.2,69.4,2023,70.6,"Chris Caputo","Drew Valentine","George WashingtonLoyola Chicago12-31"
2022-12-25,"nc","George Washington","A10","Seattle","WAC","N","L",67,85,3,96.4,120.3,91.5,47.2,13.7,11.4,54.7,116.1,50.7,17.8,42.5,19.7,7.3,2023,73.2,"Chris Caputo","Chris Victor","George WashingtonSeattle12-25"
2022-12-23,"nc","George Washington","A10","Pepperdine","WCC","N","L",70,81,4,92.2,106,91.6,45.2,17,16.2,27.4,106,60.7,23.6,31,19.7,16.7,2023,76.4,"Chris Caputo","Lorenzo Romar","George WashingtonPepperdine12-23"
2022-12-22,"nc","George Washington","A10","Washington St.","P12","N","L",64,66,3,101.8,95.5,96.8,51.8,13.6,13.3,21.8,99.8,48.2,21.2,37.1,31.6,67.7,2023,66.1,"Chris Caputo","Kyle Smith","George WashingtonWashington St.12-22"
2022-12-13,"nc","George Washington","A10","Coppin St.","MEAC","H","W",83,71,1,104.8,112.3,119.6,54.1,20.2,41.2,31.1,102.3,57.9,13,6.7,17.5,31.2,2023,69.4,"Chris Caputo","Juan Dixon","Coppin St.George Washington12-13"
2022-12-04,"nc","George Washington","A10","Radford","BSth","A","L",76,86,1,112.9,123.5,109.4,55.1,15.8,22.2,32.2,123.7,60.3,15.8,39.3,36.2,26.2,2023,69.5,"Chris Caputo","Darris Nichols","George WashingtonRadford12-4"
2022-11-30,"nc","George Washington","A10","South Carolina","SEC","H","W",79,55,3,116.8,87.7,121.5,61,18.5,35.5,16.9,84.6,38.5,16.9,34.1,13.8,96.4,2023,65,"Chris Caputo","Lamont Paris","South CarolinaGeorge Washington11-30"
2022-11-26,"nc","George Washington","A10","New Hampshire","AE","H","W",75,54,5,119.8,96.6,124.1,56.7,14.9,34.6,32.7,89.3,37.3,8.3,31.9,11.9,92.3,2023,60.4,"Chris Caputo","Bill Herrion","New HampshireGeorge Washington11-26"
2022-11-22,"nc","George Washington","A10","UC San Diego","BW","H","L",70,75,1,97.6,121.9,104.4,51.8,17.9,31.2,26.3,111.9,59.3,19.4,28.1,38.9,7.2,2023,67.1,"Chris Caputo","Ed Olen","UC San DiegoGeorge Washington11-22"
2022-11-18,"nc","George Washington","A10","Maryland Eastern Shore","MEAC","H","W",69,64,2,95.6,92.6,93.4,49,24.4,28.1,54.9,86.6,41.3,19,31,34.9,59.2,2023,73.9,"Chris Caputo","Jason Crafton","Maryland Eastern ShoreGeorge Washington11-18"
2022-11-14,"nc","George Washington","A10","Hofstra","CAA","A","L",80,85,4,120.5,120,117.7,65.1,20.6,16.7,22.6,125.1,61.9,13.2,30.3,17.5,51.2,2023,68,"Chris Caputo","Speedy Claxton","George WashingtonHofstra11-14"
2022-11-11,"nc","George Washington","A10","Howard","MEAC","H","W",85,75,5,118.5,114.7,122.9,63.3,20.2,37.5,59.2,108.4,50.8,8.7,18.9,25,59.3,2023,69.2,"Chris Caputo","Kenny Blakeney","HowardGeorge Washington11-11"
