"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Georgetown","BE","St. John's","BE","A","L",73,75,2,110.5,100.5,102.7,49.2,21.1,36.8,23.4,105.5,46.4,16.9,44.4,24.3,75,2023,71.1,"Patrick Ewing","Mike Anderson","GeorgetownSt. John's1-29"
2023-01-24,"conf","Georgetown","BE","DePaul","BE","H","W",81,76,2,112.8,108.8,116.1,48.2,10,35.1,73.2,109,55.1,17.2,30.3,32.2,60.2,2023,69.8,"Patrick Ewing","Tony Stubblefield","DePaulGeorgetown1-24"
2023-01-21,"conf","Georgetown","BE","Xavier","BE","A","L",82,95,2,115.8,109.4,109.6,55.6,17.4,26.5,29,127,60.6,12,37.1,23.9,65.8,2023,74.8,"Patrick Ewing","Sean Miller","GeorgetownXavier1-21"
2023-01-16,"conf","Georgetown","BE","Villanova","BE","A","L",73,77,3,112.9,106.1,108.7,58.7,19.4,23.1,30.8,114.6,57.4,10.4,3.6,66,67.3,2023,67.2,"Patrick Ewing","Kyle Neptune","GeorgetownVillanova1-16"
2023-01-10,"conf","Georgetown","BE","Seton Hall","BE","H","L",51,66,1,93.8,98.6,79.7,34.4,18.7,35.6,14.1,103.1,45.2,12.5,30.8,15.9,36,2023,64,"Patrick Ewing","Shaheen Holloway","Seton HallGeorgetown1-10"
2023-01-07,"conf","Georgetown","BE","Marquette","BE","A","L",73,95,3,111.2,102.9,98.8,58.7,27.1,25,40.4,128.5,63.4,12.2,31.2,8.5,70.9,2023,73.9,"Patrick Ewing","Shaka Smart","GeorgetownMarquette1-7"
2023-01-04,"conf","Georgetown","BE","Villanova","BE","H","L",57,73,3,91.1,100,85.6,39,16.5,28.2,27.1,109.7,50.9,15,19.4,33.3,25.5,2023,66.6,"Patrick Ewing","Kyle Neptune","VillanovaGeorgetown1-4"
2023-01-01,"conf","Georgetown","BE","Butler","BE","H","L",51,80,0,86.3,115.7,76.5,32.6,10.5,24.5,18.2,119.9,59.7,7.5,18.8,19.4,3.3,2023,66.7,"Patrick Ewing","Thad Matta","ButlerGeorgetown1-1"
2022-12-29,"conf","Georgetown","BE","DePaul","BE","A","L",76,83,0,107,112.5,106.6,54.2,25.2,42.9,28.3,116.4,54,9.8,19.4,32.3,35.9,2023,71.3,"Patrick Ewing","Tony Stubblefield","GeorgetownDePaul12-29"
2022-12-20,"conf","Georgetown","BE","Connecticut","BE","A","L",73,84,3,118.5,100.7,102.8,48.3,19.7,34.3,39,118.3,58.2,9.9,15.2,24.6,86.7,2023,71,"Patrick Ewing","Dan Hurley","GeorgetownConnecticut12-20"
