"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Georgia St.","SB","Marshall","SB","A","L",65,103,3,86.2,116.2,80.3,35.2,28.4,44.9,51.6,127.2,64.8,17.3,32.3,43.8,3.1,2023,81,"Jonas Hayes","Dan D'Antoni","Georgia St.Marshall1-28"
2023-01-26,"conf","Georgia St.","SB","Appalachian St.","SB","A","L",59,71,2,97,117,93.9,48.2,19.1,27.3,12.3,112.9,52.9,19.1,40.6,46.2,10.4,2023,62.9,"Jonas Hayes","Dustin Kearns","Georgia St.Appalachian St.1-26"
2023-01-21,"conf","Georgia St.","SB","Georgia Southern","SB","A","L",52,58,0,73.7,94.6,78.9,38.6,24.3,33.3,22.8,88,43.1,15.2,22.2,20.7,5.3,2023,65.9,"Jonas Hayes","Brian Burg","Georgia St.Georgia Southern1-21"
2023-01-19,"conf","Georgia St.","SB","Old Dominion","SB","A","L",58,70,0,87.4,108,87.8,41.2,22.7,34.1,31.6,105.9,62,27.2,28.6,34.8,8,2023,66.1,"Jonas Hayes","Jeff Jones","Georgia St.Old Dominion1-19"
2023-01-14,"conf","Georgia St.","SB","Coastal Carolina","SB","H","W",100,66,1,129.9,102.5,146,77.6,17.5,38.9,25.9,96.4,39.5,16.1,37.8,47.4,93.9,2023,68.5,"Jonas Hayes","Cliff Ellis","Coastal CarolinaGeorgia St.1-14"
2023-01-12,"conf","Georgia St.","SB","Troy","SB","H","L",53,65,0,78.3,91.2,74,38.2,27.9,16.7,31.4,90.8,44.4,12.6,20.5,22.6,14.8,2023,71.6,"Jonas Hayes","Scott Cross","TroyGeorgia St.1-12"
2023-01-07,"conf","Georgia St.","SB","Louisiana Lafayette","SB","A","L",70,78,1,103.5,107.8,104.8,51,18,25.8,51,116.8,51.9,16.5,41.9,55.6,38.6,2023,66.8,"Jonas Hayes","Bob Marlin","Georgia St.Louisiana Lafayette1-7"
2023-01-05,"conf","Georgia St.","SB","Louisiana Monroe","SB","A","L",58,66,1,86.5,108.7,89.1,39.6,23.1,29.4,47.9,101.4,46.8,7.7,18.4,17.5,6.7,2023,65.1,"Jonas Hayes","Keith Richard","Georgia St.Louisiana Monroe1-5"
2022-12-31,"conf","Georgia St.","SB","South Alabama","SB","H","W",68,58,0,98.2,94.7,102.8,49.1,12.1,14.3,34,87.6,42.9,16.6,26.8,12.7,60.4,2023,66.2,"Jonas Hayes","Richie Riley","South AlabamaGeorgia St.12-31"
2022-12-29,"conf","Georgia St.","SB","James Madison","SB","H","L",47,63,1,73.3,92.7,69,32.7,30.8,41,38.2,92.5,37.5,19.1,41.2,61.5,6.3,2023,68.1,"Jonas Hayes","Mark Byington","James MadisonGeorgia St.12-29"
2022-12-18,"nc","Georgia St.","SB","Rhode Island","A10","H","W",75,66,2,106,106,111,53.3,17.8,37.5,26.7,97.7,48.1,20.7,30,33.3,50.1,2023,67.6,"Jonas Hayes","Archie Miller","Rhode IslandGeorgia St.12-18"
2022-12-14,"nc","Georgia St.","SB","Auburn","SEC","A","L",64,72,1,107.3,97.8,94.3,42.2,23.6,44.1,34.5,106.1,54.1,16.2,25.9,61.2,74.4,2023,67.9,"Jonas Hayes","Bruce Pearl","Georgia St.Auburn12-14"
2022-12-04,"nc","Georgia St.","SB","Northeastern","CAA","A","L",46,66,1,64.5,99.6,66,28.7,8.6,19.6,14.7,94.7,47.4,25.8,46.4,24.1,0.7,2023,69.7,"Jonas Hayes","Bill Coen","Georgia St.Northeastern12-4"
2022-11-20,"nc","Georgia St.","SB","UNC Asheville","BSth","H","W",74,68,2,104.8,105.7,107.5,47.5,14.5,31.2,27.9,98.8,44.5,14.5,34.2,25,47.6,2023,68.8,"Jonas Hayes","Mike Morrell","UNC AshevilleGeorgia St.11-20"
2022-11-19,"nc","Georgia St.","SB","Texas A&M Commerce","Slnd","H","W",57,53,1,91.9,96.9,97.8,45.8,20.6,28.6,29.2,90.9,49,20.6,26.7,7.7,35.4,2023,58.3,"Jonas Hayes","Jaret von Rosenberg","Texas A&M CommerceGeorgia St.11-19"
2022-11-18,"nc","Georgia St.","SB","Eastern Kentucky","ASun","H","L",61,62,2,94.7,91.1,92.7,52.9,30.4,34.6,15.7,94.3,46,19.8,33.3,16.1,61,2023,65.8,"Jonas Hayes","A.W. Hamilton","Eastern KentuckyGeorgia St.11-18"
2022-11-15,"nc","Georgia St.","SB","Mercer","SC","H","W",85,83,3,103.4,109.8,107.3,46.2,15.1,31.7,43.9,104.7,55.1,21.5,35.5,52.5,33.4,2023,70.4,"Jonas Hayes","Greg Gary","MercerGeorgia St.11-15"
2022-11-12,"nc","Georgia St.","SB","Georgia Tech","ACC","H","L",57,59,1,85.9,90.1,84.6,38.6,22.3,35,36.8,87.5,42.7,19.3,24.1,56.2,36.7,2023,67.4,"Jonas Hayes","Josh Pastner","Georgia TechGeorgia St.11-12"
