"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Grand Canyon","WAC","Tarleton St.","WAC","A","L",62,81,0,105.3,140.6,106,54.8,18.8,21.4,57.1,138.5,68.3,18.8,50,30.8,3.5,2023,58.5,"Bryce Drew","Billy Gillespie","Grand CanyonTarleton St.1-28"
2023-01-26,"conf","Grand Canyon","WAC","Abilene Christian","WAC","A","W",75,73,0,111.6,110.7,113.2,59.6,25.7,33.3,51.1,110.2,52.5,12.1,30.6,27.9,52.4,2023,66.2,"Bryce Drew","Brette Tanner","Grand CanyonAbilene Christian1-26"
2023-01-21,"conf","Grand Canyon","WAC","Utah Valley","WAC","H","L",74,76,0,119.7,113.2,112.6,46.9,19.8,51.2,32.8,115.6,47.7,12.2,42.1,31.2,65.5,2023,65.7,"Bryce Drew","Mark Madsen","Utah ValleyGrand Canyon1-21"
2023-01-18,"conf","Grand Canyon","WAC","Utah Tech","WAC","H","W",89,85,0,131.6,125.9,133.7,68.6,16.5,26.9,45.1,127.7,56.1,13.5,39.4,52.6,62.5,2023,66.6,"Bryce Drew","Jon Judkins","Utah TechGrand Canyon1-18"
2023-01-14,"conf","Grand Canyon","WAC","Cal Baptist","WAC","A","L",74,79,2,117.7,124.7,114.5,50,13.9,34.3,34.5,122.3,56.9,12.4,27.3,60.8,34.1,2023,64.6,"Bryce Drew","Rick Croy","Grand CanyonCal Baptist1-14"
2023-01-12,"conf","Grand Canyon","WAC","UT Arlington","WAC","H","W",80,48,0,105.3,91.9,122.4,72.9,26,24,31.2,73.5,38.5,24.5,28.6,34.6,82.7,2023,65.3,"Bryce Drew","Greg Young","UT ArlingtonGrand Canyon1-12"
2023-01-07,"conf","Grand Canyon","WAC","Stephen F. Austin","WAC","A","L",68,73,3,111.5,106.9,104.7,50,24.6,33.3,50,112.4,50.8,13.9,37.5,30.5,61.8,2023,65,"Bryce Drew","Kyle Keller","Grand CanyonStephen F. Austin1-7"
2023-01-05,"conf","Grand Canyon","WAC","Sam Houston St.","WAC","A","W",72,68,0,101.6,86.4,93.8,51,32.6,30,49,88.5,46.2,23.4,28.9,58.5,86.6,2023,68.3,"Bryce Drew","Jason Hooten","Grand CanyonSam Houston St.1-5"
2022-12-29,"conf","Grand Canyon","WAC","Cal Baptist","WAC","H","W",73,59,0,104.8,93.1,106.8,46.1,11.7,32.6,32.8,86.3,42.5,17.6,22,20,79.7,2023,68.3,"Bryce Drew","Rick Croy","Cal BaptistGrand Canyon12-29"
2022-12-20,"nc","Grand Canyon","WAC","Idaho St.","BSky","H","W",68,66,6,99.8,109,106.9,43.8,15.7,46.3,28.1,103.7,50,17.3,25.8,21.8,26.8,2023,63.6,"Bryce Drew","Ryan Looney","Idaho St.Grand Canyon12-20"
2022-12-17,"nc","Grand Canyon","WAC","Pepperdine","WCC","H","W",83,73,4,97.6,97.7,103.7,44.4,16.2,35.7,57.1,91.2,37.2,16.2,36.4,29.5,49.7,2023,71.1,"Bryce Drew","Lorenzo Romar","PepperdineGrand Canyon12-17"
2022-12-10,"nc","Grand Canyon","WAC","North Texas","CUSA","N","L",58,60,0,105.1,100.1,97.1,45.6,15.1,26.7,55.6,100.5,40.9,15.1,31.4,32.7,63.5,2023,59.7,"Bryce Drew","Grant McCasland","Grand CanyonNorth Texas12-10"
2022-12-07,"nc","Grand Canyon","WAC","Loyola Marymount","WCC","H","L",65,69,3,99.1,101.1,96.8,45.9,20.8,36.6,26.2,102.7,58.5,25.3,28.6,18.9,44.4,2023,67.2,"Bryce Drew","Stan Johnson","Loyola MarymountGrand Canyon12-7"
2022-12-03,"nc","Grand Canyon","WAC","Wyoming","MWC","A","W",66,58,1,100.2,86.2,102.8,54.3,17.1,4,37,90.4,43.3,17.1,27.5,15,84.9,2023,64.2,"Bryce Drew","Jeff Linder","Grand CanyonWyoming12-3"
2022-11-22,"nc","Grand Canyon","WAC","Northern Iowa","MVC","N","W",69,67,2,118.3,103.3,110.6,50,14.4,40,25,107.4,52.6,9.6,18.9,20.7,82.5,2023,62.4,"Bryce Drew","Ben Jacobson","Grand CanyonNorthern Iowa11-22"
2022-11-21,"nc","Grand Canyon","WAC","Wichita St.","Amer","N","L",43,55,1,78.6,94.4,73.4,30.5,20.5,38.1,15.3,93.9,43.3,20.5,42.1,6.7,10.8,2023,58.6,"Bryce Drew","Isaac Brown","Grand CanyonWichita St.11-21"
2022-11-18,"nc","Grand Canyon","WAC","Grambling St.","SWAC","H","W",81,48,3,113.7,70.7,112.4,53,19.4,38.5,24.2,66.6,34.8,25,24.4,32.1,99.6,2023,72.1,"Bryce Drew","Donte Jackson","Grambling St.Grand Canyon11-18"
2022-11-12,"nc","Grand Canyon","WAC","Nevada","MWC","A","L",46,59,1,87.9,86.6,76.5,33.6,15,24.4,21.8,98.2,42.2,10,17.6,39.2,54.2,2023,60.1,"Bryce Drew","Steve Alford","Grand CanyonNevada11-12"
2022-11-07,"nc","Grand Canyon","WAC","Montana St.","BSky","H","W",60,54,1,98.5,94.2,98.2,49.1,16.4,24.2,26.4,88.4,41.3,16.4,27.8,34.6,62.7,2023,61.1,"Bryce Drew","Danny Sprinkle","Montana St.Grand Canyon11-7"
