"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Harvard","Ivy","Penn","Ivy","A","L",68,83,0,95.8,113.6,97.5,42.7,15.8,30.2,33.9,119,54.9,12.9,28.6,32.8,12.3,2023,69.7,"Tommy Amaker","Steve Donahue","HarvardPenn1-28"
2023-01-21,"conf","Harvard","Ivy","Cornell","Ivy","H","W",95,89,3,124.5,113.1,132.5,69.8,19.5,33.3,49.1,124.1,63.8,16.7,25.8,32.8,75,2023,71.7,"Tommy Amaker","Brian Earl","CornellHarvard1-21"
2023-01-16,"conf","Harvard","Ivy","Dartmouth","Ivy","H","L",59,60,2,86.4,106.8,92.5,47.9,20.4,25,41.7,94.1,49,21.9,21.2,34,8,2023,63.8,"Tommy Amaker","David McLaughlin","DartmouthHarvard1-16"
2023-01-07,"conf","Harvard","Ivy","Yale","Ivy","A","L",54,58,3,83.2,83.6,80.7,40.9,22.4,20.5,20,86.6,49,22.4,18.8,27.5,48.7,2023,66.9,"Tommy Amaker","James Jones","HarvardYale1-7"
2023-01-06,"conf","Harvard","Ivy","Brown","Ivy","A","W",70,68,3,98.7,94.9,93.6,50,18.7,23.5,17.7,91,47.7,16.1,15.2,13.8,61.1,2023,66.4,"Tommy Amaker","Mike Martin","HarvardBrown1-6"
2022-12-31,"conf","Harvard","Ivy","Princeton","Ivy","A","L",66,69,0,98.1,94,95.1,49.2,20.2,27.9,26.7,99.4,51.7,15.8,19.4,18.3,61.9,2023,69.4,"Tommy Amaker","Mitch Henderson","HarvardPrinceton12-31"
2022-12-28,"nc","Harvard","Ivy","Maine","AE","A","W",74,73,1,104.3,107.2,108.1,53.3,17.5,32.4,24.6,106.6,50,10.2,25,11.9,42.2,2023,60.9,"Tommy Amaker","Chris Markwood","HarvardMaine12-28"
2022-12-22,"nc","Harvard","Ivy","Kansas","B12","A","L",54,68,1,96,89.3,82.2,46.2,24.3,22.2,26.4,103.5,50,15.2,32.3,13.3,69.8,2023,65.7,"Tommy Amaker","Bill Self","HarvardKansas12-22"
2022-12-20,"nc","Harvard","Ivy","UC Irvine","BW","A","W",62,57,1,93.4,77.3,89.4,40,23.1,35,28.3,82.2,39,15.9,22.5,27.1,89.7,2023,69.3,"Tommy Amaker","Russ Turner","HarvardUC Irvine12-20"
2022-12-18,"nc","Harvard","Ivy","Howard","MEAC","H","L",54,66,1,78.5,95.9,77.5,36.9,21.5,26.8,19.7,94.7,52.8,21.5,20.7,22.2,9.1,2023,69.7,"Tommy Amaker","Kenny Blakeney","HowardHarvard12-18"
2022-12-02,"nc","Harvard","Ivy","Massachusetts","A10","H","L",68,71,3,103.6,105.2,100.1,52.2,25,33.3,62.2,104.5,47.6,16.2,30.8,25.4,45.6,2023,67.9,"Tommy Amaker","Frank Martin","MassachusettsHarvard12-2"
2022-11-30,"nc","Harvard","Ivy","Holy Cross","Pat","A","W",72,38,2,100.1,70.9,108.7,44.4,15.1,47.8,21.1,57.4,36.7,27.2,11.4,14.3,98.1,2023,66.2,"Tommy Amaker","Brett Nelson","HarvardHoly Cross11-30"
2022-11-27,"nc","Harvard","Ivy","Fordham","A10","A","L",60,68,2,89.3,97.2,84.4,43.2,25.3,28.2,22,95.6,41.7,14.1,22.5,31.7,27.3,2023,71.1,"Tommy Amaker","Keith Urgo","HarvardFordham11-27"
2022-11-25,"nc","Harvard","Ivy","Loyola Chicago","A10","H","W",61,55,0,90.8,82.9,92.2,50,19.7,20,36,83.1,48,25.7,20,19.6,73.8,2023,66.2,"Tommy Amaker","Drew Valentine","Loyola ChicagoHarvard11-25"
2022-11-20,"nc","Harvard","Ivy","Siena","MAAC","H","W",69,59,4,99,89,101.2,59.8,20.5,15.4,27.5,86.5,46.4,29.3,33.3,18.2,77.4,2023,68.2,"Tommy Amaker","Carmen Marciariello","SienaHarvard11-20"
2022-11-16,"nc","Harvard","Ivy","Northeastern","CAA","A","W",70,69,4,103,108.5,104.8,55.6,15,24.1,27.8,103.3,48.5,16.5,31.4,4.4,35.4,2023,66.8,"Tommy Amaker","Bill Coen","HarvardNortheastern11-16"
2022-11-13,"nc","Harvard","Ivy","Elon","CAA","N","W",92,77,2,118.6,110.5,124.8,60,21.7,43.8,63.6,104.5,50.9,14.9,20,51.8,69.4,2023,73.7,"Tommy Amaker","Billy Taylor","ElonHarvard11-13"
2022-11-11,"nc","Harvard","Ivy","Louisiana Lafayette","SB","N","L",61,75,0,89.8,103.5,90.9,52,22.4,25,34.7,111.8,50,13.4,38.2,26.6,16.3,2023,67.1,"Tommy Amaker","Bob Marlin","HarvardLouisiana Lafayette11-11"
