"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Hawaii","BW","Cal St. Bakersfield","BW","H","W",72,69,0,121.1,120.5,118.8,55.7,19.8,37.5,65.9,113.8,49,11.5,25,44,51.5,2023,60.6,"Eran Ganot","Rod Barnes","Cal St. BakersfieldHawaii1-28"
2023-01-26,"conf","Hawaii","BW","UC Santa Barbara","BW","H","L",64,65,0,100.5,104.2,100.1,41.4,7.8,26.3,20.3,101.7,52.8,15.6,25,22.2,39.5,2023,63.9,"Eran Ganot","Joe Pasternack","UC Santa BarbaraHawaii1-26"
2023-01-21,"conf","Hawaii","BW","UC Riverside","BW","A","W",67,63,1,99.4,88.3,97.5,48.1,13.1,14.7,43.4,91.7,36.1,14.5,39.6,25,79.5,2023,68.7,"Eran Ganot","Mike Magpayo","HawaiiUC Riverside1-21"
2023-01-19,"conf","Hawaii","BW","UC Irvine","BW","A","L",68,76,0,103.4,108.3,101.1,47.3,19.3,29.7,35.7,113,51.7,14.9,33.3,32.2,37,2023,67.3,"Eran Ganot","Russ Turner","HawaiiUC Irvine1-19"
2023-01-16,"conf","Hawaii","BW","Cal St. Northridge","BW","H","W",58,51,0,94.9,92.2,96.5,42.2,18.3,35.3,39.2,84.8,36.2,13.3,26.3,17.2,58.2,2023,60.1,"Eran Ganot","Trent Johnson","Cal St. NorthridgeHawaii1-16"
2023-01-14,"conf","Hawaii","BW","Long Beach St.","BW","H","W",79,70,0,101.5,96.4,104.3,44.5,18.5,39,42.2,92.5,41.7,14.5,30.4,22.2,64.3,2023,75.7,"Eran Ganot","Dan Monson","Long Beach St.Hawaii1-14"
2023-01-07,"conf","Hawaii","BW","Cal St. Fullerton","BW","A","L",72,79,1,99.9,103.5,93.3,45.8,28.5,36.6,45.8,102.4,42.6,14.3,25.7,75.9,40.1,2023,68.6,"Eran Ganot","Dedrique Taylor","HawaiiCal St. Fullerton1-7"
2023-01-05,"conf","Hawaii","BW","UC San Diego","BW","A","W",62,49,1,102.4,84.9,103.6,58.8,23.4,26.9,5.9,81.9,42.2,21.7,25.8,17.6,89.7,2023,59.8,"Eran Ganot","Ed Olen","HawaiiUC San Diego1-5"
2022-12-29,"conf","Hawaii","BW","UC Davis","BW","H","W",74,66,2,101.1,96.4,105,56.9,21.3,23.3,43.1,93.6,44.8,21.3,27,31,63.4,2023,70.5,"Eran Ganot","Jim Les","UC DavisHawaii12-29"
2022-12-25,"nc","Hawaii","BW","SMU","Amer","H","W",58,57,2,85.8,90.4,87.3,44.2,21.1,20.6,30.8,85.8,47.3,19.6,20,16.4,35.4,2023,66.4,"Eran Ganot","Rob Lanier","SMUHawaii12-25"
2022-12-23,"nc","Hawaii","BW","Washington St.","P12","H","W",62,51,1,99.7,80.7,98.3,52.1,15.9,23.1,40.4,80.9,33.1,19,29.3,25.4,91.9,2023,63.1,"Eran Ganot","Kyle Smith","Washington St.Hawaii12-23"
2022-12-22,"nc","Hawaii","BW","Pepperdine","WCC","H","W",76,70,0,106.2,96,105.3,53.6,26.3,45.2,45.5,97,47.3,19.4,19.4,36.4,76.2,2023,72.2,"Eran Ganot","Lorenzo Romar","PepperdineHawaii12-22"
2022-12-11,"nc","Hawaii","BW","St. Francis PA","NEC","H","W",90,66,4,112.7,107.9,132.1,62.7,7.3,29,25.4,96.8,47.5,16.1,20.6,20,62.1,2023,68.2,"Eran Ganot","Rob Krimmel","St. Francis PAHawaii12-11"
2022-12-07,"nc","Hawaii","BW","UNLV","MWC","N","L",62,77,2,91.9,105.1,87.4,40.3,25.4,39.5,29,108.6,45,18.3,41,46.7,17.6,2023,70.9,"Eran Ganot","Kevin Kruger","HawaiiUNLV12-7"
2022-11-30,"nc","Hawaii","BW","Texas A&M Commerce","Slnd","H","L",51,53,0,67.4,87.8,75.5,37.8,19.2,11.8,38.8,78.4,35,20.7,32.5,25,4.6,2023,67.6,"Eran Ganot","Jaret von Rosenberg","Texas A&M CommerceHawaii11-30"
2022-11-26,"nc","Hawaii","BW","Texas St.","SB","N","W",72,65,1,118.9,110.8,116.7,57.8,14.6,25,68.9,105.3,49.1,13,30.3,20.7,69.2,2023,61.7,"Eran Ganot","Terrence Johnson","Texas St.Hawaii11-26"
2022-11-25,"nc","Hawaii","BW","Sacramento St.","BSky","N","W",74,61,0,131.1,106.4,131.4,66.4,12.4,33.3,5.5,108.3,51,19.5,35.7,21.6,91.7,2023,56.3,"Eran Ganot","David Patrick","HawaiiSacramento St.11-25"
2022-11-14,"nc","Hawaii","BW","Yale","Ivy","H","L",59,62,0,84,81.7,80.9,37.3,23.3,40,19.4,85.1,39.8,11,14.6,25,57.9,2023,64.8,"Eran Ganot","James Jones","YaleHawaii11-14"
2022-11-13,"nc","Hawaii","BW","Eastern Washington","BSky","H","W",71,51,0,105.6,78.7,109.9,52.7,12.4,18.2,26.8,79,40.8,24.8,32.3,38.8,96.7,2023,64.6,"Eran Ganot","David Riley","Eastern WashingtonHawaii11-13"
2022-11-11,"nc","Hawaii","BW","Mississippi Valley St.","SWAC","H","W",72,54,4,105.7,109.8,118.6,46.2,18.1,59,22.7,89,48,23.1,25.9,18.4,39.2,2023,60.7,"Eran Ganot","George Ivory","Mississippi Valley St.Hawaii11-11"
