"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Houston","Amer","Cincinnati","Amer","H","W",75,69,2,122.2,109.6,119.1,61.3,12.7,28,30.2,109.6,53.3,14.3,24.3,11.5,77.8,2023,63,"Kelvin Sampson","Wes Miller","CincinnatiHouston1-28"
2023-01-25,"conf","Houston","Amer","UCF","Amer","A","W",82,71,6,145.1,110,135,60.5,16.5,47.1,35.1,116.8,51.9,13.2,29,35.8,96,2023,60.8,"Kelvin Sampson","Johnny Dawkins","HoustonUCF1-25"
2023-01-22,"conf","Houston","Amer","Temple","Amer","H","L",55,56,0,91.6,90.9,88.4,39.3,11.3,30,37.5,90,40,20.9,15.6,48.9,52.1,2023,62.2,"Kelvin Sampson","Aaron McKie","TempleHouston1-22"
2023-01-17,"conf","Houston","Amer","Tulane","Amer","A","W",80,60,6,120.5,85.2,119.4,66.1,20.9,28.6,16.1,89.6,45.5,20.9,20.6,21.8,98.2,2023,67,"Kelvin Sampson","Ron Hunter","HoustonTulane1-17"
2023-01-11,"conf","Houston","Amer","South Florida","Amer","H","W",83,77,1,120.9,111.5,122,51.7,10.3,33.3,54.2,113.2,59.6,26.5,37,57.4,71.6,2023,68,"Kelvin Sampson","Brian Gregory","South FloridaHouston1-11"
2023-01-08,"conf","Houston","Amer","Cincinnati","Amer","A","W",72,59,8,120.5,83.3,109.5,50,10.6,31.4,5.9,89.7,43,25.8,40.5,24.6,98.6,2023,65.8,"Kelvin Sampson","Wes Miller","HoustonCincinnati1-8"
2023-01-05,"conf","Houston","Amer","SMU","Amer","H","W",87,53,6,133.4,81.4,131.5,52.9,15.1,52.5,27.9,80.1,33.7,16.6,17.5,57.1,99.7,2023,66.2,"Kelvin Sampson","Rob Lanier","SMUHouston1-5"
2022-12-31,"conf","Houston","Amer","UCF","Amer","H","W",71,65,2,119.4,99.3,113.2,42.2,12.8,45.2,32.8,103.6,44.4,20.7,38.9,37,89.2,2023,62.7,"Kelvin Sampson","Johnny Dawkins","UCFHouston12-31"
2022-12-28,"conf","Houston","Amer","Tulsa","Amer","A","W",89,50,3,123.9,84.2,135,64.8,10.6,26.9,19.7,75.8,38.4,22.7,30,23.2,98.8,2023,65.9,"Kelvin Sampson","Eric Konkol","HoustonTulsa12-28"
2022-12-21,"nc","Houston","Amer","McNeese St.","Slnd","H","W",83,44,10,116.2,79.7,134.8,63.9,19.5,50,16.4,71.5,42.9,26,18.2,10.2,98.7,2023,61.6,"Kelvin Sampson","John Aiken","McNeese St.Houston12-21"
2022-12-17,"nc","Houston","Amer","Virginia","ACC","A","W",69,61,2,128.3,93.7,116.7,56.9,13.5,25.9,25.5,103.2,47.9,16.9,20.7,35.4,97.4,2023,59.1,"Kelvin Sampson","Tony Bennett","HoustonVirginia12-17"
2022-12-13,"nc","Houston","Amer","North Carolina A&T","CAA","H","W",74,46,9,98,75,109.5,53.5,25.2,44.1,33.3,68.1,34.6,22.2,17.9,28.8,95.6,2023,67.6,"Kelvin Sampson","Jay Joyner","North Carolina A&THouston12-13"
2022-12-06,"nc","Houston","Amer","North Florida","ASun","H","W",76,42,3,109.4,73,125.5,53.7,13.2,48.6,7.5,69.3,42,33,24.2,22.7,99.1,2023,60.6,"Kelvin Sampson","Matthew Driscoll","North FloridaHouston12-6"
2022-12-03,"nc","Houston","Amer","Saint Mary's","WCC","N","W",53,48,1,112.7,78.3,94.6,39.5,8.9,28.6,15.8,85.7,46.7,30.3,39.3,17.4,98.5,2023,56,"Kelvin Sampson","Randy Bennett","HoustonSaint Mary's12-3"
2022-11-29,"nc","Houston","Amer","Norfolk St.","MEAC","H","W",100,52,7,142.7,80.6,155.1,70.5,14,53.3,15.2,80.7,36,24.8,36.8,22.8,99.9,2023,64.5,"Kelvin Sampson","Robert Jones","Norfolk St.Houston11-29"
2022-11-26,"nc","Houston","Amer","Kent St.","MAC","H","W",49,44,3,73.2,65,70.4,34,33.1,41,46,63.2,28.6,18.7,20,17.5,79.7,2023,69.6,"Kelvin Sampson","Rob Senderoff","Kent St.Houston11-26"
2022-11-20,"nc","Houston","Amer","Oregon","P12","A","W",66,56,2,116.1,85.7,109.8,52.7,16.6,31.2,17.9,93.1,41.8,26.6,45.5,40.8,97,2023,60.1,"Kelvin Sampson","Dana Altman","HoustonOregon11-20"
2022-11-16,"nc","Houston","Amer","Texas Southern","SWAC","H","W",83,48,7,118.5,86.6,126.1,55.8,12.2,34.4,33.3,72.9,39.8,27.4,27.3,30.6,97.4,2023,65.8,"Kelvin Sampson","Johnny Jones","Texas SouthernHouston11-16"
2022-11-14,"nc","Houston","Amer","Oral Roberts","Sum","H","W",83,45,2,121.5,65.9,123.9,56.9,17.9,46.9,43.1,67.2,29,16.4,26,24.2,99.9,2023,67,"Kelvin Sampson","Paul Mills","Oral RobertsHouston11-14"
2022-11-11,"nc","Houston","Amer","Saint Joseph's","A10","N","W",81,55,6,118.5,80.1,117.9,54.6,13.1,32.4,24.6,80,34.3,23.3,34.1,50,98.9,2023,68.7,"Kelvin Sampson","Billy Lange","HoustonSaint Joseph's11-11"
2022-11-07,"nc","Houston","Amer","Northern Colorado","BSky","H","W",83,36,1,111.1,67.8,130.3,52.1,12.6,45.2,13.9,56.5,32.1,36.1,25,41,99.7,2023,63.7,"Kelvin Sampson","Steve Smiley","Northern ColoradoHouston11-7"
