"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","IUPUI","Horz","Cleveland St.","Horz","A","L",72,78,1,102.3,116.2,105.3,56.6,23.4,32.4,39.6,114.1,58.9,11.7,17.6,16.1,18.7,2023,68.4,"Byron Rimm","Daniyal Robinson","IUPUICleveland St.1-29"
2023-01-25,"conf","IUPUI","Horz","Fort Wayne","Horz","A","L",75,81,3,107.9,117.4,108.1,50.8,11.5,21.9,40.7,116.8,47.6,14.4,43.9,45.2,27.4,2023,69.3,"Byron Rimm","Jon Coffman","IUPUIFort Wayne1-25"
2023-01-21,"conf","IUPUI","Horz","Detroit","Horz","H","L",77,89,2,103,122.6,112.4,60.8,29.2,44,39.2,129.9,67.3,14.6,22.2,32.7,11.9,2023,68.5,"Byron Rimm","Mike Davis","DetroitIUPUI1-21"
2023-01-19,"conf","IUPUI","Horz","Oakland","Horz","H","L",77,83,1,97,113.2,103.1,50,17.4,31.4,24.6,111.1,53.3,18.7,35.3,45,14.4,2023,66.4,"Byron Rimm","Greg Kampe","OaklandIUPUI1-19"
2023-01-12,"conf","IUPUI","Horz","Fort Wayne","Horz","H","L",55,70,1,86.1,112.9,87.2,43,19,25.8,32,110.9,49.1,12.7,24.3,27.6,4.2,2023,63.1,"Byron Rimm","Jon Coffman","Fort WayneIUPUI1-12"
2023-01-09,"conf","IUPUI","Horz","Robert Morris","Horz","A","L",70,77,2,100,115.1,99.2,51,24.1,28.1,46.2,109.1,56.4,15.6,10.3,66,16.6,2023,70.6,"Byron Rimm","Andrew Toole","IUPUIRobert Morris1-9"
2023-01-07,"conf","IUPUI","Horz","Youngstown St.","Horz","A","L",74,105,2,99.8,134.8,104.5,54.5,26.8,39.4,37.5,148.2,73.4,12.7,34.6,18.8,3.1,2023,70.8,"Byron Rimm","Jerrod Calhoun","IUPUIYoungstown St.1-7"
2023-01-02,"conf","IUPUI","Horz","Wright St.","Horz","H","L",68,82,3,93.5,118.1,95.6,49.1,21.1,23.3,29.1,115.2,56.2,18.3,32.4,18.8,6.4,2023,71.2,"Byron Rimm","Scott Nagy","Wright St.IUPUI1-2"
2022-12-31,"conf","IUPUI","Horz","Northern Kentucky","Horz","H","L",42,55,1,72,101.3,72.1,40.2,34.3,25.9,24.4,94.4,43.2,8.6,24.4,13.6,1.9,2023,58.3,"Byron Rimm","Darrin Horn","Northern KentuckyIUPUI12-31"
2022-12-20,"nc","IUPUI","Horz","Texas A&M Commerce","Slnd","N","W",62,52,0,91.5,87.2,97.4,56.7,22,11.1,35.6,81.7,40.4,20.4,21.9,23.1,63.5,2023,63.7,"Byron Rimm","Jaret von Rosenberg","IUPUITexas A&M Commerce12-20"
2022-12-19,"nc","IUPUI","Horz","Southern Indiana","OVC","N","L",74,87,0,95.3,125.5,104.2,48.2,16.9,21.9,36.8,122.4,59.5,22.5,44.4,23.8,4,2023,71.1,"Byron Rimm","Stan Gouard","Southern IndianaIUPUI12-19"
2022-12-17,"nc","IUPUI","Horz","Eastern Illinois","OVC","H","L",59,70,3,78.6,107.2,82.1,42.7,30.6,35.3,29.1,97.4,50,20.9,26.5,69.4,2.7,2023,71.9,"Byron Rimm","Marty Simmons","Eastern IllinoisIUPUI12-17"
2022-12-05,"conf","IUPUI","Horz","Green Bay","Horz","A","L",61,68,1,79.8,113.1,89.6,50,25,20.7,23.1,99.9,55.3,25,22.2,42.6,1.8,2023,68.1,"Byron Rimm","Will Ryan","IUPUIGreen Bay12-5"
2022-12-03,"conf","IUPUI","Horz","Milwaukee","Horz","A","L",61,74,3,93.7,115,93,53.1,27.4,20.7,27.1,112.8,55.6,15.2,22.6,31.5,8.6,2023,65.6,"Byron Rimm","Bart Lundy","IUPUIMilwaukee12-3"
2022-11-25,"nc","IUPUI","Horz","The Citadel","SC","N","L",53,74,1,73,123.4,80.7,40.6,21.3,22.2,26.4,112.7,50.8,21.3,44.1,19.7,0.2,2023,65.7,"Byron Rimm","Ed Conroy","IUPUIThe Citadel11-25"
2022-11-24,"nc","IUPUI","Horz","New Orleans","Slnd","A","L",84,87,0,111.9,129.2,117.8,67,22.4,32,26.8,122,61.2,21,38.7,37.9,16,2023,71.3,"Byron Rimm","Mark Slessinger","IUPUINew Orleans11-24"
2022-11-23,"nc","IUPUI","Horz","Denver","Sum","N","L",64,86,3,89.3,126.6,93.9,46.6,14.7,22.2,23.7,126.1,69.3,20.5,21.1,70.5,1.8,2023,68.2,"Byron Rimm","Jeff Wulbrun","DenverIUPUI11-23"
2022-11-14,"nc","IUPUI","Horz","Chicago St.","ind","A","L",58,68,2,89.9,105.4,92.3,40.5,19.1,36.8,25.9,108.2,55.8,20.7,37,30.8,13.9,2023,62.9,"Byron Rimm","Gerald Gillian","IUPUIChicago St.11-14"
2022-11-09,"nc","IUPUI","Horz","Drake","MVC","A","L",48,80,1,71.2,108.3,66.4,30.5,19.4,26.5,26.6,110.7,63,24.9,24,40,0.8,2023,72.3,"Byron Rimm","Darian DeVries","IUPUIDrake11-9"
2022-11-07,"nc","IUPUI","Horz","Iowa St.","B12","A","L",39,88,0,74.8,104.3,54.3,35.7,40.4,21.2,38.1,122.6,56.5,19.5,45.5,37.1,2.2,2023,71.8,"Byron Rimm","T.J. Otzelberger","IUPUIIowa St.11-7"
