"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Idaho","BSky","Idaho St.","BSky","H","L",91,95,1,117.3,132.5,123.2,58.5,14.9,22.2,60.4,128.6,63.3,19,40,28.1,19.9,2023,65.7,"Zac Claus","Ryan Looney","Idaho St.Idaho1-28"
2023-01-26,"conf","Idaho","BSky","Weber St.","BSky","H","L",65,73,2,90.6,118.4,94.2,52,18.8,3.2,38.8,105.8,64.1,23.2,13.6,41.3,4.4,2023,69,"Zac Claus","Eric Duft","Weber St.Idaho1-26"
2023-01-21,"conf","Idaho","BSky","Northern Colorado","BSky","A","L",67,73,1,95.7,106.7,99.9,54.7,17.9,12.9,28.3,108.8,51.7,11.9,29.4,28.3,22.1,2023,67.1,"Zac Claus","Steve Smiley","IdahoNorthern Colorado1-21"
2023-01-19,"conf","Idaho","BSky","Northern Arizona","BSky","A","W",88,83,4,124.1,121.2,128.9,63.2,10.3,20,50.9,121.5,54.3,8.8,28.9,14.5,56.8,2023,68.3,"Zac Claus","Shane Burcar","IdahoNorthern Arizona1-19"
2023-01-16,"conf","Idaho","BSky","Montana St.","BSky","H","W",74,70,1,109.4,93.9,101,51.8,17.7,18.9,45.6,95.6,39.6,16.4,27,64.2,85.3,2023,73.2,"Zac Claus","Danny Sprinkle","Montana St.Idaho1-16"
2023-01-14,"conf","Idaho","BSky","Eastern Washington","BSky","A","L",74,95,1,106,125.1,104,46,19.7,24.2,62,133.5,66.9,14.1,24,30.5,12.9,2023,71.1,"Zac Claus","David Riley","IdahoEastern Washington1-14"
2023-01-07,"conf","Idaho","BSky","Portland St.","BSky","H","L",58,74,2,90.3,112,89.8,45.3,20.1,22.2,28.3,114.6,61,17,17.9,34,7.7,2023,64.6,"Zac Claus","Jase Coburn","Portland St.Idaho1-7"
2023-01-05,"conf","Idaho","BSky","Sacramento St.","BSky","H","L",83,85,7,107.8,115.6,111.1,53.4,8,16.2,9.6,113.8,52.9,10.7,33.3,27.5,31.1,2023,66.4,"Zac Claus","David Patrick","Sacramento St.Idaho1-5"
2022-12-31,"conf","Idaho","BSky","Montana","BSky","A","L",56,67,3,86.9,103.9,89.6,41.3,17.6,20,56.5,107.2,49.1,9.6,20.6,20.7,11.3,2023,62.5,"Zac Claus","Travis DeCuire","IdahoMontana12-31"
2022-12-29,"conf","Idaho","BSky","Montana St.","BSky","A","L",58,72,1,96.4,110.1,89.6,44.5,17,17.6,20,111.3,57.3,12.4,16.7,23.6,17.9,2023,64.7,"Zac Claus","Danny Sprinkle","IdahoMontana St.12-29"
2022-12-21,"nc","Idaho","BSky","Long Beach St.","BW","A","L",75,82,2,103.3,110.3,101.6,52.6,19,21.2,38.6,111,57.4,23,38.7,55.6,32.1,2023,73.8,"Zac Claus","Dan Monson","IdahoLong Beach St.12-21"
2022-12-19,"nc","Idaho","BSky","Cal St. Northridge","BW","A","W",76,73,2,116,128.2,120.1,53,12.6,21.4,50,115.4,56.4,20.5,41.4,25.5,24.1,2023,63.3,"Zac Claus","Trent Johnson","IdahoCal St. Northridge12-19"
2022-12-11,"nc","Idaho","BSky","UC Riverside","BW","H","L",74,76,0,107.9,120.7,113.6,60.5,16.9,12,72.1,116.6,55.9,10.7,26.5,27.1,21.6,2023,65.2,"Zac Claus","Mike Magpayo","UC RiversideIdaho12-11"
2022-12-06,"nc","Idaho","BSky","North Dakota","Sum","H","W",76,66,2,100.6,105.8,111.7,54.7,11.8,15.2,45.3,97,51.7,20.6,27,24.1,35.7,2023,68,"Zac Claus","Paul Sather","North DakotaIdaho12-6"
2022-12-02,"nc","Idaho","BSky","Northern Illinois","MAC","H","W",84,47,2,105.1,80.8,118.9,65.2,22.6,19.2,21.4,66.5,36.1,22.6,20,25.9,95.3,2023,70.7,"Zac Claus","Rashon Burno","Northern IllinoisIdaho12-2"
2022-11-25,"nc","Idaho","BSky","Pacific","WCC","A","W",84,81,2,120.1,113.1,121.8,60.3,14.5,31,32.8,117.5,53.5,13.1,25.8,43.9,66.6,2023,68.9,"Zac Claus","Leonard Perry","IdahoPacific11-25"
2022-11-23,"nc","Idaho","BSky","Cal Poly","BW","A","L",71,82,2,117.3,147.7,116.7,61,16.4,24,26,134.8,63.7,11.5,26.1,39.2,6.6,2023,60.8,"Zac Claus","John Smith","IdahoCal Poly11-23"
2022-11-19,"nc","Idaho","BSky","Utah Tech","WAC","H","L",71,81,3,102.8,122.9,106.8,57.7,18.1,19.2,28.8,121.9,59,21.1,37.9,58,11.4,2023,66.4,"Zac Claus","Jon Judkins","Utah TechIdaho11-19"
2022-11-13,"nc","Idaho","BSky","Nebraska Omaha","Sum","A","L",72,79,0,94.5,122.7,105.2,55.3,24.8,23.1,44.7,115.4,52.7,17.5,31.2,41.1,4.7,2023,68.4,"Zac Claus","Chris Crutchfield","IdahoNebraska Omaha11-13"
2022-11-07,"nc","Idaho","BSky","Denver","Sum","A","L",63,68,2,82.8,96.2,88.2,45.9,19.6,21.6,18,95.2,53.1,19.6,24.1,68.8,15.1,2023,71.4,"Zac Claus","Jeff Wulbrun","IdahoDenver11-7"
