"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Illinois","B10","Nebraska","B10","H","W",72,56,1,99.4,84.1,99.2,45.8,17.9,25.7,36.7,77.1,48,26.2,10,20,87.2,2023,72.6,"Brad Underwood","Fred Hoiberg","NebraskaIllinois1-31"
2023-01-28,"conf","Illinois","B10","Wisconsin","B10","A","W",61,51,2,102.6,80.1,96.2,49,17.3,21.9,35.3,80.4,41.2,14.2,16.7,12.3,94.5,2023,63.4,"Brad Underwood","Greg Gard","IllinoisWisconsin1-28"
2023-01-24,"conf","Illinois","B10","Ohio St.","B10","H","W",69,60,4,109.2,80.8,105.3,44.9,18.3,41.2,30.5,91.6,40,9.2,25,33.3,97,2023,65.5,"Brad Underwood","Chris Holtmann","Ohio St.Illinois1-24"
2023-01-19,"conf","Illinois","B10","Indiana","B10","H","L",65,80,2,97.9,110.6,94.8,45.2,13.1,31.8,37.1,116.7,64.5,24.8,40.9,23.6,19.7,2023,68.6,"Brad Underwood","Mike Woodson","IndianaIllinois1-19"
2023-01-16,"conf","Illinois","B10","Minnesota","B10","A","W",78,60,0,117.6,95.9,116,53.9,16.4,40,21.9,89.2,38.8,7.4,18.2,43.1,91.3,2023,67.3,"Brad Underwood","Ben Johnson","IllinoisMinnesota1-16"
2023-01-13,"conf","Illinois","B10","Michigan St.","B10","H","W",75,66,0,118.2,100.7,114.7,50,7.6,22.9,30,101,43.1,13.8,40.5,20,86.4,2023,65.4,"Brad Underwood","Tom Izzo","Michigan St.Illinois1-13"
2023-01-10,"conf","Illinois","B10","Nebraska","B10","A","W",76,50,4,116,79.7,112.8,52.5,16.3,35.1,29.5,74.2,40.7,25.2,24.3,20.4,98.7,2023,67.4,"Brad Underwood","Fred Hoiberg","IllinoisNebraska1-10"
2023-01-07,"conf","Illinois","B10","Wisconsin","B10","H","W",79,69,2,120.6,102.1,115.3,56.6,14.6,22.6,49.1,100.7,50,13.1,25,18.8,87.1,2023,68.5,"Brad Underwood","Greg Gard","WisconsinIllinois1-7"
2023-01-04,"conf","Illinois","B10","Northwestern","B10","A","L",60,73,4,98.3,95.7,85.9,46.6,21.5,25.7,17.2,104.5,38.7,11.4,23.7,75.5,57.7,2023,69.9,"Brad Underwood","Chris Collins","IllinoisNorthwestern1-4"
2022-12-29,"nc","Illinois","B10","Bethune Cookman","SWAC","H","W",85,52,7,98.5,73.2,110.2,55.9,19.4,27.3,45.8,67.4,31.9,27.2,28.6,34.5,96.8,2023,77.2,"Brad Underwood","Reggie Theus","Bethune CookmanIllinois12-29"
2022-12-22,"nc","Illinois","B10","Missouri","SEC","N","L",71,93,2,101.6,118.4,103.2,46,24.7,50,30.6,135.2,67.8,14.5,33.3,30.5,14.7,2023,68.8,"Brad Underwood","Dennis Gates","IllinoisMissouri12-22"
2022-12-10,"conf","Illinois","B10","Penn St.","B10","H","L",59,74,5,98.6,104.6,92.6,51,18.8,23.3,23.1,116.1,61.1,14.1,10.7,18.5,33.4,2023,63.7,"Brad Underwood","Micah Shrewsberry","Penn St.Illinois12-10"
2022-12-06,"nc","Illinois","B10","Texas","B12","N","W",85,78,1,111,88.7,105.8,53.3,21.2,27,51.7,97,47.1,17.4,28.9,27.5,92.9,2023,71.4,"Brad Underwood","Rodney Terry","IllinoisTexas12-6"
2022-12-02,"conf","Illinois","B10","Maryland","B10","A","L",66,71,3,112.1,105.4,103.7,48.4,18.8,38.2,13.1,111.5,52.8,17.3,33.3,33.3,67,2023,63.7,"Brad Underwood","Kevin Willard","IllinoisMaryland12-2"
2022-11-29,"nc","Illinois","B10","Syracuse","ACC","H","W",73,44,0,99.3,71.5,108.5,44,10.4,36.2,32.8,65.4,32.4,25.3,29.3,31.5,97.8,2023,67.3,"Brad Underwood","Jim Boeheim","SyracuseIllinois11-29"
2022-11-25,"nc","Illinois","B10","Lindenwood","OVC","H","W",92,59,7,110.8,89.1,119.4,66.9,28.6,42.3,17.7,76.6,45.7,28.6,20.6,10.3,92.5,2023,77,"Brad Underwood","Kyle Gerdeman","LindenwoodIllinois11-25"
2022-11-20,"nc","Illinois","B10","Virginia","ACC","N","L",61,70,2,104.6,94.4,92.8,48.3,19.8,28.2,15.3,106.5,46.9,18.3,28.1,66.7,76.5,2023,65.7,"Brad Underwood","Tony Bennett","IllinoisVirginia11-20"
2022-11-18,"nc","Illinois","B10","UCLA","P12","N","W",79,70,2,116.6,86.1,102.8,64.7,27.3,17.9,37.3,91.1,43.8,19.5,32.7,19.4,97.1,2023,76.8,"Brad Underwood","Mick Cronin","IllinoisUCLA11-18"
2022-11-14,"nc","Illinois","B10","Monmouth","CAA","H","W",103,65,3,124.2,97.9,130.9,71,22.9,40.7,32.3,82.6,49,30.5,17.2,46.9,93.9,2023,78.7,"Brad Underwood","King Rice","MonmouthIllinois11-14"
2022-11-11,"nc","Illinois","B10","UMKC","Sum","H","W",86,48,6,105.7,77.4,114.9,53.1,14.7,35.9,40.6,64.1,33.6,32.1,34.1,10.9,97.3,2023,74.8,"Brad Underwood","Marvin Menzies","UMKCIllinois11-11"
2022-11-07,"nc","Illinois","B10","Eastern Illinois","OVC","H","W",87,57,2,102.1,89.8,114.3,53.9,19.7,50,51.6,74.9,37.5,23.7,23.3,33.3,81.4,2023,76.1,"Brad Underwood","Marty Simmons","Eastern IllinoisIllinois11-7"
