"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-29,"conf","Illinois St.","MVC","Southern Illinois","MVC","H","W",72,66,1,127.4,117.1,121.7,58.5,22,34.6,38.3,111.6,57.3,16.9,35.5,18.2,72.5,2023,59.2,"Ryan Pedon","Bryan Mullins","Southern IllinoisIllinois St.1-29"
2023-01-25,"conf","Illinois St.","MVC","Bradley","MVC","A","L",75,79,1,108.2,98.6,98.3,46.6,31.5,48.5,44.8,103.6,53.5,13.1,22.2,56.1,74.4,2023,67.8,"Ryan Pedon","Brian Wardle","Illinois St.Bradley1-25"
2023-01-21,"conf","Illinois St.","MVC","Valparaiso","MVC","H","L",51,71,0,82,115.5,80.1,38.4,23.5,28.2,17.9,111.5,67,18.8,13.6,29.8,1.9,2023,63.7,"Ryan Pedon","Matt Lottich","ValparaisoIllinois St.1-21"
2023-01-18,"conf","Illinois St.","MVC","Northern Iowa","MVC","A","L",63,65,2,97.7,99.9,95.6,53.1,19.7,7.7,31.2,98.7,57.1,22.8,16.1,28.6,43.8,2023,65.9,"Ryan Pedon","Ben Jacobson","Illinois St.Northern Iowa1-18"
2023-01-14,"conf","Illinois St.","MVC","Southern Illinois","MVC","A","L",57,69,2,105,112.7,94.1,56.2,24.8,18.2,45,113.9,54.6,8.3,13.3,25.9,30.7,2023,60.6,"Ryan Pedon","Bryan Mullins","Illinois St.Southern Illinois1-14"
2023-01-11,"conf","Illinois St.","MVC","Missouri St.","MVC","H","W",76,66,1,107.3,100.9,110.5,47,18.9,32.3,64,96,40.3,21.8,43.5,41.9,66.9,2023,61.1,"Ryan Pedon","Dana Ford","Missouri St.Illinois St.1-11"
2023-01-07,"conf","Illinois St.","MVC","Evansville","MVC","A","W",69,61,0,92.1,98.6,98.7,53,27.2,29.6,34,87.2,44.8,20,14.7,60.4,31.3,2023,69.9,"Ryan Pedon","David Ragland","Illinois St.Evansville1-7"
2023-01-04,"conf","Illinois St.","MVC","Indiana St.","MVC","H","L",67,76,0,98.9,120,102.3,50,16.8,25,18.6,116.1,66,24.4,33.3,24,9.7,2023,65.5,"Ryan Pedon","John Schertz","Indiana St.Illinois St.1-4"
2022-12-31,"conf","Illinois St.","MVC","Northern Iowa","MVC","H","L",60,66,0,80.2,92,80.5,45.4,26.8,11.8,24.1,88.6,47.1,14.8,8.8,51.9,17.1,2023,74.5,"Ryan Pedon","Ben Jacobson","Northern IowaIllinois St.12-31"
2022-12-28,"conf","Illinois St.","MVC","Illinois Chicago","MVC","A","L",51,55,2,73.6,92.2,78.3,38.8,23,32.4,19,84.5,42.7,18.4,17.1,43.8,6.9,2023,65.1,"Ryan Pedon","Luke Yaklich","Illinois St.Illinois Chicago12-28"
2022-12-19,"nc","Illinois St.","MVC","Chicago St.","ind","H","W",66,52,1,96.9,89,107.3,55.5,26,44.4,10.9,84.6,41.5,22.8,35.1,28.3,72.8,2023,61.5,"Ryan Pedon","Gerald Gillian","Chicago St.Illinois St.12-19"
