"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Indiana","B10","Maryland","B10","A","L",55,66,2,99.6,98.1,89.1,40.2,19.4,34.3,21.4,106.9,38.7,8.1,26.3,54.7,54.3,2023,61.7,"Mike Woodson","Kevin Willard","IndianaMaryland1-31"
2023-01-28,"conf","Indiana","B10","Ohio St.","B10","H","W",86,70,4,133.9,97.5,132.2,57.8,13.8,41.7,26.6,107.6,48.3,12.3,33.3,32.2,97.5,2023,65.1,"Mike Woodson","Chris Holtmann","Ohio St.Indiana1-28"
2023-01-25,"conf","Indiana","B10","Minnesota","B10","A","W",61,57,3,97,93,94.4,44.6,15.5,26.3,32.1,88.2,38.3,7.7,23.9,21.9,61.8,2023,64.6,"Mike Woodson","Ben Johnson","IndianaMinnesota1-25"
2023-01-22,"conf","Indiana","B10","Michigan St.","B10","H","W",82,69,5,125.5,102.3,121.8,55.5,13.4,29,43.6,102.4,47.2,14.8,25.8,52.8,91.3,2023,67.3,"Mike Woodson","Tom Izzo","Michigan St.Indiana1-22"
2023-01-19,"conf","Indiana","B10","Illinois","B10","A","W",80,65,5,133.3,87.9,116.7,64.5,24.8,40.9,23.6,94.8,45.2,13.1,31.8,37.1,99.2,2023,68.6,"Mike Woodson","Brad Underwood","IndianaIllinois1-19"
2023-01-14,"conf","Indiana","B10","Wisconsin","B10","H","W",63,45,3,102.8,75,100.3,47.6,12.7,27.3,8.1,71.7,36.6,14.3,19.5,19.6,97.4,2023,62.8,"Mike Woodson","Greg Gard","WisconsinIndiana1-14"
2023-01-11,"conf","Indiana","B10","Penn St.","B10","A","L",66,85,0,111.4,113.7,101.2,47.5,16.9,33.3,30.5,130.3,69.5,10.7,10.7,6.8,44.2,2023,65.2,"Mike Woodson","Micah Shrewsberry","IndianaPenn St.1-11"
2023-01-08,"conf","Indiana","B10","Northwestern","B10","H","L",83,84,0,115.4,114.8,112.2,58.9,21.6,32.4,22.6,113.6,51.6,9.5,23.7,44.4,51.5,2023,74,"Mike Woodson","Chris Collins","NorthwesternIndiana1-8"
2023-01-05,"conf","Indiana","B10","Iowa","B10","A","L",89,91,4,121.5,100.5,116.9,61,18.4,27.3,44.1,119.6,53.1,15.8,36.1,38.5,89.8,2023,76.1,"Mike Woodson","Fran McCaffery","IndianaIowa1-5"
2022-12-23,"nc","Indiana","B10","Kennesaw St.","ASun","H","W",69,55,2,102,89.6,105.8,57.6,16.9,17.2,56.5,84.3,41.8,12.3,10.3,27.3,81.6,2023,65.2,"Mike Woodson","Amir Abdur-Rahim","Kennesaw St.Indiana12-23"
2022-12-20,"nc","Indiana","B10","Elon","CAA","H","W",96,72,6,111.7,100.7,121.7,63.8,16.5,31.2,20.3,91.3,56.6,24.1,3.3,32.1,76.7,2023,78.9,"Mike Woodson","Billy Taylor","ElonIndiana12-20"
2022-12-17,"nc","Indiana","B10","Kansas","B12","A","L",62,84,1,91.8,98.6,81.7,43.4,30.3,26.5,37.7,110.7,56.6,18.4,30.3,10.3,30.5,2023,75.9,"Mike Woodson","Bill Self","IndianaKansas12-17"
2022-12-07,"conf","Indiana","B10","Nebraska","B10","H","W",81,65,4,119.6,92.4,112.9,62.5,20.9,25,13.3,90.6,48.2,18.1,12.5,25,95.1,2023,71.7,"Mike Woodson","Fred Hoiberg","NebraskaIndiana12-7"
2022-12-03,"conf","Indiana","B10","Rutgers","B10","A","L",48,63,0,90.9,89.4,72.4,35.7,21.1,23.1,25,95,41.7,19.6,41.5,31.7,54.7,2023,66.3,"Mike Woodson","Steve Pikiell","IndianaRutgers12-3"
2022-11-30,"nc","Indiana","B10","North Carolina","ACC","H","W",77,65,4,115.2,87.4,110.5,52.4,11.5,25,29,93.3,38.1,14.3,27.9,45.8,96,2023,69.7,"Mike Woodson","Hubert Davis","North CarolinaIndiana11-30"
2022-11-25,"nc","Indiana","B10","Jackson St.","SWAC","H","W",90,51,10,112.4,84.9,126.1,66.1,14,24.1,27.1,71.4,41.5,30.8,24.2,24.5,96.1,2023,71.4,"Mike Woodson","Mo Williams","Jackson St.Indiana11-25"
2022-11-23,"nc","Indiana","B10","Little Rock","OVC","H","W",87,68,8,102.9,97.7,116.4,62.7,17.4,25.9,32.2,91,38.6,16.1,29.2,36.4,64.3,2023,74.7,"Mike Woodson","Darrell Walker","Little RockIndiana11-23"
2022-11-20,"nc","Indiana","B10","Miami OH","MAC","N","W",86,56,7,106.4,83.8,121.3,54.8,15.5,40,38.1,79,39.7,19.7,30.4,7.4,94,2023,70.9,"Mike Woodson","Travis Steele","IndianaMiami OH11-20"
2022-11-18,"nc","Indiana","B10","Xavier","BE","A","W",81,79,3,118.4,96.4,113.4,55.2,15.4,36.4,44.8,110.6,49.2,16.8,34.2,34.4,91.4,2023,71.4,"Mike Woodson","Sean Miller","IndianaXavier11-18"
2022-11-10,"nc","Indiana","B10","Bethune Cookman","SWAC","H","W",101,49,7,118,85.1,141.6,66.7,18.2,46.2,36.7,68.7,42.2,26.6,14.7,25.5,97.7,2023,71.3,"Mike Woodson","Reggie Theus","Bethune CookmanIndiana11-10"
2022-11-07,"nc","Indiana","B10","Morehead St.","OVC","H","W",88,53,9,109.7,83.6,122.8,64.4,14,22.2,35.6,73.9,45.4,29.3,20.6,9.3,95.8,2023,71.7,"Mike Woodson","Preston Spradlin","Morehead St.Indiana11-7"
