"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Jackson St.","SWAC","Southern","SWAC","A","L",62,73,4,89.4,117.1,91.4,38.5,23.6,33.3,68.8,107.6,60.6,17.7,22.2,36.5,4.3,2023,67.8,"Mo Williams","Sean Woods","Jackson St.Southern1-30"
2023-01-28,"conf","Jackson St.","SWAC","Grambling St.","SWAC","A","L",66,78,1,111.6,128,106.1,50.9,16.1,35.3,35.2,125.4,54.3,12.9,36.8,41.4,17.1,2023,62.2,"Mo Williams","Donte Jackson","Jackson St.Grambling St.1-28"
2023-01-23,"conf","Jackson St.","SWAC","Florida A&M","SWAC","H","W",59,58,0,86,107.6,91.4,39.8,15.5,29.4,86.4,89.8,52.2,26.3,20,37,7.1,2023,64.6,"Mo Williams","Robert McCallum","Florida A&MJackson St.1-23"
2023-01-21,"conf","Jackson St.","SWAC","Bethune Cookman","SWAC","H","W",70,66,3,86.3,95.5,94.8,45.8,14.9,14.3,30.5,89.4,40.2,14.9,26.3,22.7,23.8,2023,73.8,"Mo Williams","Reggie Theus","Bethune CookmanJackson St.1-21"
2023-01-16,"conf","Jackson St.","SWAC","Texas Southern","SWAC","A","L",82,84,2,110.8,115.8,107.3,57,22.2,32.3,42.1,109.9,63.9,30.1,40,40.7,37.5,2023,76.4,"Mo Williams","Johnny Jones","Jackson St.Texas Southern1-16"
2023-01-14,"conf","Jackson St.","SWAC","Prairie View A&M","SWAC","A","L",50,59,1,71.8,89.6,68.6,35.7,19.2,17.9,12.7,81,38.6,26.1,43.2,43.9,7.2,2023,72.8,"Mo Williams","Byron Smith","Jackson St.Prairie View A&M1-14"
2023-01-07,"conf","Jackson St.","SWAC","Alabama St.","SWAC","H","W",61,58,2,91.3,105.6,98.3,41,14.5,44.1,29.5,93.4,44.3,17.7,33.3,30.2,15.7,2023,62.1,"Mo Williams","Tony Madlock","Alabama St.Jackson St.1-7"
2023-01-02,"conf","Jackson St.","SWAC","Alcorn St.","SWAC","A","W",67,66,5,89.2,95.4,92.6,44.8,20.7,30.6,48.3,91.2,46.2,30.4,50,46.2,31.7,2023,72.3,"Mo Williams","Landon Bussie","Jackson St.Alcorn St.1-2"
2022-12-22,"nc","Jackson St.","SWAC","Stephen F. Austin","WAC","A","L",69,80,4,102,111,98.3,41.2,18.5,44.9,32.4,113.9,58.3,27.1,34.6,95.2,27.4,2023,70.2,"Mo Williams","Kyle Keller","Jackson St.Stephen F. Austin12-22"
2022-12-20,"nc","Jackson St.","SWAC","Alabama","SEC","A","L",64,84,2,99.6,90.6,80.8,39.4,22.7,26.7,22.7,106,53.2,21.5,33.3,41.3,74.9,2023,79.2,"Mo Williams","Nate Oats","Jackson St.Alabama12-20"
2022-12-17,"nc","Jackson St.","SWAC","Texas Tech","B12","N","L",52,102,0,76.8,120.4,67.1,43.9,38.7,23.1,26.5,131.5,65.4,10.3,29.6,35.4,0.6,2023,77.6,"Mo Williams","Mark Adams","Jackson St.Texas Tech12-17"
2022-12-14,"nc","Jackson St.","SWAC","Mississippi St.","SEC","N","L",59,69,3,107,102.5,91,53,30.8,42.3,22,106.4,55.1,24.7,31,40.8,62.1,2023,64.9,"Mo Williams","Chris Jans","Jackson St.Mississippi St.12-14"
2022-12-11,"nc","Jackson St.","SWAC","Akron","MAC","A","L",72,85,3,106.6,126.8,105.6,53.2,19.1,31.2,11.1,124.7,64.4,14.7,20,40.4,12,2023,68.2,"Mo Williams","John Groce","Jackson St.Akron12-11"
2022-12-06,"nc","Jackson St.","SWAC","TCU","B12","A","L",51,78,1,80.1,91.2,67.3,35.1,38.3,41.5,24.6,102.9,44.8,17.2,34.9,34.3,18.4,2023,75.8,"Mo Williams","Jamie Dixon","Jackson St.TCU12-6"
