"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Jacksonville","ASun","Central Arkansas","ASun","A","W",74,64,5,107,103.6,113.2,57.3,15.3,18.5,21.8,97.9,46.3,12.2,14.3,31.5,59.1,2023,65.4,"Jordan Mincy","Anthony Boone","JacksonvilleCentral Arkansas1-28"
2023-01-26,"conf","Jacksonville","ASun","North Alabama","ASun","A","L",62,80,1,101.9,122.3,102,52,14.8,17.2,32.7,131.6,59.6,8.2,20,36.5,10.9,2023,60.8,"Jordan Mincy","Tony Pujol","JacksonvilleNorth Alabama1-26"
2023-01-21,"conf","Jacksonville","ASun","Queens","ASun","H","W",77,70,2,109.8,112.4,124.4,56.5,9.7,24.1,35.2,113.1,50.8,8.1,20,16.9,43.4,2023,61.9,"Jordan Mincy","Grant Leonard","QueensJacksonville1-21"
2023-01-19,"conf","Jacksonville","ASun","Liberty","ASun","H","L",52,66,2,98.4,104.4,87.6,46,20.2,20.7,18,111.1,49,13.5,31.4,38.5,33.6,2023,59.4,"Jordan Mincy","Ritchie McKay","LibertyJacksonville1-19"
2023-01-14,"conf","Jacksonville","ASun","Jacksonville St.","ASun","A","W",68,62,2,114.5,113.3,119.6,58.7,14.1,16.7,32.6,109,42.4,8.8,35.7,27.1,53,2023,56.9,"Jordan Mincy","Ray Harper","JacksonvilleJacksonville St.1-14"
2023-01-12,"conf","Jacksonville","ASun","Kennesaw St.","ASun","A","L",68,81,3,105,115.6,100.1,50.9,22.1,28.1,36.4,119.2,67,16.2,21.7,55.3,24.8,2023,67.9,"Jordan Mincy","Amir Abdur-Rahim","JacksonvilleKennesaw St.1-12"
2023-01-07,"conf","Jacksonville","ASun","Lipscomb","ASun","H","W",51,44,0,79.3,77.5,83.2,47.1,22.8,18.8,7.8,71.7,33,11.4,15.4,17.9,56.4,2023,61.3,"Jordan Mincy","Lennie Acuff","LipscombJacksonville1-7"
2023-01-05,"conf","Jacksonville","ASun","Stetson","ASun","A","L",61,73,6,91.6,112.8,99.2,53,21.1,25,18,118.7,60.6,13,10.7,23.1,8.4,2023,61.5,"Jordan Mincy","Donnie Jones","JacksonvilleStetson1-5"
2023-01-02,"conf","Jacksonville","ASun","Jacksonville St.","ASun","H","W",62,46,3,107.9,87.3,113.1,63,25.5,32,13,83.9,44.4,21.9,22.6,22.2,91.9,2023,54.8,"Jordan Mincy","Ray Harper","Jacksonville St.Jacksonville1-2"
2022-12-31,"conf","Jacksonville","ASun","Florida Gulf Coast","ASun","A","L",65,72,3,113.3,114.2,108.4,52.7,16.7,27.3,16.4,120.1,54.6,13.3,32.3,29.6,47.6,2023,59.9,"Jordan Mincy","Pat Chambers","JacksonvilleFlorida Gulf Coast12-31"
2022-12-27,"nc","Jacksonville","ASun","Notre Dame","ACC","A","L",43,59,1,70.8,81.1,67.3,38.8,26.6,18.8,12.2,92.4,46,11,15.4,6.5,17.4,2023,63.9,"Jordan Mincy","Mike Brey","JacksonvilleNotre Dame12-27"
2022-12-20,"nc","Jacksonville","ASun","Louisiana Monroe","SB","A","W",66,55,3,100.4,86.3,99.7,50.9,21.2,28.1,17.9,83.1,38.4,16.6,20.5,28.6,85.1,2023,66.2,"Jordan Mincy","Keith Richard","JacksonvilleLouisiana Monroe12-20"
2022-12-10,"nc","Jacksonville","ASun","UNC Wilmington","CAA","A","L",53,81,1,90.7,130.5,85.3,46.1,20.9,23.3,15.7,130.3,62,14.5,32.1,37,1.5,2023,62.2,"Jordan Mincy","Takayo Siddle","JacksonvilleUNC Wilmington12-10"
2022-12-07,"nc","Jacksonville","ASun","VCU","A10","A","W",73,62,3,120.7,94.2,110.4,53.9,19.7,24.1,39.2,93.7,41.3,12.1,20.5,55.8,94.5,2023,66.1,"Jordan Mincy","Mike Rhoades","JacksonvilleVCU12-7"
2022-11-30,"nc","Jacksonville","ASun","UAB","CUSA","A","L",61,80,3,96,105.5,88.2,48.2,24.6,22.9,21.8,115.6,49.3,15.9,45.5,16.7,25.3,2023,69.2,"Jordan Mincy","Andy Kennedy","JacksonvilleUAB11-30"
2022-11-23,"nc","Jacksonville","ASun","Campbell","BSth","A","W",64,43,5,98.5,75.9,105.4,61.9,32.9,42.9,35.7,70.8,37.7,14.8,12.8,17,95.2,2023,60.7,"Jordan Mincy","Kevin McGeehan","JacksonvilleCampbell11-23"
2022-11-07,"nc","Jacksonville","ASun","Duke","ACC","A","L",44,71,2,85.3,105.2,73.6,36.8,18.4,20,9.4,118.7,54.2,20.1,47.1,18.6,8.3,2023,59.8,"Jordan Mincy","Jon Scheyer","JacksonvilleDuke11-7"
