"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","James Madison","SB","Louisiana Monroe","SB","H","W",58,45,2,85,77.8,89.9,46.3,20.1,25,22.2,69.7,42,26.3,15.6,10,73.3,2023,64.5,"Mark Byington","Keith Richard","Louisiana MonroeJames Madison1-28"
2023-01-26,"conf","James Madison","SB","Coastal Carolina","SB","H","W",75,69,0,96.7,93.9,103.1,44.7,13.7,27.5,57.9,94.8,52.4,24.7,27.3,9.7,58.6,2023,72.8,"Mark Byington","Cliff Ellis","Coastal CarolinaJames Madison1-26"
2023-01-21,"conf","James Madison","SB","Southern Miss","SB","A","L",70,83,1,115.1,123.9,109.4,50.9,18.8,36.4,38.9,129.7,66,18.8,40,35.8,30.1,2023,64,"Mark Byington","Jay Ladner","James MadisonSouthern Miss1-21"
2023-01-19,"conf","James Madison","SB","Troy","SB","A","W",89,87,2,110.9,110.7,109,49.2,19.6,36.6,56.2,106.6,58,25.7,33.3,57.1,50.6,2023,72.6,"Mark Byington","Scott Cross","James MadisonTroy1-19"
2023-01-14,"conf","James Madison","SB","Georgia Southern","SB","H","W",83,71,0,114.9,102.4,116.2,67,19.6,11.5,55.3,99.4,48.4,19.6,30.6,29.5,78.8,2023,71.4,"Mark Byington","Brian Burg","Georgia SouthernJames Madison1-14"
2023-01-12,"conf","James Madison","SB","South Alabama","SB","A","L",62,63,4,89.4,95,90.2,41.5,16,30.6,30.5,91.7,50.9,29.1,32.4,10.3,33.2,2023,68.7,"Mark Byington","Richie Riley","James MadisonSouth Alabama1-12"
2023-01-05,"conf","James Madison","SB","Texas St.","SB","H","L",62,63,2,95.5,101.3,94.2,53.3,25.8,28.6,53.3,95.8,46.7,15.2,27,21.7,33.7,2023,65.8,"Mark Byington","Terrence Johnson","Texas St.James Madison1-5"
2022-12-31,"conf","James Madison","SB","Marshall","SB","A","W",72,66,3,103.4,81.8,97.4,57.8,23,16.7,45.1,89.2,44.4,17.6,27.9,33.3,93.7,2023,73.9,"Mark Byington","Dan D'Antoni","James MadisonMarshall12-31"
2022-12-29,"conf","James Madison","SB","Georgia St.","SB","A","W",63,47,3,93.1,76.5,92.5,37.5,19.1,41.2,61.5,69,32.7,30.8,41,38.2,90.6,2023,68.1,"Mark Byington","Jonas Hayes","James MadisonGeorgia St.12-29"
2022-12-21,"nc","James Madison","SB","Coppin St.","MEAC","A","L",100,107,2,93.7,116,102.9,49.4,20.6,37.3,35.8,110.1,64.2,24.7,11.8,65,7.9,2023,77.7,"Mark Byington","Juan Dixon","James MadisonCoppin St.12-21"
2022-12-18,"nc","James Madison","SB","LIU Brooklyn","NEC","H","W",115,79,3,122.6,107.2,134.2,67.1,15.2,43.2,32.9,92.2,55.2,33.8,32.3,34.5,82.4,2023,85.7,"Mark Byington","Rod Strickland","LIU BrooklynJames Madison12-18"
2022-12-06,"nc","James Madison","SB","Virginia","ACC","A","L",50,55,0,87.8,80,80,33.6,19.2,30.2,32.7,88,47.8,14.4,9.7,53.3,74.4,2023,62.5,"Mark Byington","Tony Bennett","James MadisonVirginia12-6"
2022-12-02,"nc","James Madison","SB","Eastern Kentucky","ASun","H","W",97,80,4,127.6,104.4,128,68.6,19.8,29.6,35.6,105.6,50.7,18.5,38.1,26.1,90.9,2023,75.8,"Mark Byington","A.W. Hamilton","Eastern KentuckyJames Madison12-2"
2022-11-27,"nc","James Madison","SB","Valparaiso","MVC","N","L",79,81,1,99.5,110.4,101.2,45.4,15.4,23.7,77.8,103.8,55.3,24.3,34.3,19.7,23.1,2023,69.4,"Mark Byington","Matt Lottich","James MadisonValparaiso11-27"
2022-11-26,"nc","James Madison","SB","South Dakota St.","Sum","N","W",79,60,5,111.6,89.5,111,56.5,22.5,34.3,24.2,84.3,50,29.5,28.1,21.2,92.6,2023,71.2,"Mark Byington","Eric Henderson","James MadisonSouth Dakota St.11-26"
2022-11-20,"nc","James Madison","SB","North Carolina","ACC","A","L",64,80,2,90.2,97.7,85.1,39.9,12,18.8,24.6,106.3,50.8,15.9,30.6,39.3,28.6,2023,75.2,"Mark Byington","Hubert Davis","James MadisonNorth Carolina11-20"
2022-11-15,"nc","James Madison","SB","Howard","MEAC","A","W",95,69,3,122.9,99.5,127.8,70.3,24.2,48.1,14.1,92.8,53.3,26.9,25.8,8.2,91.9,2023,74.3,"Mark Byington","Kenny Blakeney","James MadisonHoward11-15"
2022-11-12,"nc","James Madison","SB","Buffalo","MAC","A","W",97,62,1,107.4,72.7,109.4,58,29.3,42.9,73.2,69.9,35.7,33.8,27,44.6,98.9,2023,88.7,"Mark Byington","Jim Whitesell","James MadisonBuffalo11-12"
2022-11-09,"nc","James Madison","SB","Hampton","CAA","H","W",106,58,5,121.7,86.3,140.4,68.9,15.9,41.9,33.3,76.8,38.5,15.9,22,30.8,98.1,2023,75.9,"Mark Byington","Edward Joyner","HamptonJames Madison11-9"
