"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Kansas St.","B12","Kansas","B12","A","L",78,90,0,108.9,101.1,97.7,39.8,16.3,22.5,61,112.7,48.5,11.3,28.3,52.2,70.1,2023,79.9,"Jerome Tang","Bill Self","Kansas St.Kansas1-31"
2023-01-28,"nc","Kansas St.","B12","Florida","SEC","H","W",64,50,2,101.8,68.2,87.9,41,16.5,26.8,34.4,68.7,34.5,19.2,13.6,27.6,99,2023,72.8,"Jerome Tang","Todd Golden","FloridaKansas St.1-28"
2023-01-24,"conf","Kansas St.","B12","Iowa St.","B12","A","L",76,80,2,132.2,112,114.5,61.5,21.1,24,52.1,120.5,62.2,19.6,39.1,51,87.1,2023,66.4,"Jerome Tang","T.J. Otzelberger","Kansas St.Iowa St.1-24"
2023-01-21,"conf","Kansas St.","B12","Texas Tech","B12","H","W",68,58,1,107.4,89.3,105,51.1,21.6,35.7,57.4,89.6,37.3,18.5,46,16.9,89.3,2023,64.8,"Jerome Tang","Mark Adams","Texas TechKansas St.1-21"
2023-01-17,"conf","Kansas St.","B12","Kansas","B12","H","W",83,82,1,116.5,92.7,104.5,47.5,18.9,29.7,55,103.3,48.3,18.9,30.8,56.7,93.3,2023,70.6,"Jerome Tang","Bill Self","KansasKansas St.1-17"
2023-01-14,"conf","Kansas St.","B12","TCU","B12","A","L",68,82,2,101,99.9,89.9,47.7,26.4,34.2,10.8,108.4,48.6,13.2,35,26.8,53.1,2023,75.7,"Jerome Tang","Jamie Dixon","Kansas St.TCU1-14"
2023-01-10,"conf","Kansas St.","B12","Oklahoma St.","B12","H","W",65,57,1,102.9,82.4,92,43.2,22.6,34.1,32.2,80.7,37.1,22.6,34.9,13.6,92.8,2023,70.7,"Jerome Tang","Mike Boynton","Oklahoma St.Kansas St.1-10"
2023-01-07,"conf","Kansas St.","B12","Baylor","B12","A","W",97,95,2,132.4,103.9,123.5,61.7,15.3,30,32.8,121,50.8,15.3,40.5,58.5,94.2,2023,69.8,"Jerome Tang","Scott Drew","Kansas St.Baylor1-7"
2023-01-03,"conf","Kansas St.","B12","Texas","B12","A","W",116,103,1,156.6,108.4,141.4,70.8,14.6,24,55,125.6,59.6,11,20.6,38.2,98.6,2023,82,"Jerome Tang","Rodney Terry","Kansas St.Texas1-3"
2022-12-31,"conf","Kansas St.","B12","West Virginia","B12","H","W",82,76,3,103.6,88.3,101.1,44.2,13.6,32.6,49.3,93.7,44.4,24.7,48.8,60.3,86.3,2023,72.1,"Jerome Tang","Bob Huggins","West VirginiaKansas St.12-31"
2022-12-21,"nc","Kansas St.","B12","Radford","BSth","H","W",73,65,5,112.6,100.3,110.9,53.4,18.2,41.9,25.4,98.7,46.6,12.2,24.3,30.5,79.2,2023,65.8,"Jerome Tang","Darris Nichols","RadfordKansas St.12-21"
2022-12-17,"nc","Kansas St.","B12","Nebraska","B10","H","W",71,56,5,104.6,81.1,99.7,48.3,19.7,31.6,31.7,78.6,35.7,25.3,31.7,39.3,94.9,2023,71.2,"Jerome Tang","Fred Hoiberg","NebraskaKansas St.12-17"
2022-12-11,"nc","Kansas St.","B12","Incarnate Word","Slnd","H","W",98,50,6,124,87.8,139.6,68.2,12.8,33.3,21.2,71.2,45,28.5,15.2,16,98.1,2023,70.2,"Jerome Tang","Carson Cunningham","Incarnate WordKansas St.12-11"
2022-12-03,"nc","Kansas St.","B12","Wichita St.","Amer","H","W",55,50,3,87.7,83.6,86.5,39.6,12.6,18.9,39.6,78.6,42.9,25.2,23.5,26.5,63.3,2023,63.6,"Jerome Tang","Isaac Brown","Wichita St.Kansas St.12-3"
2022-11-30,"nc","Kansas St.","B12","Butler","BE","A","L",64,76,3,99.4,114.2,95.1,49.2,19.3,26.5,4.8,113,62.7,20.8,25,29.4,16.9,2023,67.3,"Jerome Tang","Thad Matta","Kansas St.Butler11-30"
2022-11-23,"nc","Kansas St.","B12","LSU","SEC","N","W",61,59,1,89.9,90,90.6,45.8,25.3,27.6,43.8,87.7,49.1,25.3,29,26.4,49.6,2023,67.3,"Jerome Tang","Matt McMahon","Kansas St.LSU11-23"
2022-11-22,"nc","Kansas St.","B12","Nevada","MWC","N","W",96,87,3,135.9,114.1,130.5,61.7,20.4,44.8,46.7,118.3,60.2,15,20.7,50,88.1,2023,65.4,"Jerome Tang","Steve Alford","Kansas St.Nevada11-22"
2022-11-21,"nc","Kansas St.","B12","Rhode Island","A10","N","W",77,57,5,109.3,80.4,107.5,59.4,29.3,37,34,79.6,34.5,22.3,36.6,56.4,97.2,2023,71.6,"Jerome Tang","Archie Miller","Kansas St.Rhode Island11-21"
2022-11-17,"nc","Kansas St.","B12","UMKC","Sum","H","W",69,53,5,105.5,86.5,106,47.4,21.5,42.9,29.3,81.4,44.9,33.8,40.6,30.6,90.7,2023,65.1,"Jerome Tang","Marvin Menzies","UMKCKansas St.11-17"
2022-11-11,"nc","Kansas St.","B12","California","P12","A","W",63,54,3,92.3,78.9,91.6,41.2,21.8,31.6,31.6,78.5,45.7,32,28.1,40.4,85.8,2023,68.8,"Jerome Tang","Mark Fox","Kansas St.California11-11"
2022-11-07,"nc","Kansas St.","B12","UT Rio Grande Valley","WAC","H","W",93,59,5,110.8,78,116.8,54.5,17.6,35,43.9,74.1,43.1,32.7,23.5,43.1,98.3,2023,79.6,"Jerome Tang","Matt Figger","UT Rio Grande ValleyKansas St.11-7"
