"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Kennesaw St.","ASun","Lipscomb","ASun","H","W",85,72,0,113.9,99,114,56.2,16.1,24.2,53.6,96.5,52.8,21.5,16.7,43.4,83.3,2023,74.6,"Amir Abdur-Rahim","Lennie Acuff","LipscombKennesaw St.1-28"
2023-01-21,"conf","Kennesaw St.","ASun","Florida Gulf Coast","ASun","A","W",65,63,3,113.6,104.5,111.2,52.8,18.8,34.5,20.8,107.8,49.1,12,28.6,21.8,72.3,2023,58.5,"Amir Abdur-Rahim","Pat Chambers","Kennesaw St.Florida Gulf Coast1-21"
2023-01-19,"conf","Kennesaw St.","ASun","Stetson","ASun","A","W",82,81,2,106.4,97.8,109.4,57.8,21.3,29,37.9,108,56.6,24,35.9,32.8,72.5,2023,66.6,"Amir Abdur-Rahim","Donnie Jones","Kennesaw St.Stetson1-19"
2023-01-14,"conf","Kennesaw St.","ASun","North Florida","ASun","H","W",86,72,4,109.1,111,126.4,63.3,14.7,34.4,15.6,105.8,61.1,19.1,7.7,13,45,2023,68,"Amir Abdur-Rahim","Matthew Driscoll","North FloridaKennesaw St.1-14"
2023-01-12,"conf","Kennesaw St.","ASun","Jacksonville","ASun","H","W",81,68,7,117.1,104.3,119.2,67,16.2,21.7,55.3,100.1,50.9,22.1,28.1,36.4,79,2023,67.9,"Amir Abdur-Rahim","Jordan Mincy","JacksonvilleKennesaw St.1-12"
2023-01-07,"conf","Kennesaw St.","ASun","Queens","ASun","A","W",76,67,5,100.4,87.9,107,59.3,18.3,14.3,29.6,94.3,45.8,23.9,34.1,33.9,82.3,2023,71.1,"Amir Abdur-Rahim","Grant Leonard","Kennesaw St.Queens1-7"
2023-01-05,"conf","Kennesaw St.","ASun","North Florida","ASun","A","L",86,89,2,117.4,127,126.5,58.1,13.2,41.7,17.6,130.9,68.9,13.2,21.9,52.8,28.9,2023,68,"Amir Abdur-Rahim","Matthew Driscoll","Kennesaw St.North Florida1-5"
2023-01-02,"conf","Kennesaw St.","ASun","Eastern Kentucky","ASun","H","W",79,75,2,99.6,95.8,100.9,50.9,20.4,29.7,51.7,95.8,45.5,20.4,30.4,36.4,60.9,2023,78.3,"Amir Abdur-Rahim","A.W. Hamilton","Eastern KentuckyKennesaw St.1-2"
2022-12-31,"conf","Kennesaw St.","ASun","Central Arkansas","ASun","H","W",82,66,4,96.4,93.1,105.5,53.2,16.7,25,38.1,84.9,40,27,37.2,26.2,59.9,2023,77.7,"Amir Abdur-Rahim","Anthony Boone","Central ArkansasKennesaw St.12-31"
2022-12-23,"nc","Kennesaw St.","ASun","Indiana","B10","A","L",55,69,0,96.9,91.2,84.3,41.8,12.3,10.3,27.3,105.8,57.6,16.9,17.2,56.5,66.8,2023,65.2,"Amir Abdur-Rahim","Mike Woodson","Kennesaw St.Indiana12-23"
2022-12-20,"nc","Kennesaw St.","ASun","USC Upstate","BSth","H","W",65,56,2,91.1,92,95.1,49.1,26.3,33.3,30.9,81.9,46.2,21.9,22.6,26.4,47,2023,68.4,"Amir Abdur-Rahim","Dave Dickerson","USC UpstateKennesaw St.12-20"
2022-12-12,"nc","Kennesaw St.","ASun","San Diego St.","MWC","A","L",54,88,0,85.8,101.2,72.3,42.9,28.1,16.7,40.8,117.8,57.4,16.1,29,41,13,2023,74.7,"Amir Abdur-Rahim","Brian Dutcher","Kennesaw St.San Diego St.12-12"
2022-12-05,"nc","Kennesaw St.","ASun","Charleston Southern","BSth","A","W",76,65,3,94.3,80,102.5,57.8,20.2,17.6,56.9,87.6,48.2,29.7,33.3,32.7,86.9,2023,74.2,"Amir Abdur-Rahim","Barclay Radebaugh","Kennesaw St.Charleston Southern12-5"
2022-12-02,"nc","Kennesaw St.","ASun","Mercer","SC","A","W",66,63,2,102.1,96.9,101.3,47.4,13.8,22.9,26.3,96.7,54,24.6,25.9,26,64.5,2023,65.2,"Amir Abdur-Rahim","Greg Gary","Kennesaw St.Mercer12-2"
2022-11-26,"nc","Kennesaw St.","ASun","VCU","A10","A","L",61,64,2,105.8,94.2,93,47.3,24.4,40,32.7,97.5,45.5,21.3,25.8,75,79.2,2023,65.6,"Amir Abdur-Rahim","Mike Rhoades","Kennesaw St.VCU11-26"
2022-11-20,"nc","Kennesaw St.","ASun","Campbell","BSth","N","L",61,85,2,98.1,122.9,92.6,57.5,28.9,21.4,60,129.1,66,18.2,20.8,59.6,7,2023,65.8,"Amir Abdur-Rahim","Kevin McGeehan","CampbellKennesaw St.11-20"
2022-11-19,"nc","Kennesaw St.","ASun","Appalachian St.","SB","A","W",71,67,2,114.5,105.5,109,50.9,15.4,33.3,35.1,102.9,57.8,26.1,24.1,19.6,72,2023,65.1,"Amir Abdur-Rahim","Dustin Kearns","Kennesaw St.Appalachian St.11-19"
2022-11-18,"nc","Kennesaw St.","ASun","Southeastern Louisiana","Slnd","N","W",72,68,2,98.9,98.1,105.5,55.4,20.5,33.3,30.4,99.7,51,17.6,15.6,47.1,52.3,2023,68.2,"Amir Abdur-Rahim","David Kiefer","Kennesaw St.Southeastern Louisiana11-18"
2022-11-11,"nc","Kennesaw St.","ASun","Florida","SEC","A","L",78,88,2,119.3,117.9,103.8,47.1,9.3,26.2,25.7,117.2,58.2,14.6,20,60,53.4,2023,75.1,"Amir Abdur-Rahim","Todd Golden","Kennesaw St.Florida11-11"
