"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","LIU Brooklyn","NEC","St. Francis NY","NEC","A","L",59,71,0,75.2,108.2,79.7,43.9,29.7,16.7,38.8,95.9,42.8,12.2,30,30.4,1.5,2023,74,"Rod Strickland","Glenn Braica","LIU BrooklynSt. Francis NY1-28"
2023-01-26,"conf","LIU Brooklyn","NEC","Sacred Heart","NEC","A","W",74,70,5,94.9,106.9,102.5,50,22.2,30.6,33.9,97,50.9,16.6,17.6,47.2,20.3,2023,72.2,"Rod Strickland","Anthony Latina","LIU BrooklynSacred Heart1-26"
2023-01-20,"conf","LIU Brooklyn","NEC","Stonehill","NEC","H","L",66,73,2,93.8,123.2,99.8,57.7,22.7,20.7,23.1,110.4,56.6,15.1,21.4,34,4.2,2023,66.1,"Rod Strickland","Chris Kraus","StonehillLIU Brooklyn1-20"
2023-01-16,"conf","LIU Brooklyn","NEC","St. Francis NY","NEC","H","L",66,73,1,89.4,119.3,95.1,44.8,20.2,33.3,43.1,105.2,54.8,20.2,32.1,44.2,3.5,2023,69.4,"Rod Strickland","Glenn Braica","St. Francis NYLIU Brooklyn1-16"
2023-01-14,"conf","LIU Brooklyn","NEC","St. Francis PA","NEC","A","L",68,87,2,86.8,116.8,92,43.1,14.9,18.8,43.1,117.6,56.2,16.2,35.1,29.2,3.2,2023,73.9,"Rod Strickland","Rob Krimmel","LIU BrooklynSt. Francis PA1-14"
2023-01-07,"conf","LIU Brooklyn","NEC","Fairleigh Dickinson","NEC","A","L",89,101,4,96.6,126.7,111.2,58.3,21.2,32.4,24.2,126.2,61.2,15,25.7,32.8,4.2,2023,80,"Rod Strickland","Tobin Anderson","LIU BrooklynFairleigh Dickinson1-7"
2023-01-05,"conf","LIU Brooklyn","NEC","Central Connecticut","NEC","A","L",59,78,0,89.9,122.9,90.5,44.3,15.3,15.6,28.3,119.6,56.2,9.2,25.7,14.1,2.7,2023,65.2,"Rod Strickland","Patrick Sellers","LIU BrooklynCentral Connecticut1-5"
2022-12-31,"conf","LIU Brooklyn","NEC","Sacred Heart","NEC","H","L",64,82,0,80.6,117.5,85,38.8,17.3,27.3,22.4,108.9,55.8,18.6,25,33.3,1.3,2023,75.3,"Rod Strickland","Anthony Latina","Sacred HeartLIU Brooklyn12-31"
2022-12-29,"conf","LIU Brooklyn","NEC","Wagner","NEC","H","L",61,69,2,88.1,110.2,89.2,54.4,20.5,19.4,62.2,100.9,45.3,23.4,44.2,31.2,7.1,2023,68.4,"Rod Strickland","Donald Copeland","WagnerLIU Brooklyn12-29"
2022-12-18,"nc","LIU Brooklyn","NEC","James Madison","SB","A","L",79,115,1,94.8,136.5,92.2,55.2,33.8,32.3,34.5,134.2,67.1,15.2,43.2,32.9,1.5,2023,85.7,"Rod Strickland","Mark Byington","LIU BrooklynJames Madison12-18"
2022-12-14,"nc","LIU Brooklyn","NEC","Albany","AE","A","L",59,76,1,72.6,97.1,75.2,39.5,23,23.9,33.9,96.9,50.9,24.2,26.7,45.5,3.4,2023,78.4,"Rod Strickland","Dwayne Killings","LIU BrooklynAlbany12-14"
2022-12-10,"nc","LIU Brooklyn","NEC","Connecticut","BE","A","L",61,114,1,91.9,122.5,77.4,44.2,26.7,16.7,46.2,144.7,72.2,15.2,37.9,18.1,3.5,2023,78.8,"Rod Strickland","Dan Hurley","LIU BrooklynConnecticut12-10"
2022-12-05,"nc","LIU Brooklyn","NEC","UMass Lowell","AE","H","L",64,84,3,86.6,116.9,88,42.7,22,25.7,40,115.6,61.2,13.8,20,39.7,3.1,2023,72.7,"Rod Strickland","Pat Duquette","UMass LowellLIU Brooklyn12-5"
2022-12-02,"nc","LIU Brooklyn","NEC","Towson","CAA","H","L",64,74,0,105,112.8,102.2,50.9,17.6,25.8,18.2,118.2,51.8,17.6,47.1,38.6,30.6,2023,62.6,"Rod Strickland","Pat Skerry","TowsonLIU Brooklyn12-2"
2022-11-29,"nc","LIU Brooklyn","NEC","St. John's","BE","A","L",68,95,2,91.8,115.2,85.9,52.6,21.5,12.5,35.1,120.1,64.1,17.7,34.5,14.1,6.8,2023,79.1,"Rod Strickland","Mike Anderson","LIU BrooklynSt. John's11-29"
2022-11-23,"nc","LIU Brooklyn","NEC","Northern Illinois","MAC","N","L",61,86,1,81.4,124.4,83.9,37,23.4,23.1,64,118.4,63.1,17.9,27.3,24.6,0.7,2023,72.7,"Rod Strickland","Rashon Burno","LIU BrooklynNorthern Illinois11-23"
2022-11-22,"nc","LIU Brooklyn","NEC","South Dakota","Sum","N","L",58,68,2,78.1,93.6,80.8,40,20.9,24.4,25,94.8,40.3,22.3,42.9,38.7,11.1,2023,71.8,"Rod Strickland","Eric Peterson","LIU BrooklynSouth Dakota11-22"
2022-11-17,"nc","LIU Brooklyn","NEC","Marquette","BE","A","L",58,95,0,79,97.1,72,37.3,28.6,32.6,31.7,118,58.1,14.9,25,29.4,8.5,2023,80.5,"Rod Strickland","Shaka Smart","LIU BrooklynMarquette11-17"
2022-11-07,"nc","LIU Brooklyn","NEC","Utah","P12","A","L",48,89,0,79.7,105.7,64,34.7,22.7,14.3,18.6,118.6,46.5,9.3,37.8,37.5,3.7,2023,75,"Rod Strickland","Craig Smith","LIU BrooklynUtah11-7"
