"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"nc","LSU","SEC","Texas Tech","B12","H","L",68,76,0,119.5,120.1,112.4,44.9,16.5,44.7,32.2,125.6,56.5,18.2,46.9,38.9,48.5,2023,60.5,"Matt McMahon","Mark Adams","Texas TechLSU1-28"
2023-01-24,"conf","LSU","SEC","Arkansas","SEC","A","L",40,60,1,73,91.3,64.4,26.9,24.1,32.6,29.6,96.5,50,19.3,25,23.5,7.1,2023,62.2,"Matt McMahon","Eric Musselman","LSUArkansas1-24"
2023-01-21,"conf","LSU","SEC","Tennessee","SEC","H","L",56,77,0,108.4,112.7,88.3,52.3,30,25.9,38.6,121.4,53.8,12.6,38.9,12.3,38.9,2023,63.4,"Matt McMahon","Rick Barnes","TennesseeLSU1-21"
2023-01-18,"conf","LSU","SEC","Auburn","SEC","H","L",49,67,0,86.2,100.5,77.6,32.8,17.4,31.8,29.3,106.1,50.8,15.8,31.4,18.6,14.7,2023,63.2,"Matt McMahon","Bruce Pearl","AuburnLSU1-18"
2023-01-14,"conf","LSU","SEC","Alabama","SEC","A","L",66,106,1,107.3,129.3,90.9,36.1,15.1,30.4,47.5,145.9,59.2,11,45.5,26.3,10.4,2023,72.6,"Matt McMahon","Nate Oats","LSUAlabama1-14"
2023-01-10,"conf","LSU","SEC","Florida","SEC","H","L",56,67,2,100.5,98.7,84.3,36.4,24.1,36.6,27.1,100.9,44.8,15.1,24.2,66.7,55.4,2023,66.4,"Matt McMahon","Todd Golden","FloridaLSU1-10"
2023-01-07,"conf","LSU","SEC","Texas A&M","SEC","A","L",56,69,0,93.2,97.4,87.1,43.9,23.3,23.5,36.7,107.3,51.9,20.2,38.7,35.2,37.8,2023,64.3,"Matt McMahon","Buzz Williams","LSUTexas A&M1-7"
2023-01-03,"conf","LSU","SEC","Kentucky","SEC","A","L",71,74,2,124.1,115.5,119.9,59.4,15.2,19.2,18.9,125,58.3,10.1,37,25.9,69.6,2023,59.2,"Matt McMahon","John Calipari","LSUKentucky1-3"
2022-12-28,"conf","LSU","SEC","Arkansas","SEC","H","W",60,57,0,97.7,82.1,88.6,43.5,14.8,22.5,19.4,84.2,40,14.8,30.2,15.4,88,2023,67.7,"Matt McMahon","Eric Musselman","ArkansasLSU12-28"
2022-12-21,"nc","LSU","SEC","East Tennessee St.","SC","H","W",72,68,2,105.2,100.7,102.6,52.6,22.8,31.2,26.3,96.9,48.4,17.1,27.8,21,62.2,2023,70.2,"Matt McMahon","Desmond Oliver","East Tennessee St.LSU12-21"
2022-12-17,"nc","LSU","SEC","Winthrop","BSth","H","W",89,81,2,116.6,120.1,129.5,63.3,14.6,37.5,18.8,117.9,60.8,17.5,25.8,20,41.7,2023,68.7,"Matt McMahon","Mark Prosser","WinthropLSU12-17"
2022-12-13,"nc","LSU","SEC","North Carolina Central","MEAC","H","W",67,57,4,96.8,87.4,98.3,44.4,16.1,35.7,28.6,83.6,50,20.5,11.8,14.5,76.3,2023,68.2,"Matt McMahon","LeVelle Moton","North Carolina CentralLSU12-13"
2022-12-10,"nc","LSU","SEC","Wake Forest","ACC","N","W",72,70,3,102.8,94.1,104.9,51.6,10.2,23.7,23.4,102,55.5,21.8,27.6,23.6,73.5,2023,68.7,"Matt McMahon","Steve Forbes","LSUWake Forest12-10"
2022-12-02,"nc","LSU","SEC","UT Arlington","WAC","H","W",63,59,1,96.5,97.4,99.1,48,20.4,33.3,41.2,92.8,41.4,14.2,32.6,17.2,47.3,2023,63.6,"Matt McMahon","Greg Young","UT ArlingtonLSU12-2"
2022-11-27,"nc","LSU","SEC","Wofford","SC","H","W",78,75,0,108.7,111.8,117,60.4,16.5,19.2,32.1,112.5,57.8,19.5,30,15.5,42.1,2023,66.7,"Matt McMahon","Dwight Perry","WoffordLSU11-27"
2022-11-23,"nc","LSU","SEC","Kansas St.","B12","N","L",59,61,2,98.4,81.3,87.7,49.1,25.3,29,26.4,90.6,45.8,25.3,27.6,43.8,90.1,2023,67.3,"Matt McMahon","Jerome Tang","Kansas St.LSU11-23"
2022-11-21,"nc","LSU","SEC","Illinois St.","MVC","N","W",77,61,1,103.7,80.9,102.7,51.9,24,30,56.6,81.4,47.1,25.4,13.3,26.9,94.6,2023,74.9,"Matt McMahon","Ryan Pedon","Illinois St.LSU11-21"
2022-11-17,"nc","LSU","SEC","New Orleans","Slnd","H","W",91,62,3,113.1,94.7,124.8,62.1,19.2,37.5,44.8,85,53,31.5,27.3,40,88.5,2023,72.9,"Matt McMahon","Mark Slessinger","New OrleansLSU11-17"
2022-11-12,"nc","LSU","SEC","Arkansas St.","SB","H","W",61,52,1,88.6,88.7,94.9,47.1,20.2,24.2,31.4,80.9,43,24.9,27.8,7,49.8,2023,64.2,"Matt McMahon","Mike Balado","Arkansas St.LSU11-12"
2022-11-09,"nc","LSU","SEC","UMKC","Sum","H","W",74,63,5,99.5,91.7,100.6,49.1,20.4,32.5,45.6,85.6,36.2,21.7,25.6,46.6,71.8,2023,73.6,"Matt McMahon","Marvin Menzies","UMKCLSU11-9"
