"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Lamar","Slnd","Northwestern St.","Slnd","A","L",65,80,0,100.9,120.5,100.6,47.2,23.2,42.4,37,123.8,65.8,18.6,36,17.5,11.5,2023,64.6,"Tic Price","Corey Gipson","LamarNorthwestern St.1-28"
2023-01-26,"conf","Lamar","Slnd","Texas A&M Commerce","Slnd","H","L",57,62,0,96.1,116.3,101.2,48.9,19.5,34.5,38.3,110.1,59.5,23.1,26.1,35.7,10.1,2023,56.3,"Tic Price","Jaret von Rosenberg","Texas A&M CommerceLamar1-26"
2023-01-19,"conf","Lamar","Slnd","Texas A&M Corpus Chris","Slnd","H","W",68,66,1,89.2,97.7,98,52.2,24.5,30.3,73.9,95.1,44.6,20.2,36.4,21.5,26.1,2023,69.4,"Tic Price","Willis Wilson","Texas A&M Corpus ChrisLamar1-19"
2023-01-14,"conf","Lamar","Slnd","Texas A&M Commerce","Slnd","A","L",66,81,1,99.3,129.9,102.2,43,23.2,43.8,60,125.4,59.5,9.3,28.9,39.7,4.4,2023,64.6,"Tic Price","Jaret von Rosenberg","LamarTexas A&M Commerce1-14"
2023-01-12,"conf","Lamar","Slnd","Nicholls St.","Slnd","H","W",69,66,0,101.6,105.5,104.2,43.6,24.2,40,72.3,99.7,36.6,6,35.8,41.8,39.6,2023,66.2,"Tic Price","Austin Claunch","Nicholls St.Lamar1-12"
2023-01-07,"conf","Lamar","Slnd","Southeastern Louisiana","Slnd","A","L",84,89,1,102.8,113.5,109.2,61.3,26,31.2,17.7,115.7,48.5,16.9,41.7,48.5,24.3,2023,68.4,"Tic Price","David Kiefer","LamarSoutheastern Louisiana1-7"
2023-01-05,"conf","Lamar","Slnd","New Orleans","Slnd","A","L",55,81,0,82.7,120.3,81.1,38.3,16.2,29.8,18.8,119.4,54.4,14.7,28.1,40.4,1.3,2023,67.8,"Tic Price","Mark Slessinger","LamarNew Orleans1-5"
2022-12-31,"conf","Lamar","Slnd","McNeese St.","Slnd","H","L",62,81,1,85.5,126.7,94.2,46.6,21.3,18.8,63.6,123.1,61.1,18.2,37.1,14.3,1.1,2023,65.8,"Tic Price","John Aiken","McNeese St.Lamar12-31"
2022-12-20,"nc","Lamar","Slnd","Pacific","WCC","H","L",65,74,2,86.4,110.3,94.2,41.4,18.8,39.5,50,107.2,58.8,26.1,31.2,19.3,5.7,2023,69,"Tic Price","Leonard Perry","PacificLamar12-20"
2022-12-17,"nc","Lamar","Slnd","Louisiana Monroe","SB","A","L",59,83,1,88.2,123.7,85.9,40.2,20.4,38.1,13.6,120.8,63.8,18.9,32.1,25.9,2,2023,68.7,"Tic Price","Keith Richard","LamarLouisiana Monroe12-17"
2022-12-13,"nc","Lamar","Slnd","Southern Miss","SB","H","L",65,91,1,93.4,116.6,87.5,48.4,17.5,20.5,24.6,122.5,56.5,13.5,34.1,31.9,7.3,2023,74.3,"Tic Price","Jay Ladner","Southern MissLamar12-13"
2022-12-10,"nc","Lamar","Slnd","Southern Miss","SB","A","L",59,95,2,84.5,122.9,80.1,43.5,33.9,43.6,12.9,128.9,59.4,13.6,37.8,26.1,1.3,2023,73.7,"Tic Price","Jay Ladner","LamarSouthern Miss12-10"
2022-12-01,"nc","Lamar","Slnd","Texas St.","SB","H","L",55,65,2,93.8,107.9,89.2,42.6,17.8,25.7,22.2,105.4,52.8,16.2,31.2,29.6,16.6,2023,61.7,"Tic Price","Terrence Johnson","Texas St.Lamar12-1"
2022-11-27,"nc","Lamar","Slnd","SMU","Amer","A","L",50,75,0,79.5,110.3,74.8,39.6,22.4,26.3,28.3,112.2,51.6,15,29.4,26.2,2.3,2023,66.9,"Tic Price","Rob Lanier","LamarSMU11-27"
2022-11-20,"nc","Lamar","Slnd","McNeese St.","Slnd","A","L",57,66,1,80.9,101.1,87.1,42.6,22.9,34.2,11.5,100.8,52.8,22.9,32.4,30.2,7.2,2023,65.5,"Tic Price","John Aiken","LamarMcNeese St.11-20"
2022-11-19,"nc","Lamar","Slnd","Western Carolina","SC","N","L",91,98,0,114.7,131.4,118.9,62.7,18.3,28,23.8,128.1,67.2,19.6,35.5,37.7,17.2,2023,68,"Tic Price","Justin Gray","LamarWestern Carolina11-19"
2022-11-18,"nc","Lamar","Slnd","Lindenwood","OVC","N","W",73,71,4,95.2,115.7,102.6,47.7,16.9,32.4,21.9,99.8,46.7,22.5,35.1,26.2,9.6,2023,71.1,"Tic Price","Kyle Gerdeman","LamarLindenwood11-18"
2022-11-11,"nc","Lamar","Slnd","TCU","B12","A","L",66,77,1,105,96.8,91.5,42.2,19.4,34.1,28.1,106.8,49.3,18,43.6,20.3,71.9,2023,72.1,"Tic Price","Jamie Dixon","LamarTCU11-11"
