"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Louisiana Lafayette","SB","Georgia Southern","SB","H","W",94,87,1,127.2,131.6,133.1,48.5,8.5,44.7,61.5,123.2,64.6,12.7,16.7,66.7,40.4,2023,70.6,"Bob Marlin","Brian Burg","Georgia SouthernLouisiana Lafayette1-28"
2023-01-26,"conf","Louisiana Lafayette","SB","Troy","SB","H","W",72,57,1,121.8,87.7,114,54.3,17.4,37.5,19,90.3,42.3,23.8,33.3,32.7,97.8,2023,63.2,"Bob Marlin","Scott Cross","TroyLouisiana Lafayette1-26"
2023-01-21,"conf","Louisiana Lafayette","SB","Texas St.","SB","A","W",60,51,0,100.4,88,98.3,45.7,13.1,31.2,74.5,83.6,39.8,22.9,29.6,50,82,2023,61,"Bob Marlin","Terrence Johnson","Louisiana LafayetteTexas St.1-21"
2023-01-19,"conf","Louisiana Lafayette","SB","Arkansas St.","SB","A","W",80,71,1,118.9,109,119.8,58.9,18,33.3,33.9,106.3,51.8,15,23.7,31.6,73.1,2023,66.8,"Bob Marlin","Mike Balado","Louisiana LafayetteArkansas St.1-19"
2023-01-14,"conf","Louisiana Lafayette","SB","South Alabama","SB","A","W",79,76,0,114.5,110.8,113.3,63,21.5,25.9,31.5,109,63.6,15.8,10.7,8.5,59.5,2023,69.7,"Bob Marlin","Richie Riley","Louisiana LafayetteSouth Alabama1-14"
2023-01-12,"conf","Louisiana Lafayette","SB","Louisiana Monroe","SB","A","W",86,73,2,121.3,98.1,116.2,70.2,27,33.3,44.2,98.6,49.2,13.5,18.4,27.4,91.9,2023,74,"Bob Marlin","Keith Richard","Louisiana LafayetteLouisiana Monroe1-12"
2023-01-07,"conf","Louisiana Lafayette","SB","Georgia St.","SB","H","W",78,70,1,117,116,116.8,51.9,16.5,41.9,55.6,104.8,51,18,25.8,51,52.6,2023,66.8,"Bob Marlin","Jonas Hayes","Georgia St.Louisiana Lafayette1-7"
2023-01-05,"conf","Louisiana Lafayette","SB","Southern Miss","SB","H","W",75,61,2,120.3,92.2,116.5,58.3,18.6,35.5,31.5,94.7,44.6,21.7,28.6,21.4,95.5,2023,64.4,"Bob Marlin","Jay Ladner","Southern MissLouisiana Lafayette1-5"
2022-12-31,"conf","Louisiana Lafayette","SB","Old Dominion","SB","A","L",66,70,1,94.9,103.7,95.5,46.8,17.4,25.6,15.9,101.3,46.7,18.8,35.7,36.7,26.3,2023,69.1,"Bob Marlin","Jeff Jones","Louisiana LafayetteOld Dominion12-31"
2022-12-29,"conf","Louisiana Lafayette","SB","Coastal Carolina","SB","A","L",76,77,1,102.2,108.6,108.5,45.1,12.8,42.9,16.7,109.9,54.7,14.3,21.4,45.3,33,2023,70.1,"Bob Marlin","Cliff Ellis","Louisiana LafayetteCoastal Carolina12-29"
2022-12-21,"nc","Louisiana Lafayette","SB","Texas","B12","A","L",72,100,0,101.4,110.8,91.8,49.1,19.1,21.6,47.4,127.5,67.7,20.4,22.2,27.4,26.4,2023,78.4,"Bob Marlin","Rodney Terry","Louisiana LafayetteTexas12-21"
2022-12-15,"nc","Louisiana Lafayette","SB","McNeese St.","Slnd","A","W",78,70,0,106.3,108,117.1,67.3,22.5,29.2,36.7,105.1,46.2,16.5,36.6,18.2,45.4,2023,66.6,"Bob Marlin","John Aiken","Louisiana LafayetteMcNeese St.12-15"
2022-12-10,"nc","Louisiana Lafayette","SB","Samford","SC","H","W",75,58,0,108.4,89.2,115.9,60.2,21.6,33.3,25.9,89.6,47.3,24.7,30.3,14.5,90.4,2023,64.7,"Bob Marlin","Bucky McMillan","SamfordLouisiana Lafayette12-10"
2022-12-03,"nc","Louisiana Lafayette","SB","New Orleans","Slnd","A","W",78,77,2,100.7,109.9,105.7,45.7,19,41.7,60.3,104.3,58.2,24.4,28.6,34.5,26.7,2023,73.8,"Bob Marlin","Mark Slessinger","Louisiana LafayetteNew Orleans12-3"
2022-11-26,"nc","Louisiana Lafayette","SB","Drake","MVC","A","L",64,76,1,95.4,102,88.2,46.7,22,27.8,20,104.7,48.3,20.7,30.6,33.3,31.7,2023,72.6,"Bob Marlin","Darian DeVries","Louisiana LafayetteDrake11-26"
2022-11-22,"nc","Louisiana Lafayette","SB","SMU","Amer","A","W",76,72,0,99.2,94.9,97.9,46.6,15.5,34,17.6,92.8,46.4,19.3,29.5,24.6,62.4,2023,69,"Bob Marlin","Rob Lanier","Louisiana LafayetteSMU11-22"
2022-11-17,"nc","Louisiana Lafayette","SB","Louisiana Tech","CUSA","H","W",94,88,2,119.7,120.3,124.6,61,17.2,36.7,54.2,116.7,59.5,14.6,20,22.2,48.8,2023,75.4,"Bob Marlin","Talvin Hester","Louisiana TechLouisiana Lafayette11-17"
2022-11-11,"nc","Louisiana Lafayette","SB","Harvard","Ivy","N","W",75,61,0,118.5,95.9,111.8,50,13.4,38.2,26.6,90.9,52,22.4,25,34.7,91.9,2023,67.1,"Bob Marlin","Tommy Amaker","HarvardLouisiana Lafayette11-11"
