"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Louisville","ACC","Notre Dame","ACC","A","L",62,76,1,91.4,116.6,98.4,53.7,19,23.3,13,120.6,53.1,4.8,22.9,15.6,5.8,2023,63,"Kenny Payne","Mike Brey","LouisvilleNotre Dame1-28"
2023-01-25,"conf","Louisville","ACC","Boston College","ACC","A","L",65,75,2,111.1,114.8,101.7,62.2,29.7,24,12.2,117.3,56.9,15.6,29.6,41.2,40.8,2023,63.9,"Kenny Payne","Earl Grant","LouisvilleBoston College1-25"
2023-01-18,"conf","Louisville","ACC","Pittsburgh","ACC","H","L",54,75,2,86.4,103.2,80.3,38.4,25.3,29.7,23.2,111.5,61.4,19.3,23.3,12.3,11.5,2023,67.2,"Kenny Payne","Jeff Capel","PittsburghLouisville1-18"
2023-01-14,"conf","Louisville","ACC","North Carolina","ACC","H","L",59,80,1,90.8,100.2,82.4,38,19.5,25,51.9,111.7,53.5,19.5,32.3,40.4,24.4,2023,71.6,"Kenny Payne","Hubert Davis","North CarolinaLouisville1-14"
2023-01-11,"conf","Louisville","ACC","Clemson","ACC","A","L",70,83,0,112.2,114,102.3,49.1,21.9,29.7,42.6,121.3,60.4,16.1,26.9,43.4,45.5,2023,68.4,"Kenny Payne","Brad Brownell","LouisvilleClemson1-11"
2023-01-07,"conf","Louisville","ACC","Wake Forest","ACC","H","L",72,80,3,102.3,115.8,109,51.7,21.2,39.5,33.9,121.1,64.5,16.6,27.6,25.5,19.3,2023,66.1,"Kenny Payne","Steve Forbes","Wake ForestLouisville1-7"
2023-01-03,"conf","Louisville","ACC","Syracuse","ACC","H","L",69,70,1,94.9,93.4,95.4,51.6,29,39.5,15.9,96.8,47.2,20.7,30.3,46.3,54.7,2023,72.3,"Kenny Payne","Jim Boeheim","SyracuseLouisville1-3"
2022-12-31,"nc","Louisville","ACC","Kentucky","SEC","A","L",63,86,2,104,120.5,97.8,48.9,23.3,30.8,48.9,133.5,63.6,18.6,55.6,45.5,15.4,2023,64.4,"Kenny Payne","John Calipari","LouisvilleKentucky12-31"
2022-12-22,"conf","Louisville","ACC","North Carolina St.","ACC","A","L",64,76,1,102.1,100.1,93.2,55.6,27.7,22.2,53.3,110.6,50,11.6,30.8,33.9,55.6,2023,68.7,"Kenny Payne","Kevin Keatts","LouisvilleNorth Carolina St.12-22"
2022-12-20,"nc","Louisville","ACC","Lipscomb","ASun","H","L",67,75,1,96.7,112.5,97.3,44.6,14.5,19.4,37.5,108.9,55.7,20.3,36.7,16.4,14.9,2023,68.9,"Kenny Payne","Lennie Acuff","LipscombLouisville12-20"
2022-12-17,"nc","Louisville","ACC","Florida A&M","SWAC","H","W",61,55,1,86.3,93.7,89.3,45.6,32.2,43.3,60,80.5,39.1,22,30.4,15.6,27.8,2023,68.3,"Kenny Payne","Robert McCallum","Florida A&MLouisville12-17"
2022-12-14,"nc","Louisville","ACC","Western Kentucky","CUSA","H","W",94,83,1,129.3,117,131.7,65.8,18.2,26.9,35.1,116.3,53.6,18.2,45,15.7,76,2023,71.4,"Kenny Payne","Rick Stansbury","Western KentuckyLouisville12-14"
2022-12-10,"conf","Louisville","ACC","Florida St.","ACC","A","L",53,75,1,78,104.3,76.9,43,23.2,20,15.8,108.8,50.8,13.1,29.4,25.8,3.4,2023,68.9,"Kenny Payne","Leonard Hamilton","LouisvilleFlorida St.12-10"
2022-12-04,"conf","Louisville","ACC","Miami FL","ACC","H","L",53,80,1,72.6,95.4,71.2,32.5,25.5,27.5,31.6,107.5,54.7,21.5,30.3,17.2,4.2,2023,74.4,"Kenny Payne","Jim Larranaga","Miami FLLouisville12-4"
2022-11-29,"nc","Louisville","ACC","Maryland","B10","H","L",54,79,1,82.5,105.6,76.1,37.5,18.3,18.9,30.4,111.3,58,16.9,23.5,44.6,5.5,2023,71,"Kenny Payne","Kevin Willard","MarylandLouisville11-29"
2022-11-23,"nc","Louisville","ACC","Cincinnati","Amer","N","L",62,81,1,101.2,107.1,89.6,46.1,21.7,20,41.2,117.1,62.9,14.5,20.7,8.1,34.1,2023,69.2,"Kenny Payne","Wes Miller","CincinnatiLouisville11-23"
2022-11-22,"nc","Louisville","ACC","Texas Tech","B12","N","L",38,70,1,63.8,92.9,55.4,25.5,26.2,22,42.9,102.1,48,23.3,39.4,62.7,1.3,2023,68.6,"Kenny Payne","Mark Adams","LouisvilleTexas Tech11-22"
2022-11-21,"nc","Louisville","ACC","Arkansas","SEC","N","L",54,80,1,92.5,103.1,76.7,40.9,31.2,24.1,56.8,113.6,64.7,22.7,26.1,37.3,22.3,2023,70.4,"Kenny Payne","Eric Musselman","ArkansasLouisville11-21"
2022-11-12,"nc","Louisville","ACC","Wright St.","Horz","H","L",72,73,1,92.1,96.5,93.5,55.1,24.7,13.8,13.6,94.8,51.5,16.9,18.4,16.9,36.8,2023,77,"Kenny Payne","Scott Nagy","Wright St.Louisville11-12"
2022-11-09,"nc","Louisville","ACC","Bellarmine","ASun","H","L",66,67,2,98.6,117.4,107.2,52.9,21.1,30.3,26.9,108.9,57,17.9,12,51.2,11.8,2023,61.5,"Kenny Payne","Scott Davenport","BellarmineLouisville11-9"
