"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Maine","AE","Albany","AE","A","W",72,68,1,102.1,115.2,113.9,55.5,11.1,17.9,21.8,107.6,59,23.7,26.9,24,20.1,2023,63.2,"Chris Markwood","Dwayne Killings","MaineAlbany1-28"
2023-01-25,"conf","Maine","AE","UMass Lowell","AE","H","W",75,70,1,108.1,102.4,109.2,59.2,18.9,20,44.9,101.9,45.8,24.7,42.1,35.6,65,2023,68.7,"Chris Markwood","Pat Duquette","UMass LowellMaine1-25"
2023-01-19,"conf","Maine","AE","Vermont","AE","A","L",45,66,1,79.9,103.7,74,42.9,23,15.6,8.2,108.6,53.8,16.4,23.3,22.6,4.8,2023,60.8,"Chris Markwood","John Becker","MaineVermont1-19"
2023-01-14,"conf","Maine","AE","UMBC","AE","A","L",77,85,2,107.4,107.7,108.9,57.8,15.6,9.7,19,120.2,61.2,18.4,25,65.3,49,2023,70.7,"Chris Markwood","Jim Ferry","MaineUMBC1-14"
2023-01-11,"conf","Maine","AE","New Hampshire","AE","H","L",58,71,0,88.8,115,89.5,43.6,17,19.4,23.6,109.5,58.3,21.6,25.8,45.8,4.9,2023,64.8,"Chris Markwood","Bill Herrion","New HampshireMaine1-11"
2023-01-08,"conf","Maine","AE","NJIT","AE","H","L",83,91,1,104.7,125.3,108.6,53,13.1,22.5,23.9,119,57.6,11.8,28.2,42.4,11.3,2023,68,"Chris Markwood","Brian Kennedy","NJITMaine1-8"
2023-01-05,"conf","Maine","AE","UMass Lowell","AE","A","L",70,72,1,103.5,107.1,104.1,50,17.8,26.5,29.8,107.1,55,22.3,33.3,48,40.3,2023,67.2,"Chris Markwood","Pat Duquette","MaineUMass Lowell1-5"
2022-12-28,"nc","Maine","AE","Harvard","Ivy","H","L",73,74,1,111.4,115.6,106.6,50,10.2,25,11.9,108.1,53.3,17.5,32.4,24.6,39.4,2023,60.9,"Chris Markwood","Tommy Amaker","HarvardMaine12-28"
2022-12-21,"nc","Maine","AE","Ohio St.","B10","A","L",61,95,1,96.6,118.2,88.9,43.8,19,25.6,9.4,138.5,67.2,10.2,37,10.4,8.9,2023,68.6,"Chris Markwood","Chris Holtmann","MaineOhio St.12-21"
2022-12-19,"nc","Maine","AE","Akron","MAC","A","L",55,87,0,84.8,115.4,76.8,52.2,32.1,10.7,26.1,121.4,64,22.3,34.6,28.1,2.8,2023,71.7,"Chris Markwood","John Groce","MaineAkron12-19"
2022-12-11,"nc","Maine","AE","Merrimack","NEC","A","W",50,47,0,79.2,87.6,77.8,36.1,21.8,28.6,22.2,73.2,47.7,35.8,23.1,18.2,23.8,2023,64.2,"Chris Markwood","Joe Gallo","MaineMerrimack12-11"
2022-12-04,"nc","Maine","AE","Marist","MAAC","N","L",61,62,0,94.4,109.8,98,44.7,19.3,37.1,24.6,99.6,54.9,24.1,28.6,15.7,15,2023,62.2,"Chris Markwood","John Dunne","MaineMarist12-4"
2022-11-30,"nc","Maine","AE","Fordham","A10","A","L",67,72,0,110,108.9,101.8,54.6,24.3,27.3,24.1,109.4,52.9,19.8,35.5,42.3,52.7,2023,65.8,"Chris Markwood","Keith Urgo","MaineFordham11-30"
2022-11-27,"nc","Maine","AE","Brown","Ivy","A","L",63,70,0,97.7,108.5,93.3,54.5,20.7,12.9,8.9,103.7,52.6,16.3,24.3,24.1,23.1,2023,67.5,"Chris Markwood","Mike Martin","MaineBrown11-27"
2022-11-23,"nc","Maine","AE","Central Connecticut","NEC","A","W",66,58,2,96.3,92.2,100.1,51.8,21.2,30,20,87.9,56.4,30.3,20.7,25.5,62.3,2023,66,"Chris Markwood","Patrick Sellers","MaineCentral Connecticut11-23"
2022-11-18,"nc","Maine","AE","Columbia","Ivy","H","W",93,70,2,131.8,123.2,140.6,72.3,12.1,26.1,26.8,105.8,49.2,21.2,37.8,21.3,68.5,2023,66.2,"Chris Markwood","Jim Engles","ColumbiaMaine11-18"
2022-11-14,"nc","Maine","AE","Boston College","ACC","A","W",69,64,0,110.4,97.3,104.4,49.1,16.6,26.5,25.9,96.9,45.7,9.1,21.6,32.8,81.1,2023,66.1,"Chris Markwood","Earl Grant","MaineBoston College11-14"
2022-11-07,"nc","Maine","AE","Nebraska","B10","A","L",66,79,0,101.3,114.6,94.7,58.2,21.5,15.2,18.2,113.4,51.5,18.7,42.1,24.6,19.5,2023,69.7,"Chris Markwood","Fred Hoiberg","MaineNebraska11-7"
