"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Marist","MAAC","Quinnipiac","MAAC","A","L",66,72,2,104.7,100.4,96.7,51.7,17.6,25.8,13.3,105.5,61.3,22,19.2,22.6,61.8,2023,68.2,"John Dunne","Baker Dunleavy","MaristQuinnipiac1-31"
2023-01-29,"conf","Marist","MAAC","Siena","MAAC","H","L",55,70,1,89.5,105.8,85.8,39.6,20.3,30.3,34,109.1,49,15.6,29,64.6,12.7,2023,64.1,"John Dunne","Carmen Marciariello","SienaMarist1-29"
2023-01-27,"conf","Marist","MAAC","Rider","MAAC","H","L",52,68,3,85,107,85.2,38.5,8.2,23.3,11.5,111.4,58.3,19.7,26.9,14.8,6.6,2023,61.1,"John Dunne","Kevin Baggett","RiderMarist1-27"
2023-01-22,"conf","Marist","MAAC","Mount St. Mary's","MAAC","A","L",55,59,1,88.2,102.1,87.3,46.3,20.6,15.6,9.3,93.6,53.3,25.4,24.1,30.4,15.8,2023,63,"John Dunne","Don Engelstad","MaristMount St. Mary's1-22"
2023-01-20,"conf","Marist","MAAC","Saint Peter's","MAAC","H","L",57,61,1,89.2,103.3,89.6,42.7,23.6,20.7,68.3,95.9,36.9,15.7,41.9,37.7,15.7,2023,63.6,"John Dunne","Bashir Mason","Saint Peter'sMarist1-20"
2023-01-15,"conf","Marist","MAAC","Niagara","MAAC","A","W",66,64,1,113.5,112,113.3,61.1,12,0,31.1,109.8,61,17.2,18.2,8,53.7,2023,58.3,"John Dunne","Greg Paulus","MaristNiagara1-15"
2023-01-13,"conf","Marist","MAAC","Canisius","MAAC","A","W",76,58,3,108,95.8,115.4,63.3,18.2,12,34.7,88.1,42.2,13.7,20,24.1,79.9,2023,65.9,"John Dunne","Reggie Witherspoon","MaristCanisius1-13"
2023-01-08,"conf","Marist","MAAC","Mount St. Mary's","MAAC","H","W",63,56,1,99.3,103,102,50.9,19.4,33.3,22.2,90.7,48,25.9,27.6,15.7,39.7,2023,61.8,"John Dunne","Don Engelstad","Mount St. Mary'sMarist1-8"
2023-01-06,"conf","Marist","MAAC","Iona","MAAC","H","L",57,84,3,91.2,120.8,85.5,41.8,15,15.8,29.1,125.9,60.8,9,25.8,12.3,3.8,2023,66.7,"John Dunne","Rick Pitino","IonaMarist1-6"
2022-12-30,"conf","Marist","MAAC","Fairfield","MAAC","A","L",54,73,4,83.2,103.5,76.8,39.4,28.5,30.3,32.7,103.9,47.5,11.4,18.9,33.3,7.6,2023,70.3,"John Dunne","Jay Young","MaristFairfield12-30"
2022-12-22,"conf","Marist","MAAC","Rider","MAAC","A","L",71,77,0,102.4,113.2,106.1,51.6,17.9,36.1,19.4,115.1,54.2,13.5,28.1,28.8,23.9,2023,66.9,"John Dunne","Kevin Baggett","MaristRider12-22"
2022-12-19,"conf","Marist","MAAC","Manhattan","MAAC","H","L",69,80,2,105.4,145.9,115.3,51.9,16.7,36.7,29.6,133.7,67.3,20.1,40,34.7,2.3,2023,59.8,"John Dunne","RaShawn Stores","ManhattanMarist12-19"
2022-12-10,"nc","Marist","MAAC","Boston University","Pat","H","L",70,72,2,99.5,118.5,104.3,46,8.9,21.1,25.4,107.3,51.7,14.9,28.6,27.6,11.9,2023,67.1,"John Dunne","Joe Jones","Boston UniversityMarist12-10"
2022-12-04,"nc","Marist","MAAC","Maine","AE","N","W",62,61,1,95.2,99.4,99.6,54.9,24.1,28.6,15.7,98,44.7,19.3,37.1,24.6,37.9,2023,62.2,"John Dunne","Chris Markwood","MaineMarist12-4"
2022-11-28,"nc","Marist","MAAC","Columbia","Ivy","H","W",52,39,2,76.9,64.4,78.4,42.5,24.1,28.2,3.3,58.8,29.8,25.6,20,23.1,88.5,2023,66.3,"John Dunne","Jim Engles","ColumbiaMarist11-28"
2022-11-26,"nc","Marist","MAAC","Bucknell","Pat","A","W",60,54,0,83,80.4,85,42.2,15.6,26.5,29.7,76.5,41.1,17,14.6,30.4,59,2023,62.7,"John Dunne","Nathan Davis","MaristBucknell11-26"
2022-11-22,"nc","Marist","MAAC","Maryland Eastern Shore","MEAC","A","L",59,70,0,91.1,114.4,89.6,44,21.3,24.2,38,106.4,48.4,19.8,38.5,26.2,6.8,2023,65.8,"John Dunne","Jason Crafton","MaristMaryland Eastern Shore11-22"
2022-11-19,"nc","Marist","MAAC","Princeton","Ivy","H","L",55,62,2,79.6,98.1,84.7,46.3,20,19.4,20.4,95.5,52,20,12.9,28.6,8.2,2023,64.9,"John Dunne","Mitch Henderson","PrincetonMarist11-19"
2022-11-16,"nc","Marist","MAAC","Lehigh","Pat","A","L",54,64,1,67.7,88.9,69.9,34.4,19.4,19.6,28.1,82.9,44.3,23.3,13.9,43.4,4.2,2023,77.2,"John Dunne","Brett Reed","MaristLehigh11-16"
2022-11-12,"nc","Marist","MAAC","Binghamton","AE","H","L",75,78,0,99.7,124.1,109.2,48.3,13.1,20,34.5,113.6,54.5,20.4,37.8,44.6,7.5,2023,68.7,"John Dunne","Levell Sanders","BinghamtonMarist11-12"
