"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Marquette","BE","DePaul","BE","A","W",89,69,4,127.3,103.8,132,65.9,14.8,37.5,19,102.3,52.7,17.8,18.8,23.2,91.2,2023,67.4,"Shaka Smart","Tony Stubblefield","MarquetteDePaul1-28"
2023-01-21,"conf","Marquette","BE","Seton Hall","BE","A","W",74,53,6,122.1,79.6,109.8,62,25.2,25.9,16.7,78.6,52.7,38.6,27.3,54.1,99.3,2023,67.4,"Shaka Smart","Shaheen Holloway","MarquetteSeton Hall1-21"
2023-01-18,"conf","Marquette","BE","Providence","BE","H","W",83,75,4,133.2,104.9,126.2,60,13.7,33.3,36.4,114,50.8,19.8,47.1,31.1,94,2023,65.8,"Shaka Smart","Ed Cooley","ProvidenceMarquette1-18"
2023-01-15,"conf","Marquette","BE","Xavier","BE","A","L",76,80,2,117.7,98.4,109.9,52.3,10.1,24.3,16.9,115.7,48.6,14.5,42.5,24.6,88.7,2023,69.2,"Shaka Smart","Sean Miller","MarquetteXavier1-15"
2023-01-11,"conf","Marquette","BE","Connecticut","BE","H","W",82,76,3,127.2,100.6,118.7,55.9,15.9,32.3,32.2,110,53.3,23.2,42.4,25,93.7,2023,69.1,"Shaka Smart","Dan Hurley","ConnecticutMarquette1-11"
2023-01-07,"conf","Marquette","BE","Georgetown","BE","H","W",95,73,5,117.4,103.7,128.5,63.4,12.2,31.2,8.5,98.8,58.7,27.1,25,40.4,80.8,2023,73.9,"Shaka Smart","Patrick Ewing","GeorgetownMarquette1-7"
2023-01-03,"conf","Marquette","BE","St. John's","BE","A","W",96,85,3,131.3,110.6,126.3,61.3,18.4,35.3,41.9,111.8,57.6,21.1,36.1,21.2,87.8,2023,76,"Shaka Smart","Mike Anderson","MarquetteSt. John's1-3"
2022-12-31,"conf","Marquette","BE","Villanova","BE","A","W",68,66,2,111.3,99.8,109.1,56.1,12.8,18.2,12.3,105.9,52.6,20.9,34.4,12.3,77.9,2023,62.3,"Shaka Smart","Kyle Neptune","MarquetteVillanova12-31"
2022-12-27,"conf","Marquette","BE","Seton Hall","BE","H","W",83,69,7,140.3,105,126.1,61.5,10.6,27.6,18,104.8,52.8,22.8,38.2,40.7,96.6,2023,65.8,"Shaka Smart","Shaheen Holloway","Seton HallMarquette12-27"
2022-12-20,"conf","Marquette","BE","Providence","BE","A","L",98,103,5,125,107,114.4,56.7,15.2,28.6,25.3,120.3,52.3,18.7,46.2,75.4,85.6,2023,68.5,"Shaka Smart","Ed Cooley","MarquetteProvidence12-20"
2022-12-16,"conf","Marquette","BE","Creighton","BE","H","W",69,58,5,105.1,74.1,96.5,50,14,13.9,23.3,81.1,50,25.2,10,9.3,98.2,2023,71.5,"Shaka Smart","Greg McDermott","CreightonMarquette12-16"
2022-12-11,"nc","Marquette","BE","Notre Dame","ACC","A","W",79,64,3,122.6,99.5,128.6,52.2,4.9,39.5,19.4,104.2,50.9,16.3,25.7,21.8,91.7,2023,61.4,"Shaka Smart","Mike Brey","MarquetteNotre Dame12-11"
2022-12-06,"nc","Marquette","BE","North Carolina Central","MEAC","H","W",90,78,8,126.3,106,123,71.1,21.9,22.2,28.1,106.6,53.2,21.9,38.2,19,88.2,2023,73.2,"Shaka Smart","LeVelle Moton","North Carolina CentralMarquette12-6"
2022-12-03,"nc","Marquette","BE","Wisconsin","B10","H","L",77,80,2,116.9,117.7,111.9,59.4,17.4,24.1,37.7,116.2,61,21.8,34.5,22,48.2,2023,61.2,"Shaka Smart","Greg Gard","WisconsinMarquette12-3"
2022-11-26,"nc","Marquette","BE","Chicago St.","ind","H","W",82,68,8,99.4,93.5,108.8,56.1,15.9,25.7,52.6,90.2,48.1,26.5,20,37.7,66.9,2023,75.4,"Shaka Smart","Gerald Gillian","Chicago St.Marquette11-26"
2022-11-23,"nc","Marquette","BE","Georgia Tech","ACC","N","W",84,60,4,117.9,87.3,117.3,54.9,15.4,28.6,36.1,83.8,39.2,18.2,27.9,15.4,96.9,2023,71.6,"Shaka Smart","Josh Pastner","Georgia TechMarquette11-23"
2022-11-21,"nc","Marquette","BE","Mississippi St.","SEC","N","L",55,58,1,92.7,89.3,83.5,49,24.3,15.6,15.7,88,42.7,24.3,37.5,38.2,60.6,2023,65.9,"Shaka Smart","Chris Jans","MarquetteMississippi St.11-21"
2022-11-17,"nc","Marquette","BE","LIU Brooklyn","NEC","H","W",95,58,6,102.9,90.1,118,58.1,14.9,25,29.4,72,37.3,28.6,32.6,31.7,82.2,2023,80.5,"Shaka Smart","Rod Strickland","LIU BrooklynMarquette11-17"
2022-11-15,"nc","Marquette","BE","Purdue","B10","A","L",70,75,1,122.3,95.2,105.4,45.1,12,34.1,9.7,112.9,56.2,9,20,32.1,94.7,2023,66.4,"Shaka Smart","Matt Painter","MarquettePurdue11-15"
2022-11-10,"nc","Marquette","BE","Central Michigan","MAC","H","W",97,73,9,115.4,96.9,118.4,62.9,17.1,27.8,40.9,89.1,50.9,26.9,26.5,36.2,88.1,2023,81.9,"Shaka Smart","Tony Barbee","Central MichiganMarquette11-10"
2022-11-07,"nc","Marquette","BE","Radford","BSth","H","W",79,69,6,102,86.6,99.1,50,22.6,25.7,42.4,86.6,45.2,18.8,20,31.7,86.8,2023,79.7,"Shaka Smart","Darris Nichols","RadfordMarquette11-7"
