"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Maryland","B10","Indiana","B10","H","W",66,55,1,110.4,85.1,106.9,38.7,8.1,26.3,54.7,89.1,40.2,19.4,34.3,21.4,95.2,2023,61.7,"Kevin Willard","Mike Woodson","IndianaMaryland1-31"
2023-01-28,"conf","Maryland","B10","Nebraska","B10","H","W",82,63,2,128.3,103.1,125.7,51.8,15.3,34.4,46.4,96.6,60,23,16.7,33.3,92.5,2023,65.2,"Kevin Willard","Fred Hoiberg","NebraskaMaryland1-28"
2023-01-25,"conf","Maryland","B10","Wisconsin","B10","H","W",73,55,3,131.4,100.6,128.1,62,14,34.8,28,96.5,46.2,14,22.6,13.2,95.5,2023,57,"Kevin Willard","Greg Gard","WisconsinMaryland1-25"
2023-01-22,"conf","Maryland","B10","Purdue","B10","A","L",55,58,3,98.3,87.9,91.8,39.8,15,34.2,15.3,96.8,40.4,25,46.9,34.6,78.3,2023,59.9,"Kevin Willard","Matt Painter","MarylandPurdue1-22"
2023-01-19,"conf","Maryland","B10","Michigan","B10","H","W",64,58,5,116,95.5,111.4,44,10.4,39.5,29.3,101,49.1,20.9,39.4,14.5,90.4,2023,57.4,"Kevin Willard","Juwan Howard","MichiganMaryland1-19"
2023-01-15,"conf","Maryland","B10","Iowa","B10","A","L",67,81,1,107.1,107.5,104.3,51.7,18.7,30.3,15.3,126.1,65.5,14,29.2,23.6,49.1,2023,64.2,"Kevin Willard","Fran McCaffery","MarylandIowa1-15"
2023-01-08,"conf","Maryland","B10","Ohio St.","B10","H","W",80,73,0,121,97.6,118.8,51,17.8,42.4,63.5,108.4,51.8,17.8,21.2,34.5,92.2,2023,67.3,"Kevin Willard","Chris Holtmann","Ohio St.Maryland1-8"
2023-01-05,"conf","Maryland","B10","Rutgers","B10","A","L",50,64,2,97.6,100.2,80.7,50,32.3,31,19.6,103.3,51,21,28.6,27.5,42.4,2023,62,"Kevin Willard","Steve Pikiell","MarylandRutgers1-5"
2023-01-01,"conf","Maryland","B10","Michigan","B10","A","L",46,81,4,64.1,101.4,61.3,30.1,17.3,18.4,13.2,108,52.7,17.3,30,51.8,0.5,2023,75,"Kevin Willard","Juwan Howard","MarylandMichigan1-1"
2022-12-29,"nc","Maryland","B10","UMBC","AE","H","W",80,64,2,96,85.5,107.5,53.7,16.1,22.6,59.3,86,41.4,20.2,27.9,25,79,2023,74.4,"Kevin Willard","Jim Ferry","UMBCMaryland12-29"
2022-12-22,"nc","Maryland","B10","Saint Peter's","MAAC","H","W",75,45,1,114.1,84.8,121.4,61.7,12.9,19.2,55.3,72.8,33.9,27.5,40.5,19.6,96.8,2023,61.8,"Kevin Willard","Bashir Mason","Saint Peter'sMaryland12-22"
2022-12-14,"nc","Maryland","B10","UCLA","P12","H","L",60,87,0,99.8,121.1,88.7,50,23.6,23.5,23.1,128.6,59.5,5.9,13.8,22.2,9.8,2023,67.7,"Kevin Willard","Mick Cronin","UCLAMaryland12-14"
2022-12-11,"nc","Maryland","B10","Tennessee","SEC","N","L",53,56,1,92.6,82.6,80,34.6,18.1,22.9,42.3,84.6,34.1,16.6,39.6,31.8,78.7,2023,66.2,"Kevin Willard","Rick Barnes","MarylandTennessee12-11"
2022-12-06,"conf","Maryland","B10","Wisconsin","B10","A","L",59,64,0,96.9,95.4,89.7,47.3,21.3,22.9,21.8,97.3,50,12.2,9.4,57.4,54.5,2023,65.8,"Kevin Willard","Greg Gard","MarylandWisconsin12-6"
2022-12-02,"conf","Maryland","B10","Illinois","B10","H","W",71,66,0,122.9,99.9,111.5,52.8,17.3,33.3,33.3,103.7,48.4,18.8,38.2,13.1,91.5,2023,63.7,"Kevin Willard","Brad Underwood","IllinoisMaryland12-2"
2022-11-29,"nc","Maryland","B10","Louisville","ACC","A","W",79,54,2,107.5,82.8,111.3,58,16.9,23.5,44.6,76.1,37.5,18.3,18.9,30.4,95.3,2023,71,"Kevin Willard","Kenny Payne","MarylandLouisville11-29"
2022-11-25,"nc","Maryland","B10","Coppin St.","MEAC","H","W",95,79,2,112.7,116.7,128.3,51.5,14.9,47.4,47.1,106.7,63.7,21.6,21.4,45.1,40.1,2023,74.1,"Kevin Willard","Juan Dixon","Coppin St.Maryland11-25"
2022-11-20,"nc","Maryland","B10","Miami FL","ACC","N","W",88,70,1,129.1,90.8,127.9,69,26.2,47.8,46,101.7,49.2,14.5,22.2,19.4,98.3,2023,68.8,"Kevin Willard","Jim Larranaga","MarylandMiami FL11-20"
2022-11-19,"nc","Maryland","B10","Saint Louis","A10","N","W",95,67,1,132.4,90.6,133.1,61.1,15.4,40.5,44.4,93.9,40.5,19.6,33.3,41.4,98.7,2023,71.3,"Kevin Willard","Travis Ford","MarylandSaint Louis11-19"
2022-11-10,"nc","Maryland","B10","Western Carolina","SC","H","W",71,51,3,90.8,74.1,97.1,45.9,16.4,23.5,31.1,69.8,32.5,23.3,29.8,20.6,91.2,2023,73.1,"Kevin Willard","Justin Gray","Western CarolinaMaryland11-10"
2022-11-07,"nc","Maryland","B10","Niagara","MAAC","H","W",71,49,3,116.5,94.4,124.1,57.8,17.5,42.3,27.5,85.6,40,21,38.2,14.5,91.9,2023,57.2,"Kevin Willard","Greg Paulus","NiagaraMaryland11-7"
