"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-30,"conf","Maryland Eastern Shore","MEAC","Morgan St.","MEAC","A","W",72,58,0,104.6,89.4,104.5,53.4,27.6,44.4,23.7,84.2,40.4,14.5,13.2,26.3,86,2023,68.9,"Jason Crafton","Kevin Broadus","Maryland Eastern ShoreMorgan St.1-30"
2023-01-23,"conf","Maryland Eastern Shore","MEAC","North Carolina Central","MEAC","A","W",59,58,3,80.6,85.8,82.7,38.5,18.2,27.5,24.6,81.3,46.2,33.6,34.4,30.8,32.6,2023,71.4,"Jason Crafton","LeVelle Moton","Maryland Eastern ShoreNorth Carolina Central1-23"
2023-01-21,"conf","Maryland Eastern Shore","MEAC","South Carolina St.","MEAC","A","W",76,70,1,89.9,97,100.9,60.8,29.2,30.8,43.1,93,52.6,27.9,32.4,25.9,29.4,2023,75.3,"Jason Crafton","Vacant","Maryland Eastern ShoreSouth Carolina St.1-21"
2023-01-14,"conf","Maryland Eastern Shore","MEAC","Delaware St.","MEAC","H","W",68,66,2,96.7,118.3,106.6,59.8,18.8,28,23.5,103.5,46.1,28.2,55.6,49,8.9,2023,63.8,"Jason Crafton","Eric Skeeters","Delaware St.Maryland Eastern Shore1-14"
2023-01-09,"conf","Maryland Eastern Shore","MEAC","Howard","MEAC","H","W",82,73,4,104.1,97.7,105.9,60,25.8,43.3,31.7,94.3,53.3,29.7,15,64.4,67.4,2023,77.4,"Jason Crafton","Kenny Blakeney","HowardMaryland Eastern Shore1-9"
2023-01-07,"conf","Maryland Eastern Shore","MEAC","Norfolk St.","MEAC","A","L",46,57,2,67.9,85.8,71.9,35.3,21.9,22.5,31.4,89.1,55.6,32.8,25,20,6.3,2023,63.9,"Jason Crafton","Robert Jones","Maryland Eastern ShoreNorfolk St.1-7"
2022-12-28,"nc","Maryland Eastern Shore","MEAC","Columbia","Ivy","A","W",74,67,3,103.6,102.4,104,46.3,15.5,36.6,19.1,94.2,40.3,25.3,42.1,27.4,53.4,2023,63.2,"Jason Crafton","Jim Engles","Maryland Eastern ShoreColumbia12-28"
2022-12-20,"nc","Maryland Eastern Shore","MEAC","Temple","Amer","A","W",86,78,2,127.5,107.1,119.9,56.6,22.3,45.9,37.7,108.8,55.4,22.3,28.1,35.7,88.2,2023,71.7,"Jason Crafton","Aaron McKie","Maryland Eastern ShoreTemple12-20"
2022-12-10,"nc","Maryland Eastern Shore","MEAC","Duke","ACC","A","L",55,82,2,88.2,104.5,77.9,47.3,25.5,15.2,3.6,116.2,58.3,26.9,48.3,21.7,12.4,2023,70.6,"Jason Crafton","Jon Scheyer","Maryland Eastern ShoreDuke12-10"
2022-12-06,"nc","Maryland Eastern Shore","MEAC","George Mason","A10","A","L",54,67,1,89.8,100.2,83.6,40.7,18.6,13.9,22.2,103.8,50.9,17,34.3,41.5,22.1,2023,64.6,"Jason Crafton","Kim English","Maryland Eastern ShoreGeorge Mason12-6"
2022-12-02,"nc","Maryland Eastern Shore","MEAC","Liberty","ASun","A","L",59,79,1,103.5,120.3,94.4,53.9,17.6,10.7,11.8,126.4,62.5,14.4,25.8,23.2,15.1,2023,62.5,"Jason Crafton","Ritchie McKay","Maryland Eastern ShoreLiberty12-2"
2022-11-30,"nc","Maryland Eastern Shore","MEAC","Lehigh","Pat","H","W",64,60,1,83.9,86.6,86.1,43.9,25.6,34.3,36.8,80.7,40.2,26.9,36.1,23,41.1,2023,74.3,"Jason Crafton","Brett Reed","LehighMaryland Eastern Shore11-30"
2022-11-25,"nc","Maryland Eastern Shore","MEAC","Virginia","ACC","A","L",45,72,1,79.8,101.1,70.9,37.3,23.6,23.5,9.1,113.5,57.8,15.8,25,35.3,6.1,2023,63.5,"Jason Crafton","Tony Bennett","Maryland Eastern ShoreVirginia11-25"
2022-11-22,"nc","Maryland Eastern Shore","MEAC","Marist","MAAC","H","W",70,59,3,103,98.2,106.4,48.4,19.8,38.5,26.2,89.6,44,21.3,24.2,38,63.4,2023,65.8,"Jason Crafton","John Dunne","MaristMaryland Eastern Shore11-22"
2022-11-18,"nc","Maryland Eastern Shore","MEAC","George Washington","A10","A","L",64,69,3,82,89.2,86.6,41.3,19,31,34.9,93.4,49,24.4,28.1,54.9,27.4,2023,73.9,"Jason Crafton","Chris Caputo","Maryland Eastern ShoreGeorge Washington11-18"
2022-11-14,"nc","Maryland Eastern Shore","MEAC","Charlotte","CUSA","A","L",47,80,1,74.1,109.5,69,32.7,22,13.5,28.8,117.5,64.7,19.1,21.7,33.3,1.1,2023,68.1,"Jason Crafton","Ron Sanchez","Maryland Eastern ShoreCharlotte11-14"
2022-11-07,"nc","Maryland Eastern Shore","MEAC","Old Dominion","SB","A","L",65,84,1,103.2,125.6,99,49.1,15.2,17.1,34,127.9,54.3,15.2,46.9,46.6,9.5,2023,65.7,"Jason Crafton","Jeff Jones","Maryland Eastern ShoreOld Dominion11-7"
