"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","McNeese St.","Slnd","Texas A&M Corpus Chris","Slnd","A","L",72,83,1,102.6,117.8,105.8,56.8,25,36.4,16.9,122,59.8,19.1,32.1,51,17,2023,68.1,"John Aiken","Willis Wilson","McNeese St.Texas A&M Corpus Chris1-28"
2023-01-26,"conf","McNeese St.","Slnd","Incarnate Word","Slnd","A","L",65,70,3,94.6,113.9,97.6,45.3,16.5,35.7,17.2,105.1,53.1,21,22.2,46.9,10.6,2023,66.6,"John Aiken","Carson Cunningham","McNeese St.Incarnate Word1-26"
2023-01-21,"conf","McNeese St.","Slnd","Nicholls St.","Slnd","H","L",68,71,3,99.7,115.8,103.5,56,21.3,17.9,32,108.1,61.8,24.4,26.9,19.6,15.1,2023,65.7,"John Aiken","Austin Claunch","Nicholls St.McNeese St.1-21"
2023-01-19,"conf","McNeese St.","Slnd","Nicholls St.","Slnd","A","L",64,73,1,101.9,117.9,101,47.3,20.5,35.1,28.6,115.2,53.9,7.9,29.3,20.3,15.8,2023,63.4,"John Aiken","Austin Claunch","McNeese St.Nicholls St.1-19"
2023-01-12,"conf","McNeese St.","Slnd","Northwestern St.","Slnd","A","L",75,89,3,102.3,112.6,99.6,48.2,22.6,27.8,56.4,118.2,62.7,31.9,58.6,45.5,24.9,2023,75.3,"John Aiken","Corey Gipson","McNeese St.Northwestern St.1-12"
2023-01-07,"conf","McNeese St.","Slnd","Texas A&M Commerce","Slnd","H","L",80,82,1,107.7,125,114.4,52.9,14.3,34.2,8.6,117.3,58.8,20,33.3,36.8,15.3,2023,62.1,"John Aiken","Jaret von Rosenberg","Texas A&M CommerceMcNeese St.1-7"
2023-01-05,"conf","McNeese St.","Slnd","Northwestern St.","Slnd","H","W",92,77,3,130,111.7,133.7,66.9,21.8,37,22,111.9,58.7,21.8,34.5,42.3,85.1,2023,68.8,"John Aiken","Corey Gipson","Northwestern St.McNeese St.1-5"
2022-12-31,"conf","McNeese St.","Slnd","Lamar","Slnd","A","W",81,62,2,110.5,103.7,123.1,61.1,18.2,37.1,14.3,94.2,46.6,21.3,18.8,63.6,67.5,2023,65.8,"John Aiken","Tic Price","McNeese St.Lamar12-31"
2022-12-21,"nc","McNeese St.","Slnd","Houston","Amer","A","L",44,83,2,90.6,111.6,71.5,42.9,26,18.2,10.2,134.8,63.9,19.5,50,16.4,8.4,2023,61.6,"John Aiken","Kelvin Sampson","McNeese St.Houston12-21"
2022-12-18,"nc","McNeese St.","Slnd","Southern Miss","SB","A","L",67,86,0,96.9,107.5,89.6,45,20.1,23.1,30,115,56.1,18.7,33.3,25.8,23.3,2023,74.8,"John Aiken","Jay Ladner","McNeese St.Southern Miss12-18"
2022-12-15,"nc","McNeese St.","Slnd","Louisiana Lafayette","SB","H","L",70,78,1,103.7,108.5,105.1,46.2,16.5,36.6,18.2,117.1,67.3,22.5,29.2,36.7,37.3,2023,66.6,"John Aiken","Bob Marlin","Louisiana LafayetteMcNeese St.12-15"
2022-12-11,"nc","McNeese St.","Slnd","Iowa St.","B12","A","L",40,77,0,78.8,101.4,60.6,46.1,45.5,29.6,28.9,116.7,63.6,21.2,27.6,21.8,5.2,2023,66,"John Aiken","T.J. Otzelberger","McNeese St.Iowa St.12-11"
2022-12-09,"nc","McNeese St.","Slnd","Northern Iowa","MVC","A","W",52,49,0,84,78.1,82,50,33.1,30,16.7,77.2,35.5,28.4,42.9,30.9,69.8,2023,63.4,"John Aiken","Ben Jacobson","McNeese St.Northern Iowa12-9"
2022-11-30,"nc","McNeese St.","Slnd","Tennessee","SEC","A","L",40,76,0,84.2,99.4,60.9,30.4,36.5,43.9,19.6,115.7,52.8,16.7,45.9,63,12.9,2023,65.7,"John Aiken","Rick Barnes","McNeese St.Tennessee11-30"
2022-11-28,"nc","McNeese St.","Slnd","Tennessee Martin","OVC","A","L",83,86,2,117.2,128.8,119.8,59.5,14.4,39.5,42.9,124.1,57.8,11.5,27.8,50,25.3,2023,69.3,"John Aiken","Ryan Ridder","McNeese St.Tennessee Martin11-28"
2022-11-23,"nc","McNeese St.","Slnd","Baylor","B12","A","L",60,89,1,101,106.3,87.8,47.1,30.7,36.1,30.8,130.2,66.7,16.1,34.5,28.3,35.6,2023,68.3,"John Aiken","Scott Drew","McNeese St.Baylor11-23"
2022-11-20,"nc","McNeese St.","Slnd","Lamar","Slnd","H","W",66,57,1,88.2,98.2,100.8,52.8,22.9,32.4,30.2,87.1,42.6,22.9,34.2,11.5,22.6,2023,65.5,"John Aiken","Tic Price","LamarMcNeese St.11-20"
2022-11-19,"nc","McNeese St.","Slnd","Lindenwood","OVC","H","L",60,78,2,82.8,126.1,86.2,41.8,25.9,28.9,34.5,112.1,59.6,14.4,18.8,26.3,0.8,2023,69.6,"John Aiken","Kyle Gerdeman","LindenwoodMcNeese St.11-19"
2022-11-18,"nc","McNeese St.","Slnd","Western Carolina","SC","H","L",69,88,3,93.9,140.2,102.5,47.4,16.3,29.3,39.7,130.7,69,17.8,35.7,62,1,2023,67.3,"John Aiken","Justin Gray","Western CarolinaMcNeese St.11-18"
2022-11-11,"nc","McNeese St.","Slnd","Tulane","Amer","A","L",58,75,1,83.1,92.6,78.8,43,21.7,19.5,9.4,101.9,53.8,20.4,22.6,45.3,22.5,2023,73.6,"John Aiken","Ron Hunter","McNeese St.Tulane11-11"
