"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Milwaukee","Horz","Northern Kentucky","Horz","A","W",75,74,2,102.4,106,101.1,47.1,24.3,32.4,62.7,99.8,44.3,18.9,36.4,21.4,40,2023,74.2,"Bart Lundy","Darrin Horn","MilwaukeeNorthern Kentucky1-28"
2023-01-26,"conf","Milwaukee","Horz","Wright St.","Horz","A","L",86,93,4,93.9,109.9,97.8,50.8,21.6,28.6,47.7,105.8,52.3,23.9,32.5,52.3,14.1,2023,87.9,"Bart Lundy","Scott Nagy","MilwaukeeWright St.1-26"
2023-01-21,"conf","Milwaukee","Horz","Youngstown St.","Horz","H","W",88,75,4,119.5,103,128.9,63.5,19,42.4,22.2,109.9,44.4,13.2,41,39.7,84.7,2023,68.3,"Bart Lundy","Jerrod Calhoun","Youngstown St.Milwaukee1-21"
2023-01-19,"conf","Milwaukee","Horz","Robert Morris","Horz","H","W",77,69,3,108.8,107.6,110.8,51.9,15.8,21.9,50.9,99.2,42,14.4,32.6,15.9,53.3,2023,69.5,"Bart Lundy","Andrew Toole","Robert MorrisMilwaukee1-19"
2023-01-14,"conf","Milwaukee","Horz","Wright St.","Horz","H","L",74,78,1,84.9,95.9,87.8,38.8,21.3,39.2,27.6,92.5,47.8,22.5,25.6,20.3,19.8,2023,74.9,"Bart Lundy","Scott Nagy","Wright St.Milwaukee1-14"
2023-01-12,"conf","Milwaukee","Horz","Northern Kentucky","Horz","H","W",80,75,2,109.7,101.7,105.3,67,29,28,55.3,98.7,43.3,15.8,34.7,21.3,70.5,2023,76,"Bart Lundy","Darrin Horn","Northern KentuckyMilwaukee1-12"
2023-01-07,"conf","Milwaukee","Horz","Fort Wayne","Horz","A","W",74,70,4,106.6,96.8,104.5,54.3,15.5,16.7,24.1,98.8,46,16.9,30,30.6,75.2,2023,70.8,"Bart Lundy","Jon Coffman","MilwaukeeFort Wayne1-7"
2023-01-05,"conf","Milwaukee","Horz","Cleveland St.","Horz","A","W",68,64,2,89.6,85,90.2,43.2,18.6,35.4,12.3,84.9,35.7,19.9,35.4,25.7,64.5,2023,67,"Bart Lundy","Daniyal Robinson","MilwaukeeCleveland St.1-5"
2022-12-31,"conf","Milwaukee","Horz","Detroit","Horz","A","W",84,81,0,113.1,107,120.6,61,14.4,23.3,25.4,116.3,51.5,11.5,30.8,22.4,65.6,2023,69.6,"Bart Lundy","Mike Davis","MilwaukeeDetroit12-31"
2022-12-29,"conf","Milwaukee","Horz","Oakland","Horz","A","L",61,83,0,87.3,115.8,87.6,42.7,21.6,33.3,14.5,119.3,57.9,11.5,19.2,40.4,3.7,2023,69.6,"Bart Lundy","Greg Kampe","MilwaukeeOakland12-29"
2022-12-06,"nc","Milwaukee","Horz","Chattanooga","SC","A","L",76,88,0,100.6,120.9,109.5,56.5,21.6,35.3,11.3,126.8,55.3,11.5,34.2,30.3,10.8,2023,69.4,"Bart Lundy","Dan Earl","MilwaukeeChattanooga12-6"
2022-12-03,"conf","Milwaukee","Horz","IUPUI","Horz","H","W",74,61,8,100,103.9,112.8,55.6,15.2,22.6,31.5,93,53.1,27.4,20.7,27.1,39.1,2023,65.6,"Bart Lundy","Byron Rimm","IUPUIMilwaukee12-3"
2022-12-01,"conf","Milwaukee","Horz","Green Bay","Horz","A","W",81,67,6,104.7,109.7,117.1,60,18.8,28,30.9,96.8,43.9,20.2,37.5,49.1,36.7,2023,69.2,"Bart Lundy","Will Ryan","MilwaukeeGreen Bay12-1"
2022-11-28,"nc","Milwaukee","Horz","Southeast Missouri St.","OVC","H","W",84,68,5,103.2,92,107.2,56.9,28.1,36.7,64.7,86.8,43.5,20.4,21.4,33.9,79,2023,78.3,"Bart Lundy","Brad Korn","Southeast Missouri St.Milwaukee11-28"
2022-11-26,"nc","Milwaukee","Horz","UC Davis","BW","H","W",87,85,1,108.9,106,109.3,58.3,25.1,33.3,43.3,106.8,56.6,23.9,40.6,41,57.9,2023,79.6,"Bart Lundy","Jim Les","UC DavisMilwaukee11-26"
2022-11-23,"nc","Milwaukee","Horz","St. Thomas","Sum","H","L",72,76,6,93.5,104.3,101.2,54.9,25.3,39.4,14.8,106.8,60.4,21.1,13.8,32.1,22.1,2023,71.2,"Bart Lundy","Johnny Tauer","St. ThomasMilwaukee11-23"
2022-11-20,"nc","Milwaukee","Horz","Iowa St.","B12","A","L",53,68,0,83.9,91.2,74.8,47.7,38.1,27.6,41.9,96,43.3,19.8,38.6,22.4,27.6,2023,70.8,"Bart Lundy","T.J. Otzelberger","MilwaukeeIowa St.11-20"
2022-11-08,"nc","Milwaukee","Horz","Purdue","B10","A","L",53,84,0,83.4,95.4,71.3,40.8,26.9,22,15,113,45.8,14.8,44.4,30.6,17.6,2023,74.4,"Bart Lundy","Matt Painter","MilwaukeePurdue11-8"
