"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Missouri St.","MVC","Murray St.","MVC","A","L",71,74,3,109.8,111.7,110.5,49.2,14,41.7,24.2,115.2,52,18.7,31,47.1,45.1,2023,64.3,"Dana Ford","Steve Prohm","Missouri St.Murray St.1-28"
2023-01-24,"conf","Missouri St.","MVC","Illinois Chicago","MVC","H","W",63,59,3,89.7,94,93.3,42.2,20.7,31.6,31,87.4,45.8,23.7,23.5,45.8,36.7,2023,67.5,"Dana Ford","Luke Yaklich","Illinois ChicagoMissouri St.1-24"
2023-01-21,"conf","Missouri St.","MVC","Southern Illinois","MVC","H","L",57,61,3,109.4,120.6,106,48.1,20.5,42.9,23.1,113.4,54.9,14.9,27.6,11.8,24.6,2023,53.8,"Dana Ford","Bryan Mullins","Southern IllinoisMissouri St.1-21"
2023-01-18,"conf","Missouri St.","MVC","Drake","MVC","A","W",65,62,1,102.1,92.5,96.8,58.5,22.3,14.3,31.9,92.4,44.4,20.9,19.4,27.8,75.8,2023,59.7,"Dana Ford","Darian DeVries","Missouri St.Drake1-18"
2023-01-15,"conf","Missouri St.","MVC","Indiana St.","MVC","H","W",64,62,0,111,96.9,105.2,46.2,23,38.7,32.7,101.9,55.1,18.1,25.9,28.6,82.7,2023,60.9,"Dana Ford","John Schertz","Indiana St.Missouri St.1-15"
2023-01-11,"conf","Missouri St.","MVC","Illinois St.","MVC","A","L",66,76,0,98.7,109.6,96,40.3,21.8,43.5,41.9,110.5,47,18.9,32.3,64,22.9,2023,61.1,"Dana Ford","Ryan Pedon","Missouri St.Illinois St.1-11"
2023-01-07,"conf","Missouri St.","MVC","Belmont","MVC","A","L",61,74,1,100.3,110.8,97.4,52,27.1,39.4,38.8,118.2,56.2,19.2,33.3,19.6,24.1,2023,62.6,"Dana Ford","Casey Alexander","Missouri St.Belmont1-7"
2023-01-04,"conf","Missouri St.","MVC","Evansville","MVC","H","W",85,62,3,113.3,104.5,124,56.2,17.5,44.4,27.7,90.4,55.3,23.3,13.8,38.3,71.6,2023,68.6,"Dana Ford","David Ragland","EvansvilleMissouri St.1-4"
2023-01-01,"conf","Missouri St.","MVC","Drake","MVC","H","W",52,49,2,92.1,78.3,85.2,48,24.6,24.2,18,80.3,39.5,16.4,27,14,86.6,2023,61,"Dana Ford","Darian DeVries","DrakeMissouri St.1-1"
2022-12-28,"conf","Missouri St.","MVC","Northern Iowa","MVC","A","W",79,67,3,124.2,100.5,119.4,65.1,16.6,22.2,26.4,101.3,52.7,22.7,28.1,25.5,92,2023,66.2,"Dana Ford","Ben Jacobson","Missouri St.Northern Iowa12-28"
2022-12-18,"nc","Missouri St.","MVC","Central Michigan","MAC","H","W",79,58,3,114.4,104.4,123,59.6,24.9,51.7,50,90.3,42.7,20.2,31.6,27.3,74.2,2023,64.2,"Dana Ford","Tony Barbee","Central MichiganMissouri St.12-18"
2022-12-16,"nc","Missouri St.","MVC","Oral Roberts","Sum","A","L",77,80,1,120.7,117.8,120.7,65.4,18.8,30.8,23.1,125.4,61.5,12.5,21.4,48.1,57.1,2023,63.8,"Dana Ford","Paul Mills","Missouri St.Oral Roberts12-16"
2022-12-10,"nc","Missouri St.","MVC","Fort Wayne","Horz","H","L",61,65,4,94,102.7,95.1,45.2,12.5,27.5,15.9,101.3,51.9,20.3,31.2,30.2,26.6,2023,64.2,"Dana Ford","Jon Coffman","Fort WayneMissouri St.12-10"
2022-12-07,"nc","Missouri St.","MVC","Saint Mary's","WCC","A","L",46,66,0,94.7,94.6,75.1,43.6,21.2,13.3,21.3,107.8,54.5,11.4,18.5,18.2,50.1,2023,61.2,"Dana Ford","Randy Bennett","Missouri St.Saint Mary's12-7"
2022-12-03,"conf","Missouri St.","MVC","Bradley","MVC","H","L",40,58,3,71.3,91,65,33.3,21.1,18.9,21.6,94.2,51.9,26,31,7.7,5.8,2023,61.6,"Dana Ford","Brian Wardle","BradleyMissouri St.12-3"
2022-11-30,"conf","Missouri St.","MVC","Illinois Chicago","MVC","A","W",66,51,3,94.5,81,97.6,41.1,11.8,38.8,17.8,75.4,36.8,22.2,24.4,35.8,85.5,2023,67.6,"Dana Ford","Luke Yaklich","Missouri St.Illinois Chicago11-30"
2022-11-27,"nc","Missouri St.","MVC","Oakland","Horz","N","W",76,64,4,110.1,105.5,119.7,59,14.2,31.2,11.5,100.8,56,22,20.7,24,62.1,2023,63.5,"Dana Ford","Greg Kampe","Missouri St.Oakland11-27"
2022-11-25,"nc","Missouri St.","MVC","UNC Wilmington","CAA","N","L",54,68,2,90.8,102.1,83,40,23.1,32.4,75.6,104.5,48.1,18.4,28.1,39.6,20.7,2023,65.1,"Dana Ford","Takayo Siddle","Missouri St.UNC Wilmington11-25"
2022-11-19,"nc","Missouri St.","MVC","Middle Tennessee","CUSA","H","W",75,51,3,118.6,82.7,117.8,60.7,18.9,25.9,12.5,80.1,37.2,25.1,31.2,44.7,98.4,2023,63.7,"Dana Ford","Nicholas McDevitt","Middle TennesseeMissouri St.11-19"
2022-11-16,"nc","Missouri St.","MVC","BYU","WCC","A","L",64,66,0,106.9,99.5,96.5,45.1,13.6,26.8,24.6,99.5,49.1,19.6,31.6,35.7,69.6,2023,66.3,"Dana Ford","Mark Pope","Missouri St.BYU11-16"
