"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-28,"conf","Monmouth","CAA","North Carolina A&T","CAA","A","W",79,64,1,106,94,112.5,58.5,18.5,25,39.6,91.2,43.5,19.9,18.9,40.7,79.9,2023,70.2,"King Rice","Jay Joyner","MonmouthNorth Carolina A&T1-28"
2023-01-26,"conf","Monmouth","CAA","UNC Wilmington","CAA","A","L",49,52,0,78.7,84.8,77.1,37.8,28.3,32.4,51.1,81.9,43.5,26.8,20,32.6,29.6,2023,63.5,"King Rice","Takayo Siddle","MonmouthUNC Wilmington1-26"
2023-01-21,"conf","Monmouth","CAA","Hampton","CAA","H","L",66,83,1,84,125.8,93.6,40.6,14.2,37.8,23.2,117.7,68.8,25.5,24,50,1,2023,70.5,"King Rice","Edward Joyner","HamptonMonmouth1-21"
2023-01-19,"conf","Monmouth","CAA","College of Charleston","CAA","H","L",55,69,0,91.9,94.3,82.3,43.5,21,31.7,11.3,103.3,47.2,21,34.2,52.8,42.9,2023,66.8,"King Rice","Pat Kelsey","College of CharlestonMonmouth1-19"
2023-01-14,"conf","Monmouth","CAA","Towson","CAA","A","L",48,68,2,79.1,106.2,77.9,40.2,24.3,21.9,13.7,110.3,47.3,17.8,43.2,37.5,3.3,2023,61.7,"King Rice","Pat Skerry","MonmouthTowson1-14"
2023-01-11,"conf","Monmouth","CAA","Hofstra","CAA","A","L",57,77,1,97.2,113,90.6,45.3,27,33.3,18.9,122.3,64,20.7,34.8,30,15.1,2023,62.9,"King Rice","Speedy Claxton","MonmouthHofstra1-11"
2023-01-07,"conf","Monmouth","CAA","Drexel","CAA","A","L",35,67,1,61.6,108.4,56.8,29.2,24.3,25,33.3,108.7,47.5,17.8,40,23,0.2,2023,61.6,"King Rice","Zach Spiker","MonmouthDrexel1-7"
2023-01-05,"conf","Monmouth","CAA","Stony Brook","CAA","H","L",56,67,2,80.4,107.8,84.8,37.3,13.6,27.9,37.3,101.4,49.1,19.7,30.6,24.6,3.3,2023,66.1,"King Rice","Geno Ford","Stony BrookMonmouth1-5"
2022-12-28,"conf","Monmouth","CAA","UNC Wilmington","CAA","H","L",55,68,0,85.5,109.7,84.7,37.3,20,31.4,27.3,104.8,50,21.6,38.2,20.3,5.4,2023,64.9,"King Rice","Takayo Siddle","UNC WilmingtonMonmouth12-28"
2022-12-22,"nc","Monmouth","CAA","Yale","Ivy","H","L",44,76,0,62.9,105.7,62.3,34.8,21.2,14.3,25,107.6,52.5,22.7,44.1,30,0.3,2023,70.6,"King Rice","James Jones","YaleMonmouth12-22"
2022-12-12,"nc","Monmouth","CAA","Syracuse","ACC","A","L",71,86,0,115.5,122.5,110,55.3,23.2,40.6,17.5,133.3,58.2,15.5,43.3,50.9,33.7,2023,64.5,"King Rice","Jim Boeheim","MonmouthSyracuse12-12"
2022-12-10,"nc","Monmouth","CAA","Princeton","Ivy","A","L",54,91,0,82.4,114.5,74.8,35.5,18,20.5,22.6,126,60.3,16.6,35.5,46.6,2.2,2023,72.2,"King Rice","Mitch Henderson","MonmouthPrinceton12-10"
2022-12-04,"nc","Monmouth","CAA","Manhattan","MAAC","A","W",76,69,1,106.5,99.8,108.5,57.8,20,30,52.9,98.5,48.1,21.4,30.3,52.8,67.9,2023,70.1,"King Rice","RaShawn Stores","MonmouthManhattan12-4"
2022-11-30,"nc","Monmouth","CAA","Rider","MAAC","A","L",62,88,1,88.4,116.7,87,40.4,19.6,32.6,50.9,123.4,65.4,15.4,16,51.9,4,2023,71.3,"King Rice","Kevin Baggett","MonmouthRider11-30"
2022-11-27,"nc","Monmouth","CAA","Lehigh","Pat","A","L",76,80,2,108,117,107.2,53.3,16.9,34.2,37.7,112.8,59,29.6,42.9,50,28.5,2023,70.9,"King Rice","Brett Reed","MonmouthLehigh11-27"
2022-11-25,"nc","Monmouth","CAA","Cornell","Ivy","H","L",63,81,1,80.2,94.8,82.9,42.2,29,36.6,18.8,106.6,63.3,25,25.8,15,12.8,2023,76,"King Rice","Brian Earl","CornellMonmouth11-25"
2022-11-21,"nc","Monmouth","CAA","Colgate","Pat","A","L",66,85,0,97.6,114.8,98.9,51.8,25.5,38.7,25.5,127.4,55.9,18,44.7,45.8,13.3,2023,66.7,"King Rice","Matt Langel","MonmouthColgate11-21"
2022-11-17,"nc","Monmouth","CAA","Norfolk St.","MEAC","H","L",59,64,1,76.1,87.1,81.9,39,22.2,37.8,22.1,88.9,47,20.8,18.9,50,17.5,2023,72,"King Rice","Robert Jones","Norfolk St.Monmouth11-17"
2022-11-14,"nc","Monmouth","CAA","Illinois","B10","A","L",65,103,0,92.2,124.4,82.6,49,30.5,17.2,46.9,130.9,71,22.9,40.7,32.3,3.1,2023,78.7,"King Rice","Brad Underwood","MonmouthIllinois11-14"
2022-11-11,"nc","Monmouth","CAA","Virginia","ACC","A","L",42,89,0,86.7,119.7,67.7,42.7,33.9,20,36.6,143.5,67.6,9.7,42.3,46.3,2.4,2023,62,"King Rice","Tony Bennett","MonmouthVirginia11-11"
2022-11-09,"nc","Monmouth","CAA","Seton Hall","BE","A","L",52,79,0,81.1,100,68.9,31.6,30.5,34.8,42.1,104.7,52.8,26.5,38.1,73.6,8.3,2023,75.5,"King Rice","Shaheen Holloway","MonmouthSeton Hall11-9"
